manuscript_bin,pt_center_gev,species,yield_value,total_error
0--1,0.11,pion,17.03,1.31078816672679
0--1,0.13,pion,17.78,0.8209763330013982
0--1,0.15000000000000002,pion,17.955,0.7860184888066348
0--1,0.16999999999999998,pion,17.810000000000002,0.7810251355353267
0--1,0.19,pion,17.355,0.7660450823328337
0--1,0.225,kaon,0.903,0.0641346624175077
0--1,0.225,pion,16.075000000000003,0.7002856560004639
0--1,0.275,kaon,1.0180000000000002,0.06449913764621873
0--1,0.275,pion,14.38,0.5115662224971465
0--1,0.32499999999999996,kaon,1.1320000000000001,0.04826569264143533
0--1,0.32499999999999996,pion,12.655000000000001,0.45099889135118726
0--1,0.32499999999999996,proton,0.28200000000000003,0.033455599372672284
0--1,0.375,kaon,1.1600000000000001,0.04754135216376083
0--1,0.375,pion,11.14,0.3961377833573953
0--1,0.375,proton,0.31999999999999995,0.03387115954571822
0--1,0.42500000000000004,kaon,1.1900000000000002,0.052420921603636456
0--1,0.42500000000000004,pion,9.825,0.35128336140500593
0--1,0.42500000000000004,proton,0.3395,0.03281756123673127
0--1,0.475,kaon,1.2349999999999999,0.050990195135927854
0--1,0.475,pion,8.629999999999999,0.3060570788077035
0--1,0.475,proton,0.35050000000000003,0.020303955780744787
0--1,0.525,kaon,1.225,0.07447941497572212
0--1,0.525,pion,7.6000000000000005,0.26575391181086183
0--1,0.525,proton,0.3705,0.021144959075618638
0--1,0.575,kaon,1.185,0.07280109889280517
0--1,0.575,pion,6.640000000000001,0.23086792761230387
0--1,0.575,proton,0.372,0.019826146175091104
0--1,0.625,kaon,1.105,0.08395107498276427
0--1,0.625,pion,6.165,0.33845054639782646
0--1,0.625,proton,0.379,0.023580257844391855
0--1,0.675,kaon,1.0750000000000002,0.08246211251235323
0--1,0.675,pion,5.44,0.301041514357392
0--1,0.675,proton,0.37650000000000006,0.02263944697017055
0--1,0.725,kaon,1.0050000000000001,0.07930992178549615
0--1,0.725,pion,4.825,0.2668332812825267
0--1,0.725,proton,0.3755,0.0211044087812976
0--1,0.775,kaon,0.96,0.07343420458864691
0--1,0.775,pion,4.305,0.24142514996135972
0--1,0.775,proton,0.36550000000000005,0.020767347153183617
0--1,0.825,kaon,0.8850000000000001,0.07071067811865475
0--1,0.825,pion,3.7649999999999997,0.21101280636505604
0--1,0.825,proton,0.363,0.021870656557114322
0--1,0.875,kaon,0.8550000000000001,0.07072510139298385
0--1,0.875,pion,3.4050000000000002,0.19049014765608502
0--1,0.875,proton,0.353,0.023839328788671114
0--1,0.925,kaon,0.775,0.0608276253029822
0--1,0.925,pion,3.085,0.1710623382457
0--1,0.925,proton,0.34950000000000003,0.02344262721313497
0--1,0.975,kaon,0.7225,0.05295415800345589
0--1,0.975,pion,2.745,0.15132745950421558
0--1,0.975,proton,0.32999999999999996,0.02158827823672263
0--1,1.05,kaon,0.655,0.052420921603636456
0--1,1.05,pion,2.335,0.1324730525104612
0--1,1.05,proton,0.3045,0.02050176049193525
0--1,1.15,kaon,0.5489999999999999,0.043348771636813256
0--1,1.15,pion,1.875,0.10198039027185571
0--1,1.15,proton,0.28150000000000003,0.01844036851776029
0--1,1.25,kaon,0.479,0.03671856434220323
0--1,1.25,pion,1.516,0.08497795481370238
0--1,1.25,proton,0.256,0.017586982097370023
0--1,1.35,kaon,0.4125,0.03175301510468488
0--1,1.35,pion,1.229,0.06896559551087189
0--1,1.35,proton,0.22449999999999998,0.015661637196400624
0--1,1.45,kaon,0.35600000000000004,0.02778947968768713
0--1,1.45,pion,1.0165000000000002,0.05805389519892521
0--1,1.45,proton,0.196,0.01346476832770701
0--1,1.55,kaon,0.307,0.024683064934462
0--1,1.55,pion,0.835,0.04850773134253961
0--1,1.55,proton,0.1735,0.011885535563922182
0--1,1.65,kaon,0.26,0.021213203435596427
0--1,1.65,pion,0.685,0.04044749683231337
0--1,1.65,proton,0.155,0.011086041932630193
0--1,1.75,kaon,0.2185,0.01824828759089466
0--1,1.75,pion,0.5714999999999999,0.034033186332880494
0--1,1.75,proton,0.1355,0.009534201129544497
0--1,1.85,kaon,0.189,0.016278820596099707
0--1,1.85,pion,0.47550000000000003,0.02844292530665578
0--1,1.85,proton,0.11299999999999999,0.00807988842559072
0--1,1.95,kaon,0.1585,0.014317821063276353
0--1,1.95,pion,0.3945,0.02383814259052519
0--1,1.95,proton,0.0985,0.007161988519181639
0--1,2.1,kaon,0.1215,0.009137464797715152
0--1,2.1,pion,0.306,0.015033296378372907
0--1,2.1,proton,0.08099999999999999,0.0055908910219455024
0--1,2.3,kaon,0.088,0.006203658925317489
0--1,2.3,pion,0.218,0.011045361017187262
0--1,2.3,proton,0.062,0.00412310562561766
0--1,2.5,kaon,0.0665,0.00412310562561766
0--1,2.5,pion,0.158,0.00806225774829855
0--1,2.5,proton,0.046849999999999996,0.003372551778663795
0--1,2.7,kaon,0.049350000000000005,0.004177319714841084
0--1,2.7,pion,0.11699999999999999,0.006212889826803627
0--1,2.7,proton,0.0335,0.0031622776601683794
0--1,2.9,kaon,0.0382,0.0038964803718620203
0--1,2.9,pion,0.0872,0.004617358552246078
0--1,2.9,proton,0.024300000000000002,0.003981524762208387
0--1,3.1,kaon,0.03005,0.0034365680554879164
0--1,3.1,pion,0.06595,0.0034132096331752023
0--1,3.1,proton,0.018050000000000004,0.0033241540277189324
0--1,3.3,kaon,0.02365,0.0027294688127912363
0--1,3.3,pion,0.0505,0.0026172504656604804
0--1,3.3,proton,0.0137,0.0025675930640316575
0--1,3.5,kaon,0.01855,0.002022374841615668
0--1,3.5,pion,0.0387,0.002009975124224178
0--1,3.5,proton,0.010249999999999999,0.0018110770276274835
0--1,3.7,kaon,0.01485,0.0014317821063276352
0--1,3.7,pion,0.030150000000000003,0.0015628630723509328
0--1,3.7,proton,0.0079,0.0013152946437965907
0--1,3.9,kaon,0.011600000000000001,0.001019803902718557
0--1,3.9,pion,0.02365,0.001216552506059644
0--1,3.9,proton,0.00615,0.0009219544457292889
0--1,4.25,kaon,0.0079,0.000608276253029822
0--1,4.25,pion,0.016100000000000003,0.0008062257748298549
0--1,4.25,proton,0.003965,0.0005375872022286245
0--1,4.75,kaon,0.004750000000000001,0.0003347034934882029
0--1,4.75,pion,0.009655,0.0005014236097695715
0--1,4.75,proton,0.002255,0.0002717098075006567
0--1,5.5,kaon,0.002405,0.00015524174696260025
0--1,5.5,pion,0.004875000000000001,0.0002531797780234433
0--1,5.5,proton,0.0010350000000000001,0.00010921030379950966
0--1,7.0,kaon,0.0007900000000000001,6.324555320336759e-05
0--1,7.0,pion,0.0016,9.219544457292888e-05
0--1,7.0,proton,0.000285,2.23606797749979e-05
0--1,9.0,kaon,0.00022850000000000002,2.2611368191204526e-05
0--1,9.0,pion,0.00044650000000000007,2.768159834906417e-05
0--1,9.0,proton,6.6e-05,7.0710678118654756e-06
0--1,12.5,kaon,5.35e-05,6.324555320336759e-06
0--1,12.5,pion,0.0001,7.6157731058639085e-06
0--1,12.5,proton,1.1e-05,1.4142135623730954e-06
0--1,17.5,kaon,1.05e-05,1.5694426509535423e-06
0--1,17.5,pion,1.835e-05,1.6643316977093238e-06
0--1,17.5,proton,1.55e-06,4.4721359549995787e-07
1--5,0.11,pion,13.630000000000003,1.0151972596521426
1--5,0.13,pion,14.255,0.6053315965036266
1--5,0.15000000000000002,pion,14.51,0.570350769263968
1--5,0.16999999999999998,pion,14.420000000000002,0.570350769263968
1--5,0.19,pion,14.07,0.5553605063541099
1--5,0.225,kaon,0.759,0.05065855368942122
1--5,0.225,pion,13.035,0.5150970873760539
1--5,0.275,kaon,0.854,0.050161345354077506
1--5,0.275,pion,11.6125,0.35564062611255054
1--5,0.32499999999999996,kaon,0.9450000000000001,0.035175131854531
1--5,0.32499999999999996,pion,10.190000000000001,0.30963083709615136
1--5,0.32499999999999996,proton,0.253,0.029156411008290598
1--5,0.375,kaon,0.964,0.03274666090423009
1--5,0.375,pion,8.9345,0.27111806188991844
1--5,0.375,proton,0.2785,0.028113218242086634
1--5,0.42500000000000004,kaon,0.9615,0.03542998408226995
1--5,0.42500000000000004,pion,7.8260000000000005,0.2376031469178188
