source_record,source_table,source_table_doi,observable_kind,eta_range,multiplicity_selection,manuscript_bin,fit_ready,mapping_status,pt_low_gev,pt_high_gev,pt_center_gev,yield_value,stat_error,sys_error,total_error
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,21-30,21-30,True,matched_to_manuscript_bin,0.15,0.2,0.175,3.8484042036998307,0.002533,0.3328,0.3328096394171899
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,31-40,31-40,True,matched_to_manuscript_bin,0.15,0.2,0.175,14.481962633779107,0.007005,0.4732,0.4732518462985643
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,41-50,41-50,True,matched_to_manuscript_bin,0.15,0.2,0.175,21.56829425898933,0.01248,0.7119,0.7120093822415545
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,51-60,51-60,True,matched_to_manuscript_bin,0.15,0.2,0.175,28.271683294305753,0.02112,0.9339,0.9341387821945945
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,61-70,61-70,True,matched_to_manuscript_bin,0.15,0.2,0.175,34.55823938656486,0.03581,0.8459,0.8466576439742336
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,71-80,71-80,True,matched_to_manuscript_bin,0.15,0.2,0.175,40.46240161317528,0.06152,0.9932,0.9951034872815993
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,81-90,81-90,True,matched_to_manuscript_bin,0.15,0.2,0.175,46.342547708031965,0.1079,1.145,1.150072784653215
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,91-100,91-100,True,matched_to_manuscript_bin,0.15,0.2,0.175,51.89721672256858,0.1925,1.276,1.2904387819652663
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,101-125,101-125,True,matched_to_manuscript_bin,0.15,0.2,0.175,56.87971851141985,0.3062,1.438,1.4702389057564762
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,126-150,126-150,True,matched_to_manuscript_bin,0.15,0.2,0.175,70.3485316674653,1.016,1.667,1.952215408196544
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,21-30,21-30,True,matched_to_manuscript_bin,0.2,0.25,0.225,4.025571657758818,0.001831,0.3435,0.3435048799667917
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,31-40,31-40,True,matched_to_manuscript_bin,0.2,0.25,0.225,14.497140819921443,0.004983,0.4736,0.4736262136843779
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,41-50,41-50,True,matched_to_manuscript_bin,0.2,0.25,0.225,21.25001604311845,0.008812,0.7023,0.7023552814238675
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,51-60,51-60,True,matched_to_manuscript_bin,0.2,0.25,0.225,27.70273083513047,0.01487,0.9155,0.9156207549526169
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,61-70,61-70,True,matched_to_manuscript_bin,0.2,0.25,0.225,33.62813727583794,0.02513,0.8237,0.824083252408396
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,71-80,71-80,True,matched_to_manuscript_bin,0.2,0.25,0.225,39.27217095816582,0.04311,0.9618,0.9627656579355124
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,81-90,81-90,True,matched_to_manuscript_bin,0.2,0.25,0.225,44.894495058834714,0.0755,1.101,1.1035856332881469
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,91-100,91-100,True,matched_to_manuscript_bin,0.2,0.25,0.225,49.971868571156136,0.1343,1.223,1.230351774900171
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,101-125,101-125,True,matched_to_manuscript_bin,0.2,0.25,0.225,54.530556371916674,0.2135,1.377,1.3934529952603354
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,126-150,126-150,True,matched_to_manuscript_bin,0.2,0.25,0.225,68.3853124081594,0.7125,1.622,1.771592574493357
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,21-30,21-30,True,matched_to_manuscript_bin,0.25,0.3,0.275,3.896368974255911,0.001735,0.3302,0.3302045581529728
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,31-40,31-40,True,matched_to_manuscript_bin,0.25,0.3,0.275,13.705609117725077,0.004695,0.4486,0.4486245680131662
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,41-50,41-50,True,matched_to_manuscript_bin,0.25,0.3,0.275,20.025828197914862,0.008288,0.6627,0.6627518245497329
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,51-60,51-60,True,matched_to_manuscript_bin,0.25,0.3,0.275,25.987765298955598,0.01396,0.86,0.8601132957930601
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,61-70,61-70,True,matched_to_manuscript_bin,0.25,0.3,0.275,31.572049410440567,0.02359,0.7752,0.7755588488954271
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,71-80,71-80,True,matched_to_manuscript_bin,0.25,0.3,0.275,36.83583941751974,0.04044,0.9043,0.905203780151188
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,81-90,81-90,True,matched_to_manuscript_bin,0.25,0.3,0.275,41.841235249400775,0.07068,1.029,1.0314245791137615
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,91-100,91-100,True,matched_to_manuscript_bin,0.25,0.3,0.275,47.03427858727374,0.1262,1.153,1.159885959911577
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,101-125,101-125,True,matched_to_manuscript_bin,0.25,0.3,0.275,51.18453605240967,0.2003,1.295,1.31039882860143
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,126-150,126-150,True,matched_to_manuscript_bin,0.25,0.3,0.275,63.35048969410392,0.6648,1.509,1.648951193941167
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,21-30,21-30,True,matched_to_manuscript_bin,0.3,0.35,0.3249999999999999,3.6186326743424218,0.001643,0.3057,0.305704415161116
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,31-40,31-40,True,matched_to_manuscript_bin,0.3,0.35,0.3249999999999999,12.58437622806721,0.00443,0.4127,0.4127237755448552
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,41-50,41-50,True,matched_to_manuscript_bin,0.3,0.35,0.3249999999999999,18.40428720397055,0.007824,0.6103,0.6103501494847035
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,51-60,51-60,True,matched_to_manuscript_bin,0.3,0.35,0.3249999999999999,23.98132614016798,0.0132,0.7946,0.7947096325073706
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,61-70,61-70,True,matched_to_manuscript_bin,0.3,0.35,0.3249999999999999,29.145103674685803,0.02232,0.7174,0.7177471298444879
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,71-80,71-80,True,matched_to_manuscript_bin,0.3,0.35,0.3249999999999999,34.05784446234547,0.03829,0.8388,0.8396734866005953
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,81-90,81-90,True,matched_to_manuscript_bin,0.3,0.35,0.3249999999999999,38.792140626549674,0.06699,0.9578,0.9601398336179996
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,91-100,91-100,True,matched_to_manuscript_bin,0.3,0.35,0.3249999999999999,43.505030525256835,0.1195,1.071,1.077646161780387
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,101-125,101-125,True,matched_to_manuscript_bin,0.3,0.35,0.3249999999999999,47.56761517139596,0.1901,1.208,1.222866309127862
