source_record,source_table,source_table_doi,source_location,description,observable_kind,eta_range,multiplicity_selection,pt_selection,extrapolated,row_index,pt_low_gev,pt_high_gev,pt_center_gev,yield_value,stat_error,sys_error_minus,sys_error_plus,sys_error,total_error,fit_ready,manuscript_bin,mapping_status
ins1419652,Table 12,10.17182/hepdata.72491.v1/t12,Data from F 5B,Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,pt_spectrum,-0.8-0.8,>= 1,> 500 MEV,False,1,0.5,0.6,0.5481,2.022,0.0007464,0.01645,0.01634,0.01645,0.016466924817949466,False,,unmatched_to_manuscript_bin
ins1419652,Table 12,10.17182/hepdata.72491.v1/t12,Data from F 5B,Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,pt_spectrum,-0.8-0.8,>= 1,> 500 MEV,False,2,0.6,0.7,0.6481,1.329,0.0005536,0.01082,0.01075,0.01082,0.010834153079959687,False,,unmatched_to_manuscript_bin
ins1419652,Table 12,10.17182/hepdata.72491.v1/t12,Data from F 5B,Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,pt_spectrum,-0.8-0.8,>= 1,> 500 MEV,False,3,0.7,0.8,0.7481,0.9037,0.0003657,0.00821,0.008164,0.00821,0.008218140695437137,False,,unmatched_to_manuscript_bin
ins1419652,Table 12,10.17182/hepdata.72491.v1/t12,Data from F 5B,Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,pt_spectrum,-0.8-0.8,>= 1,> 500 MEV,False,4,0.8,0.9,0.8482,0.6288,0.0002928,0.00577,0.005739,0.00577,0.005777424325770092,False,,unmatched_to_manuscript_bin
ins1419652,Table 12,10.17182/hepdata.72491.v1/t12,Data from F 5B,Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,pt_spectrum,-0.8-0.8,>= 1,> 500 MEV,False,5,0.9,1.0,0.9482,0.4471,0.000235,0.004171,0.004151,0.004171,0.004177614869755229,False,,unmatched_to_manuscript_bin
ins1419652,Table 12,10.17182/hepdata.72491.v1/t12,Data from F 5B,Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,pt_spectrum,-0.8-0.8,>= 1,> 500 MEV,False,6,1.0,1.1,1.049,0.3239,0.000205,0.00299,0.002975,0.00299,0.0029970193526235363,False,,unmatched_to_manuscript_bin
ins1419652,Table 12,10.17182/hepdata.72491.v1/t12,Data from F 5B,Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,pt_spectrum,-0.8-0.8,>= 1,> 500 MEV,False,7,1.1,1.2,1.149,0.2382,0.000148,0.002211,0.0022,0.002211,0.0022159478784484076,False,,unmatched_to_manuscript_bin
ins1419652,Table 12,10.17182/hepdata.72491.v1/t12,Data from F 5B,Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,pt_spectrum,-0.8-0.8,>= 1,> 500 MEV,False,8,1.2,1.3,1.249,0.1778,0.0001279,0.001637,0.001629,0.001637,0.0016419888580620759,False,,unmatched_to_manuscript_bin
ins1419652,Table 12,10.17182/hepdata.72491.v1/t12,Data from F 5B,Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,pt_spectrum,-0.8-0.8,>= 1,> 500 MEV,False,9,1.3,1.4,1.349,0.1344,0.0001075,0.001241,0.001234,0.001241,0.001245647321676565,False,,unmatched_to_manuscript_bin
ins1419652,Table 12,10.17182/hepdata.72491.v1/t12,Data from F 5B,Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,pt_spectrum,-0.8-0.8,>= 1,> 500 MEV,False,10,1.4,1.5,1.449,0.1026,9.78e-05,0.000936,0.0009308,0.000936,0.000941095553065681,False,,unmatched_to_manuscript_bin
ins1419652,Table 12,10.17182/hepdata.72491.v1/t12,Data from F 5B,Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,pt_spectrum,-0.8-0.8,>= 1,> 500 MEV,False,11,1.5,1.6,1.549,0.07937,7.973e-05,0.0007222,0.0007181,0.0007222,0.0007265877186548091,False,,unmatched_to_manuscript_bin
ins1419652,Table 12,10.17182/hepdata.72491.v1/t12,Data from F 5B,Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,pt_spectrum,-0.8-0.8,>= 1,> 500 MEV,False,12,1.6,1.7,1.649,0.06167,7.743e-05,0.0005624,0.0005592,0.0005624,0.0005677051742762259,False,,unmatched_to_manuscript_bin
ins1419652,Table 12,10.17182/hepdata.72491.v1/t12,Data from F 5B,Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,pt_spectrum,-0.8-0.8,>= 1,> 500 MEV,False,13,1.7,1.8,1.749,0.0485,5.997e-05,0.0004435,0.0004411,0.0004435,0.000447536200658673,False,,unmatched_to_manuscript_bin
ins1419652,Table 12,10.17182/hepdata.72491.v1/t12,Data from F 5B,Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,pt_spectrum,-0.8-0.8,>= 1,> 500 MEV,False,14,1.8,1.9,1.849,0.03836,4.775e-05,0.0003519,0.0003499,0.0003519,0.0003551248688841715,False,,unmatched_to_manuscript_bin
ins1419652,Table 12,10.17182/hepdata.72491.v1/t12,Data from F 5B,Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,pt_spectrum,-0.8-0.8,>= 1,> 500 MEV,False,15,1.9,2.0,1.949,0.03062,4.507e-05,0.000281,0.0002795,0.000281,0.00028459147018138124,False,,unmatched_to_manuscript_bin
ins1419652,Table 12,10.17182/hepdata.72491.v1/t12,Data from F 5B,Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,pt_spectrum,-0.8-0.8,>= 1,> 500 MEV,False,16,2.0,2.1,2.049,0.0244,3.536e-05,0.0002207,0.0002194,0.0002207,0.0002235146966085228,False,,unmatched_to_manuscript_bin
ins1419652,Table 12,10.17182/hepdata.72491.v1/t12,Data from F 5B,Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,pt_spectrum,-0.8-0.8,>= 1,> 500 MEV,False,17,2.1,2.2,2.149,0.0198,3.248e-05,0.0001794,0.0001784,0.0001794,0.00018231651159453442,False,,unmatched_to_manuscript_bin
ins1419652,Table 12,10.17182/hepdata.72491.v1/t12,Data from F 5B,Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,pt_spectrum,-0.8-0.8,>= 1,> 500 MEV,False,18,2.2,2.3,2.249,0.01595,2.543e-05,0.0001453,0.0001444,0.0001453,0.0001475085587347392,False,,unmatched_to_manuscript_bin
ins1419652,Table 12,10.17182/hepdata.72491.v1/t12,Data from F 5B,Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,pt_spectrum,-0.8-0.8,>= 1,> 500 MEV,False,19,2.3,2.4,2.349,0.01306,2.357e-05,0.0001197,0.000119,0.0001197,0.00012199850367934845,False,,unmatched_to_manuscript_bin
ins1419652,Table 12,10.17182/hepdata.72491.v1/t12,Data from F 5B,Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,pt_spectrum,-0.8-0.8,>= 1,> 500 MEV,False,20,2.4,2.5,2.449,0.01068,2.238e-05,9.827e-05,9.775e-05,9.827e-05,0.0001007861959794098,False,,unmatched_to_manuscript_bin
ins1419652,Table 12,10.17182/hepdata.72491.v1/t12,Data from F 5B,Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,pt_spectrum,-0.8-0.8,>= 1,> 500 MEV,False,21,2.5,2.7,2.596,0.008049,1.322e-05,7.417e-05,7.377e-05,7.417e-05,7.533894942192917e-05,False,,unmatched_to_manuscript_bin
ins1419652,Table 12,10.17182/hepdata.72491.v1/t12,Data from F 5B,Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,pt_spectrum,-0.8-0.8,>= 1,> 500 MEV,False,22,2.7,2.9,2.796,0.005552,1.257e-05,5.159e-05,5.132e-05,5.159e-05,5.309927494796892e-05,False,,unmatched_to_manuscript_bin
ins1419652,Table 12,10.17182/hepdata.72491.v1/t12,Data from F 5B,Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,pt_spectrum,-0.8-0.8,>= 1,> 500 MEV,False,23,2.9,3.1,2.996,0.003893,8.354e-06,3.672e-05,3.654e-05,3.672e-05,3.7658302085994265e-05,False,,unmatched_to_manuscript_bin
ins1419652,Table 12,10.17182/hepdata.72491.v1/t12,Data from F 5B,Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,pt_spectrum,-0.8-0.8,>= 1,> 500 MEV,False,24,3.1,3.3,3.197,0.002798,6.264e-06,2.673e-05,2.661e-05,2.673e-05,2.7454154439720048e-05,False,,unmatched_to_manuscript_bin
ins1419652,Table 12,10.17182/hepdata.72491.v1/t12,Data from F 5B,Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,pt_spectrum,-0.8-0.8,>= 1,> 500 MEV,False,25,3.3,3.5,3.397,0.002014,5.622e-06,1.951e-05,1.943e-05,1.951e-05,2.0303866232813888e-05,False,,unmatched_to_manuscript_bin
ins1419652,Table 12,10.17182/hepdata.72491.v1/t12,Data from F 5B,Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,pt_spectrum,-0.8-0.8,>= 1,> 500 MEV,False,26,3.5,4.0,3.726,0.001212,2.439e-06,1.205e-05,1.202e-05,1.205e-05,1.2294357282916419e-05,False,,unmatched_to_manuscript_bin
ins1419652,Table 12,10.17182/hepdata.72491.v1/t12,Data from F 5B,Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,pt_spectrum,-0.8-0.8,>= 1,> 500 MEV,False,27,4.0,4.5,4.229,0.0005989,1.617e-06,6.425e-06,6.406e-06,6.425e-06,6.625353877341195e-06,False,,unmatched_to_manuscript_bin
ins1419652,Table 12,10.17182/hepdata.72491.v1/t12,Data from F 5B,Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,pt_spectrum,-0.8-0.8,>= 1,> 500 MEV,False,28,4.5,5.0,4.731,0.0003225,1.065e-06,3.544e-06,3.535e-06,3.544e-06,3.7005622545769983e-06,False,,unmatched_to_manuscript_bin
ins1419652,Table 12,10.17182/hepdata.72491.v1/t12,Data from F 5B,Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,pt_spectrum,-0.8-0.8,>= 1,> 500 MEV,False,29,5.0,6.0,5.43,0.000142,4.2e-07,1.539e-06,1.535e-06,1.539e-06,1.5952808530161702e-06,False,,unmatched_to_manuscript_bin
ins1419652,Table 12,10.17182/hepdata.72491.v1/t12,Data from F 5B,Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,pt_spectrum,-0.8-0.8,>= 1,> 500 MEV,False,30,6.0,7.0,6.441,5.317e-05,2.263e-07,5.865e-07,5.851e-07,5.865e-07,6.286445259445119e-07,False,,unmatched_to_manuscript_bin
ins1419652,Table 12,10.17182/hepdata.72491.v1/t12,Data from F 5B,Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,pt_spectrum,-0.8-0.8,>= 1,> 500 MEV,False,31,7.0,8.0,7.445,2.307e-05,1.151e-07,2.596e-07,2.591e-07,2.596e-07,2.8397212891408906e-07,False,,unmatched_to_manuscript_bin
