source_record,table_name,table_doi,location,observable_kind,eta_range,multiplicity_selection,pt_selection,extrapolated,x_rows,x_header,y_header,description,json_url
ins1419652,Table 10,10.17182/hepdata.72491.v1/t10,Data from Auxiliary Material,mean_pt_vs_multiplicity,-2.5-2.5,>= 1,> 500 MEV,True,81,N(P=3),MEAN(NAME=PT(P=3)) [GEV],Extrapolated average transverse momentum in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of the number of charged particles in the event for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;2.5.,https://www.hepdata.net/download/table/ins1419652/Table 10/json
ins1419652,Table 14,10.17182/hepdata.72491.v1/t14,Data from F 5D,mean_pt_vs_multiplicity,-0.8-0.8,>= 1,> 500 MEV,False,47,N(P=3),MEAN(NAME=PT(P=3)) [GEV],Average transverse momentum in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of the number of charged particles in the event for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,https://www.hepdata.net/download/table/ins1419652/Table 14/json
ins1419652,Table 18,10.17182/hepdata.72491.v1/t18,Data from Auxiliary Material,mean_pt_vs_multiplicity,-0.8-0.8,>= 1,> 500 MEV,True,47,N(P=3),MEAN(NAME=PT(P=3)) [GEV],Extrapolated average transverse momentum in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of the number of charged particles in the event for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,https://www.hepdata.net/download/table/ins1419652/Table 18/json
ins1419652,Table 6,10.17182/hepdata.72491.v1/t6,Data from F 3D,mean_pt_vs_multiplicity,-2.5-2.5,>= 1,> 500 MEV,False,81,N(P=3),MEAN(NAME=PT(P=3)) [GEV],Average transverse momentum in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of the number of charged particles in the event for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;2.5.,https://www.hepdata.net/download/table/ins1419652/Table 6/json
ins1419652,Table 13,10.17182/hepdata.72491.v1/t13,Data from F 5C,multiplicity_distribution,-0.8-0.8,>= 1,> 500 MEV,False,47,N(P=3),(1/NEV)*DNEV/DN(P=3),Charged-particle multiplicity distribution in proton-proton collisions at a centre-of-mass energy of 13000 GeV for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,https://www.hepdata.net/download/table/ins1419652/Table 13/json
ins1419652,Table 17,10.17182/hepdata.72491.v1/t17,Data from Auxiliary Material,multiplicity_distribution,-0.8-0.8,>= 1,> 500 MEV,True,47,N(P=3),(1/NEV)*DNEV/DN(P=3),Extrapolated charged-particle multiplicity distributions in proton-proton collisions at a centre-of-mass energy of 13000 GeV for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,https://www.hepdata.net/download/table/ins1419652/Table 17/json
ins1419652,Table 5,10.17182/hepdata.72491.v1/t5,Data from F 3C,multiplicity_distribution,-2.5-2.5,>= 1,> 500 MEV,False,81,N(P=3),(1/NEV)*DNEV/DN(P=3),Charged-particle multiplicity distribution in proton-proton collisions at a centre-of-mass energy of 13000 GeV for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;2.5.,https://www.hepdata.net/download/table/ins1419652/Table 5/json
ins1419652,Table 9,10.17182/hepdata.72491.v1/t9,Data from Auxiliary Material,multiplicity_distribution,-2.5-2.5,>= 1,> 500 MEV,True,81,N(P=3),(1/NEV)*DNEV/DN(P=3),Extrapolated charged-particle multiplicity distributions in proton-proton collisions at a centre-of-mass energy of 13000 GeV for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;2.5.,https://www.hepdata.net/download/table/ins1419652/Table 9/json
ins1419652,Table 1,10.17182/hepdata.72491.v1/t1,Data from Text,pseudorapidity_distribution,,,,False,2,SQRT(S) [GREV],PT(P=3) [MEV],The average charged-particle multiplicity per unit of rapidity for ETARAP=0 as a function of the centre-of-mass energy.,https://www.hepdata.net/download/table/ins1419652/Table 1/json
ins1419652,Table 11,10.17182/hepdata.72491.v1/t11,Data from F 5A,pseudorapidity_distribution,-0.8-0.8,>= 1,> 500 MEV,False,16,ETARAP(P=3),(1/NEV)*DN(P=3)/DETARAP(P=3),Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of pseudorapidity for events with the number of charged particles &gt;=1 having transverse momentum &gt;500 MeV and absolute(pseudorapidity) &lt;0.8.,https://www.hepdata.net/download/table/ins1419652/Table 11/json
