pt_center_gev,yield_value,total_error,prediction,residual,pull
0.175,51.84,1.2904387819652663,25.856491919555708,25.983508080444295,20.13540544780657
0.225,49.92,1.230351774900171,28.92438113344875,20.99561886655125,17.064728393027927
0.275,46.93,1.159885959911577,30.60767932718924,16.32232067281076,14.072349555860717
0.3249999999999999,43.44,1.077646161780387,31.276100509798876,12.163899490201121,11.28747071311891
0.375,39.71,0.988743940562975,31.21896670048104,8.49103329951896,8.58769692655138
0.425,36.45,0.9116366491097206,30.65335633654588,5.796643663454123,6.358502226863045
0.475,33.05,0.8318144624854753,29.73931868633033,3.3106813136696687,3.980071834501769
0.525,30.23,0.7659622053339186,28.59398242910175,1.6360175708982503,2.13589855936173
0.575,27.49,0.7028726282905032,27.302783214566784,0.18721678543321474,0.2663594766644355
0.625,25.05,0.6452223143227457,25.927910808306198,-0.877910808306197,-1.360633054403414
0.675,22.87,0.5951105501501381,24.514518036889562,-1.6445180368895613,-2.763382427810551
0.725,21.0,0.5527723011331158,23.095243445200538,-2.0952434452005377,-3.7904277057760387
0.775,19.3,0.5133333906926374,21.693499384898015,-2.393499384898014,-4.662660618411128
0.825,17.75,0.4762950698884043,20.32586749065825,-2.5758674906582506,-5.408133851273697
0.875,16.46,0.447518186110911,19.00385158591819,-2.5438515859181905,-5.68435354108209
0.925,15.05,0.4178356883991601,17.735167879824576,-2.6851678798245757,-6.4263727450189085
0.975,13.74,0.3849028599530016,16.52470090439738,-2.784700904397381,-7.234814791288913
1.05,12.28,0.4416268805224609,14.82376305431963,-2.54376305431963,-5.759982389002825
1.15,10.51,0.385890674284829,12.77325264435236,-2.2632526443523595,-5.865009950154522
1.25,8.982,0.3406110815871967,10.964717486076431,-1.9827174860764316,-5.821059834099538
1.35,7.757,0.2945326000632188,9.382989565931396,-1.6259895659313965,-5.520575873714463
1.45,6.568,0.26259980883466,8.008584473840283,-1.4405844738402838,-5.485854998269686
1.55,5.79,0.2318178327911811,6.820463466322648,-1.0304634663226482,-4.445143214029087
1.65,4.857,0.2072935071342081,5.797657448640281,-0.9406574486402812,-4.537804688842816
1.75,4.239,0.1812074877040129,4.920193394904753,-0.6811933949047528,-3.759190105970812
1.85,3.651,0.1744088633068858,4.169587691472608,-0.5185876914726082,-2.9734021633987333
1.95,3.188,0.1526150464403821,3.5290697519239047,-0.34106975192390454,-2.2348369959520396
2.1,2.57,0.122245010123113,2.742368309800091,-0.172368309800091,-1.410023277240509
2.3,1.95,0.0930040310954315,1.9529254078218974,-0.00292540782189743,-0.031454634680250226
2.5,1.468,0.0704131642521481,1.386545053534958,0.08145494646504203,1.156814174311973
2.7,1.16,0.055623529194038,0.9819882618641873,0.1780117381358126,3.2002956431411183
2.9,0.8921,0.0434828612329041,0.6940380849848863,0.19806191501511372,4.554942094409313
3.1,0.7005,0.0340135608397591,0.48967315945481116,0.21082684054518885,6.198317239950642
3.3,0.5415,0.0265055942208432,0.3449749501144757,0.19652504988552427,7.414474402953883
3.5,0.434,0.021436128964904,0.24272670610368682,0.19127329389631317,8.922940061121702
3.7,0.3436,0.0173681622804486,0.17059650303633758,0.17300349696366243,9.960955809263313
3.9,0.2719,0.0139301839542771,0.11978602136119658,0.15211397863880338,10.91973940459692
4.25,0.195,0.0095569326669177,0.06438946450546883,0.13061053549453117,13.666574835946358
4.75,0.1186,0.0059543924123289,0.026433276019347765,0.09216672398065223,15.478778958171434
