group_label,model_name,component_count,success,chi2,ndf,chi2_ndf,fit_quality_flag,gate_passed,gate_failures,aic,bic,edm,has_accurate_covar,seed_index
101-125,manuscript_juttner,1,True,2310.8940916856045,36,64.19150254682235,poor,False,chi2/ndf = 64.192 exceeds max 5.0,2316.8940916856045,2321.8847766239933,6.305020283400476e-08,True,6
101-125,exact_bose_einstein,1,True,900.7353412483827,36,25.02042614578841,poor,False,chi2/ndf = 25.020 exceeds max 5.0,906.7353412483827,911.7260261867716,2.8456507664994378e-06,True,3
101-125,tsallis,1,True,397.2158807983278,36,11.033774466620217,poor,False,chi2/ndf = 11.034 exceeds max 5.0,403.2158807983278,408.20656573671675,1.2587109596879534e-07,True,9
101-125,manuscript_juttner,2,False,109.4852469754226,33,3.317734756830988,ok,False,Minuit did not converge (valid=False); EDM = 0.1434 exceeds threshold 0.1; fit may not be at minimum,121.4852469754226,131.46661685220047,0.14342633996032794,True,6
101-125,exact_bose_einstein,2,False,55.061593134382356,33,1.6685331252843139,ok,False,Minuit did not converge (valid=False),67.06159313438235,77.04296301116023,0.0037379216517798245,True,8
101-125,tsallis,2,True,397.2158851916515,33,12.036845005807622,poor,False,Minuit covariance matrix is not accurate; chi2/ndf = 12.037 exceeds max 5.0; Unconstrained parameters: norm_1: |err/val|=11849949.72 > 1.0; temperature_1: |err/val|=6.51 > 1.0,409.2158851916515,419.1972550684294,9.032036487353155e-07,False,4
101-125,manuscript_juttner,3,True,3.7770247671313233,30,0.12590082557104412,ok,False,Minuit covariance matrix is not accurate,21.777024767131323,36.74907958229814,0.00015205361655081193,False,3
101-125,exact_bose_einstein,3,False,2.6874274622891643,30,0.0895809154096388,poor,False,Minuit did not converge (valid=False); Unconstrained parameters: U_2: |err/val|=350.89 > 1.0,20.687427462289165,35.65948227745598,0.020028091463338282,True,5
101-125,tsallis,3,False,1.939940193201409,30,0.06466467310671363,ok,False,Minuit did not converge (valid=False); Minuit covariance matrix is not accurate,19.93994019320141,34.91199500836822,0.007409721592656937,False,3
126-150,manuscript_juttner,1,True,1605.2141458691228,36,44.58928182969785,poor,False,chi2/ndf = 44.589 exceeds max 5.0,1611.2141458691228,1616.2048308075118,9.898462219767309e-06,True,1
126-150,exact_bose_einstein,1,True,605.5663135706324,36,16.82128648807312,poor,False,chi2/ndf = 16.821 exceeds max 5.0,611.5663135706324,616.5569985090212,1.5097940307860336e-05,True,8
126-150,tsallis,1,True,289.34669306693604,36,8.037408140748223,poor,False,chi2/ndf = 8.037 exceeds max 5.0,295.34669306693604,300.337378005325,1.2150940286216722e-06,True,5
126-150,manuscript_juttner,2,False,74.07362612317847,33,2.244655337066014,ok,False,Minuit did not converge (valid=False),86.07362612317847,96.05499599995635,0.03468821966324945,True,3
126-150,exact_bose_einstein,2,True,45.526009936750064,33,1.379576058689396,ok,True,,57.526009936750064,67.50737981352793,0.00022610361403027157,True,3
126-150,tsallis,2,True,11.685088829425188,33,0.35409360089167236,ok,True,,23.68508882942519,33.666458706203066,7.831722207959133e-05,True,5
