source_record,source_table,source_table_doi,source_location,description,observable_kind,eta_range,multiplicity_selection,pt_selection,extrapolated,row_index,pt_low_gev,pt_high_gev,pt_center_gev,yield_value,stat_error,sys_error_minus,sys_error_plus,sys_error,total_error,fit_ready,manuscript_bin,mapping_status
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,21-30,,False,1,0.15,0.2,0.175,4.869,0.002533,,,,0.002533,True,21-30,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,31-40,,False,1,0.15,0.2,0.175,14.17,0.007005,,,,0.007005,True,31-40,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,41-50,,False,1,0.15,0.2,0.175,21.53,0.01248,,,,0.01248,True,41-50,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,51-60,,False,1,0.15,0.2,0.175,28.23,0.02112,,,,0.02112,True,51-60,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,61-70,,False,1,0.15,0.2,0.175,34.52,0.03581,,,,0.03581,True,61-70,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,71-80,,False,1,0.15,0.2,0.175,40.46,0.06152,,,,0.06152,True,71-80,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,81-90,,False,1,0.15,0.2,0.175,46.31,0.1079,,,,0.1079,True,81-90,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,91-100,,False,1,0.15,0.2,0.175,51.84,0.1925,,,,0.1925,True,91-100,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,101-125,,False,1,0.15,0.2,0.175,58.51,0.3062,,,,0.3062,True,101-125,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,126-150,,False,1,0.15,0.2,0.175,68.22,1.016,,,,1.016,True,126-150,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,21-30,,False,2,0.2,0.25,0.225,5.028,0.001831,,,,0.001831,True,21-30,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,31-40,,False,2,0.2,0.25,0.225,14.17,0.004983,,,,0.004983,True,31-40,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,41-50,,False,2,0.2,0.25,0.225,21.22,0.008812,,,,0.008812,True,41-50,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,51-60,,False,2,0.2,0.25,0.225,27.65,0.01487,,,,0.01487,True,51-60,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,61-70,,False,2,0.2,0.25,0.225,33.6,0.02513,,,,0.02513,True,61-70,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,71-80,,False,2,0.2,0.25,0.225,39.27,0.04311,,,,0.04311,True,71-80,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,81-90,,False,2,0.2,0.25,0.225,44.84,0.0755,,,,0.0755,True,81-90,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,91-100,,False,2,0.2,0.25,0.225,49.92,0.1343,,,,0.1343,True,91-100,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,101-125,,False,2,0.2,0.25,0.225,56.22,0.2135,,,,0.2135,True,101-125,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,126-150,,False,2,0.2,0.25,0.225,66.24,0.7125,,,,0.7125,True,126-150,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,21-30,,False,3,0.25,0.3,0.275,4.834,0.001735,,,,0.001735,True,21-30,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,31-40,,False,3,0.25,0.3,0.275,13.4,0.004695,,,,0.004695,True,31-40,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,41-50,,False,3,0.25,0.3,0.275,19.99,0.008288,,,,0.008288,True,41-50,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,51-60,,False,3,0.25,0.3,0.275,25.95,0.01396,,,,0.01396,True,51-60,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,61-70,,False,3,0.25,0.3,0.275,31.54,0.02359,,,,0.02359,True,61-70,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,71-80,,False,3,0.25,0.3,0.275,36.81,0.04044,,,,0.04044,True,71-80,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,81-90,,False,3,0.25,0.3,0.275,41.86,0.07068,,,,0.07068,True,81-90,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,91-100,,False,3,0.25,0.3,0.275,46.93,0.1262,,,,0.1262,True,91-100,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,101-125,,False,3,0.25,0.3,0.275,52.69,0.2003,,,,0.2003,True,101-125,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,126-150,,False,3,0.25,0.3,0.275,61.43,0.6648,,,,0.6648,True,126-150,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,21-30,,False,4,0.3,0.35,0.32499999999999996,4.475,0.001643,,,,0.001643,True,21-30,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,31-40,,False,4,0.3,0.35,0.32499999999999996,12.31,0.00443,,,,0.00443,True,31-40,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,41-50,,False,4,0.3,0.35,0.32499999999999996,18.38,0.007824,,,,0.007824,True,41-50,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,51-60,,False,4,0.3,0.35,0.32499999999999996,23.94,0.0132,,,,0.0132,True,51-60,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,61-70,,False,4,0.3,0.35,0.32499999999999996,29.12,0.02232,,,,0.02232,True,61-70,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,71-80,,False,4,0.3,0.35,0.32499999999999996,34.04,0.03829,,,,0.03829,True,71-80,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,81-90,,False,4,0.3,0.35,0.32499999999999996,38.79,0.06699,,,,0.06699,True,81-90,matched_to_manuscript_bin
