rank_in_group,group_label,model_name,component_count,success,chi2_ndf,aic,bic
1,101-125,manuscript_juttner,3,True,0.12590082557104412,21.777024767131323,36.74907958229814
2,101-125,tsallis,1,True,11.033774466620217,403.2158807983278,408.20656573671675
3,101-125,tsallis,2,True,12.036845005807622,409.2158851916515,419.1972550684294
4,101-125,exact_bose_einstein,1,True,25.02042614578841,906.7353412483827,911.7260261867716
5,101-125,manuscript_juttner,1,True,64.19150254682235,2316.8940916856045,2321.8847766239933
1,126-150,tsallis,2,True,0.35409360089167236,23.68508882942519,33.666458706203066
2,126-150,exact_bose_einstein,2,True,1.379576058689396,57.526009936750064,67.50737981352793
3,126-150,tsallis,1,True,8.037408140748223,295.34669306693604,300.337378005325
4,126-150,exact_bose_einstein,1,True,16.82128648807312,611.5663135706324,616.5569985090212
5,126-150,manuscript_juttner,1,True,44.58928182969785,1611.2141458691228,1616.2048308075118
1,21-30,tsallis,1,True,0.1530593052113253,11.51013498760771,16.500819925996648
2,21-30,tsallis,2,True,0.009711840535150559,12.320490737659968,22.301860614437846
3,21-30,tsallis,3,True,0.007903469741917355,18.23710409225752,33.20915890742433
4,21-30,manuscript_juttner,3,True,0.0203538452752891,18.610615358258674,33.582670173425484
5,21-30,manuscript_juttner,2,True,0.685671524996937,34.627160324898924,44.6085302016768
6,21-30,exact_bose_einstein,1,True,22.534081882408582,817.2269477667089,822.2176327050979
7,21-30,manuscript_juttner,1,True,29.403689211862204,1064.5328116270393,1069.5234965654283
1,31-40,tsallis,2,True,0.019692004601479532,12.649836151848824,22.6312060286267
2,31-40,tsallis,3,True,0.012430748784104736,18.372922463523143,33.34497727868995
3,31-40,tsallis,1,True,3.501793113674788,132.0645520922924,137.05523703068133
4,31-40,exact_bose_einstein,1,True,37.00131806473697,1338.0474503305309,1343.0381352689199
5,31-40,manuscript_juttner,1,True,60.86273669445596,2197.0585210004147,2202.0492059388034
1,41-50,tsallis,2,True,0.02533919521997658,12.836193442259226,22.817563319037102
2,41-50,tsallis,3,True,0.01587123148511879,18.476136944553563,33.44819175972038
3,41-50,exact_bose_einstein,2,True,0.9989550066205748,44.96551521847897,54.946885095256846
4,41-50,tsallis,1,True,5.269490605317696,195.70166179143706,200.692346729826
5,41-50,exact_bose_einstein,1,True,29.09051723031636,1053.258620291389,1058.249305229778
6,41-50,manuscript_juttner,1,True,54.291733189438624,1960.5023948197904,1965.4930797581794
1,51-60,tsallis,2,True,0.01777732345029618,12.586651673859773,22.56802155063765
2,51-60,tsallis,3,True,0.032326608578335074,18.969798257350053,33.941853072516864
3,51-60,manuscript_juttner,3,True,0.05333623895731646,19.600087168719494,34.57214198388631
4,51-60,exact_bose_einstein,2,True,1.0644352024833805,47.12636168195156,57.107731558729434
5,51-60,tsallis,1,True,6.155254497974919,227.5891619270971,232.57984686548605
6,51-60,exact_bose_einstein,1,True,24.960747151574477,904.5868974566812,909.5775823950701
7,51-60,manuscript_juttner,1,True,50.61464642761349,1828.1272713940857,1833.1179563324747
1,61-70,tsallis,2,True,0.038928778060554246,13.28464967599829,23.266019552776164
2,61-70,tsallis,1,True,10.588699829133965,387.1931938488227,392.18387878721165
3,61-70,exact_bose_einstein,1,True,33.7262580161282,1220.1452885806152,1225.1359735190042
4,61-70,manuscript_juttner,1,True,74.76791338876998,2697.6448819957195,2702.6355669341083
1,71-80,exact_bose_einstein,3,True,0.045018467507084985,19.35055402521255,34.32260884037937
2,71-80,exact_bose_einstein,2,True,1.6168764090849714,65.35692149980406,75.33829137658194
3,71-80,tsallis,1,True,11.113929082492103,406.1014469697157,411.09213190810465
4,71-80,exact_bose_einstein,1,True,31.08798900441873,1125.1676041590742,1130.1582890974632
5,71-80,manuscript_juttner,1,True,72.35596049639526,2610.814577870229,2615.805262808618
1,81-90,tsallis,1,True,11.680159860398527,426.485754974347,431.47643991273594
2,81-90,exact_bose_einstein,1,True,28.637655537475787,1036.9555993491283,1041.9462842875173
3,81-90,manuscript_juttner,1,True,69.47193801124735,2506.9897684049047,2511.9804533432934
1,91-100,exact_bose_einstein,2,True,1.6313758609580657,65.83540341161617,75.81677328839405
2,91-100,tsallis,1,True,11.578784815997663,422.8362533759159,427.8269383143048
3,91-100,exact_bose_einstein,1,True,27.16732506639053,984.023702390059,989.014387328448
4,91-100,manuscript_juttner,1,True,67.77874685913758,2446.0348869289533,2451.025571867342
