group_label,model_name,component_count,parameter_left,parameter_right,correlation
101-125,manuscript_juttner,1,norm_1,norm_1,1.0
101-125,manuscript_juttner,1,norm_1,temperature_1,-0.9342625845680271
101-125,manuscript_juttner,1,norm_1,U_1,-0.00015799052736561257
101-125,manuscript_juttner,1,temperature_1,norm_1,-0.9342625845680271
101-125,manuscript_juttner,1,temperature_1,temperature_1,1.0
101-125,manuscript_juttner,1,temperature_1,U_1,-0.0021519302126987994
101-125,manuscript_juttner,1,U_1,norm_1,-0.00015799052736561257
101-125,manuscript_juttner,1,U_1,temperature_1,-0.0021519302126987994
101-125,manuscript_juttner,1,U_1,U_1,1.0
101-125,exact_bose_einstein,1,norm_1,norm_1,1.0000000000000002
101-125,exact_bose_einstein,1,norm_1,temperature_1,-0.9310184324853285
101-125,exact_bose_einstein,1,norm_1,U_1,-0.0003210697208605198
101-125,exact_bose_einstein,1,temperature_1,norm_1,-0.9310184324853285
101-125,exact_bose_einstein,1,temperature_1,temperature_1,0.9999999999999999
101-125,exact_bose_einstein,1,temperature_1,U_1,-0.004128318334176771
101-125,exact_bose_einstein,1,U_1,norm_1,-0.0003210697208605198
101-125,exact_bose_einstein,1,U_1,temperature_1,-0.004128318334176771
101-125,exact_bose_einstein,1,U_1,U_1,1.0000000000000002
101-125,tsallis,1,norm_1,norm_1,1.0
101-125,tsallis,1,norm_1,temperature_1,-0.9866035118297533
101-125,tsallis,1,norm_1,q_1,0.8712253266836412
101-125,tsallis,1,temperature_1,norm_1,-0.9866035118297533
101-125,tsallis,1,temperature_1,temperature_1,1.0000000000000002
101-125,tsallis,1,temperature_1,q_1,-0.9249526735142211
101-125,tsallis,1,q_1,norm_1,0.8712253266836412
101-125,tsallis,1,q_1,temperature_1,-0.9249526735142211
101-125,tsallis,1,q_1,q_1,1.0000000000000002
101-125,manuscript_juttner,2,norm_1,norm_1,0.9999999999999998
101-125,manuscript_juttner,2,norm_1,temperature_1,0.39570914419373954
101-125,manuscript_juttner,2,norm_1,U_1,0.5044991929262165
101-125,manuscript_juttner,2,norm_1,norm_2,0.5634378645929072
101-125,manuscript_juttner,2,norm_1,temperature_2,-0.3996455638224325
101-125,manuscript_juttner,2,norm_1,U_2,-0.05424964575295759
101-125,manuscript_juttner,2,temperature_1,norm_1,0.39570914419373954
101-125,manuscript_juttner,2,temperature_1,temperature_1,1.0
101-125,manuscript_juttner,2,temperature_1,U_1,0.9922721925773954
101-125,manuscript_juttner,2,temperature_1,norm_2,-0.12269677546513383
101-125,manuscript_juttner,2,temperature_1,temperature_2,0.024178733699553777
101-125,manuscript_juttner,2,temperature_1,U_2,0.003186543706634959
101-125,manuscript_juttner,2,U_1,norm_1,0.5044991929262165
101-125,manuscript_juttner,2,U_1,temperature_1,0.9922721925773954
101-125,manuscript_juttner,2,U_1,U_1,1.0
101-125,manuscript_juttner,2,U_1,norm_2,-0.045307838695778854
101-125,manuscript_juttner,2,U_1,temperature_2,-0.028005560139751726
101-125,manuscript_juttner,2,U_1,U_2,-0.003810654723877105
101-125,manuscript_juttner,2,norm_2,norm_1,0.5634378645929072
101-125,manuscript_juttner,2,norm_2,temperature_1,-0.12269677546513383
101-125,manuscript_juttner,2,norm_2,U_1,-0.045307838695778854
101-125,manuscript_juttner,2,norm_2,norm_2,0.9999999999999999
101-125,manuscript_juttner,2,norm_2,temperature_2,-0.1988219366185269
101-125,manuscript_juttner,2,norm_2,U_2,0.23591147117433173
101-125,manuscript_juttner,2,temperature_2,norm_1,-0.3996455638224325
101-125,manuscript_juttner,2,temperature_2,temperature_1,0.024178733699553777
101-125,manuscript_juttner,2,temperature_2,U_1,-0.028005560139751726
101-125,manuscript_juttner,2,temperature_2,norm_2,-0.1988219366185269
101-125,manuscript_juttner,2,temperature_2,temperature_2,1.0
101-125,manuscript_juttner,2,temperature_2,U_2,0.894361242634671
101-125,manuscript_juttner,2,U_2,norm_1,-0.05424964575295759
101-125,manuscript_juttner,2,U_2,temperature_1,0.003186543706634959
101-125,manuscript_juttner,2,U_2,U_1,-0.003810654723877105
101-125,manuscript_juttner,2,U_2,norm_2,0.23591147117433173
101-125,manuscript_juttner,2,U_2,temperature_2,0.894361242634671
101-125,manuscript_juttner,2,U_2,U_2,1.0
101-125,exact_bose_einstein,2,norm_1,norm_1,1.0
101-125,exact_bose_einstein,2,norm_1,temperature_1,0.6183694223582155
101-125,exact_bose_einstein,2,norm_1,U_1,0.9511124377265254
101-125,exact_bose_einstein,2,norm_1,norm_2,0.16412582647223417
101-125,exact_bose_einstein,2,norm_1,temperature_2,-0.23536173961679172
101-125,exact_bose_einstein,2,norm_1,U_2,-0.0896075299425058
101-125,exact_bose_einstein,2,temperature_1,norm_1,0.6183694223582155
101-125,exact_bose_einstein,2,temperature_1,temperature_1,1.0
101-125,exact_bose_einstein,2,temperature_1,U_1,0.8296168815947531
101-125,exact_bose_einstein,2,temperature_1,norm_2,-0.11615686801527038
101-125,exact_bose_einstein,2,temperature_1,temperature_2,-0.015999021735454404
101-125,exact_bose_einstein,2,temperature_1,U_2,0.019992816497760125
101-125,exact_bose_einstein,2,U_1,norm_1,0.9511124377265254
101-125,exact_bose_einstein,2,U_1,temperature_1,0.8296168815947531
101-125,exact_bose_einstein,2,U_1,U_1,1.0000000000000002
101-125,exact_bose_einstein,2,U_1,norm_2,0.06742515047795035
101-125,exact_bose_einstein,2,U_1,temperature_2,-0.17010055501279817
101-125,exact_bose_einstein,2,U_1,U_2,-0.05348265695885691
101-125,exact_bose_einstein,2,norm_2,norm_1,0.16412582647223417
101-125,exact_bose_einstein,2,norm_2,temperature_1,-0.11615686801527038
101-125,exact_bose_einstein,2,norm_2,U_1,0.06742515047795035
101-125,exact_bose_einstein,2,norm_2,norm_2,1.0
101-125,exact_bose_einstein,2,norm_2,temperature_2,0.7193485266061024
