,norm_1,temperature_1,beta_s_1,n_1,norm_2,temperature_2,beta_s_2,n_2,norm_3,temperature_3,beta_s_3,n_3
norm_1,11.339906034106214,-0.009041625412951289,-0.032170425071388016,1.1161466943077334,-11.414598876726643,-0.002396318475425596,-0.010550733020830289,0.3998670747428011,-98.82167624377917,-0.0001556410745372051,-0.004803654219938661,0.17851484734736112
temperature_1,-0.009041625412951289,0.00026786499870246847,-0.00021417767096175124,0.006498988275956437,-0.011758194287329429,-5.094839049311065e-06,-4.900689370457065e-05,0.0019261593519932557,-0.14582957161416923,-4.503171680082981e-07,-2.4677224478821325e-05,9.618892167718829e-05
beta_s_1,-0.032170425071388016,-0.00021417767096175124,0.0011380977822196452,0.022389806270600564,0.03582627212629718,5.574967228379424e-06,0.0003273652464918636,-0.0012144102222912052,-0.13109268414198808,6.039478719765069e-06,0.0001667923584862136,0.0008316158953958502
n_1,1.1161466943077334,0.006498988275956437,0.022389806270600564,1.8868855094659356,-1.0831361237730486,-7.360113569827735e-05,0.02093331736356149,0.28988690953317964,-57.77918528174959,8.273277657607533e-05,0.0005513518604744304,0.10974390465679353
norm_2,-11.414598876726643,-0.011758194287329429,0.03582627212629718,-1.0831361237730486,2074.414664342948,-0.06508246028536738,0.036426646902110976,-1.8368821778412843,-8627.009410928891,-0.029414770326232586,-0.020411485628548554,12.090140193598762
temperature_2,-0.002396318475425596,-5.094839049311065e-06,5.574967228379424e-06,-7.360113569827735e-05,-0.06508246028536738,3.409421226447403e-05,-8.303162010061121e-06,0.0009473385621857536,-0.4792044504642141,-7.488323985387265e-07,-1.3939118106557374e-05,0.0013097312244540207
beta_s_2,-0.010550733020830289,-4.900689370457065e-05,0.0003273652464918636,0.02093331736356149,0.036426646902110976,-8.303162010061121e-06,0.001033352876372448,0.0030752095581836106,1.5631521824705057,-5.11369592288022e-06,-0.0002562796369608382,-0.003554960364029831
n_2,0.3998670747428011,0.0019261593519932557,-0.0012144102222912052,0.28988690953317964,-1.8368821778412843,0.0009473385621857536,0.0030752095581836106,0.5540611421275334,-6.774338247991018,-0.00022884240332720032,0.009062451565065802,0.05055596030750185
norm_3,-98.82167624377917,-0.14582957161416923,-0.13109268414198808,-57.77918528174959,-8627.009410928891,-0.4792044504642141,1.5631521824705057,-6.774338247991018,361420.93115253374,-1.0811670158802495,1.1605646008344404,-168.04574716984277
temperature_3,-0.0001556410745372051,-4.503171680082981e-07,6.039478719765069e-06,8.273277657607533e-05,-0.029414770326232586,-7.488323985387265e-07,-5.11369592288022e-06,-0.00022884240332720032,-1.0811670158802495,6.025525659054266e-06,-2.182413422292283e-06,8.074479809233061e-05
beta_s_3,-0.004803654219938661,-2.4677224478821325e-05,0.0001667923584862136,0.0005513518604744304,-0.020411485628548554,-1.3939118106557374e-05,-0.0002562796369608382,0.009062451565065802,1.1605646008344404,-2.182413422292283e-06,0.0004318661406911673,0.0009336384101973688
n_3,0.17851484734736112,9.618892167718829e-05,0.0008316158953958502,0.10974390465679353,12.090140193598762,0.0013097312244540207,-0.003554960364029831,0.05055596030750185,-168.04574716984277,8.074479809233061e-05,0.0009336384101973688,0.2499061368512113
