group_label,model_name,component_count,parameter_name,value,error
101-125,blast_wave,1,norm_1,63853.05469058914,16891.365341660763
101-125,blast_wave,1,temperature_1,0.08714493391878617,0.006782315235104523
101-125,blast_wave,1,beta_s_1,0.9835245092342706,0.002445562517832456
101-125,blast_wave,1,n_1,1.0501642295993765,0.07928291671430349
101-125,tsallis,1,norm_1,7801.309964763732,378.22085561891254
101-125,tsallis,1,temperature_1,0.10273446564104341,0.0017254191813270495
101-125,tsallis,1,q_1,1.2072473475866765,0.0017921606573761961
101-125,manuscript_juttner,1,norm_1,976.2652301807802,28.625056833291865
101-125,manuscript_juttner,1,temperature_1,0.5444878782167701,0.004670849025496582
101-125,manuscript_juttner,1,U_1,2.999999987906938,0.015549999033071193
101-125,blast_wave,2,norm_1,48423.21392341515,24329.010153071253
101-125,blast_wave,2,temperature_1,0.05891039522807105,0.006909214451882605
101-125,blast_wave,2,beta_s_1,0.018110456854817183,0.5393522072028147
101-125,blast_wave,2,n_1,3.88914606881683,3.303576966564557
101-125,blast_wave,2,norm_2,19301.13833797521,1124.1339018187227
101-125,blast_wave,2,temperature_2,0.12275255946459519,0.0022248976976000437
101-125,blast_wave,2,beta_s_2,0.9659908285020988,0.001418242023190075
101-125,blast_wave,2,n_2,1.256077447757242,0.05431624170079141
101-125,tsallis,2,norm_1,391.70882844567006,293.08896363092805
101-125,tsallis,2,temperature_1,0.24318977397909564,0.04170471231684596
101-125,tsallis,2,q_1,1.1226847453661086,0.03139992316490248
101-125,tsallis,2,norm_2,75661.98495211877,30441.094417461438
101-125,tsallis,2,temperature_2,0.043949218860203317,0.0069746234191457035
101-125,tsallis,2,q_2,1.2171126020971046,0.06538818356323084
101-125,manuscript_juttner,2,norm_1,102.64147968885638,6.189708004010299
101-125,manuscript_juttner,2,temperature_1,0.7284358526927702,0.04304289033838543
101-125,manuscript_juttner,2,U_1,2.2918653809176677,0.21411642886407045
101-125,manuscript_juttner,2,norm_2,7464.977851924997,379.91372424286874
101-125,manuscript_juttner,2,temperature_2,0.26849308573166203,0.005114432731605528
101-125,manuscript_juttner,2,U_2,2.9747442768871144,0.04016456737932028
101-125,blast_wave,3,norm_1,617.2502957997222,44.71826403992975
101-125,blast_wave,3,temperature_1,0.3397216393493678,0.0054934752785973096
101-125,blast_wave,3,beta_s_1,0.8312991457021122,0.008539914049925323
101-125,blast_wave,3,n_1,3.9750808570085905,0.34400683450076897
101-125,blast_wave,3,norm_2,88635.95996840288,88636.95995922836
101-125,blast_wave,3,temperature_2,0.044448676846812446,0.014219148957305163
101-125,blast_wave,3,beta_s_2,0.11273780612850177,0.6757926758431336
101-125,blast_wave,3,n_2,1.9379415797683703,2.0031124800207376
101-125,blast_wave,3,norm_3,27753.690887093984,3622.480852763054
101-125,blast_wave,3,temperature_3,0.09422096778842737,0.0034589317506869208
101-125,blast_wave,3,beta_s_3,0.7407508085666569,0.07275029805800176
101-125,blast_wave,3,n_3,1.3234457254443797,0.5886854364326612
101-125,tsallis,3,norm_1,145.8757172296625,308.2642642794912
101-125,tsallis,3,temperature_1,0.11171867045913153,0.12038887436262034
101-125,tsallis,3,q_1,1.0528998783477375,0.8014196026062805
101-125,tsallis,3,norm_2,16721.31530712038,1213.6472870705747
101-125,tsallis,3,temperature_2,0.07602334828887931,0.0018813189791963489
101-125,tsallis,3,q_2,1.0264418515884273,0.01933926022230581
101-125,tsallis,3,norm_3,1046.0992007472785,28.04880723245583
101-125,tsallis,3,temperature_3,0.19375377964051818,0.0014006876215279795
101-125,tsallis,3,q_3,1.1459604026124024,0.0013929454712628964
101-125,manuscript_juttner,3,norm_1,15.628493865758754,1.909129833152857
101-125,manuscript_juttner,3,temperature_1,0.7191091536318802,0.01969941247220952
101-125,manuscript_juttner,3,U_1,1.2494050626676414,0.11209979141693693
101-125,manuscript_juttner,3,norm_2,497.80751274710263,39.832513785364995
101-125,manuscript_juttner,3,temperature_2,0.29716948207029975,0.006515921947911757
101-125,manuscript_juttner,3,U_2,0.8751086344897051,0.09705357169061118
101-125,manuscript_juttner,3,norm_3,11403.380750809196,1370.8820893027269
101-125,manuscript_juttner,3,temperature_3,0.10025074288607189,0.0026767667146108953
101-125,manuscript_juttner,3,U_3,0.7550133829751268,0.12882097808225101
126-150,blast_wave,1,norm_1,76535.51915998127,23866.943111905286
126-150,blast_wave,1,temperature_1,0.08677480585999933,0.007972938432711692
