group_label,model_name,component_count,parameter_left,parameter_right,correlation
101-125,blast_wave,1,norm_1,norm_1,1.0000000000000002
101-125,blast_wave,1,norm_1,temperature_1,-0.9994508433249748
101-125,blast_wave,1,norm_1,beta_s_1,0.991413189573604
101-125,blast_wave,1,norm_1,n_1,-0.965545911139848
101-125,blast_wave,1,temperature_1,norm_1,-0.9994508433249748
101-125,blast_wave,1,temperature_1,temperature_1,1.0
101-125,blast_wave,1,temperature_1,beta_s_1,-0.990900437375618
101-125,blast_wave,1,temperature_1,n_1,0.9718996129591038
101-125,blast_wave,1,beta_s_1,norm_1,0.991413189573604
101-125,blast_wave,1,beta_s_1,temperature_1,-0.990900437375618
101-125,blast_wave,1,beta_s_1,beta_s_1,0.9999999999999999
101-125,blast_wave,1,beta_s_1,n_1,-0.9435393204039486
101-125,blast_wave,1,n_1,norm_1,-0.965545911139848
101-125,blast_wave,1,n_1,temperature_1,0.9718996129591038
101-125,blast_wave,1,n_1,beta_s_1,-0.9435393204039486
101-125,blast_wave,1,n_1,n_1,1.0
101-125,tsallis,1,norm_1,norm_1,1.0000000000000002
101-125,tsallis,1,norm_1,temperature_1,-0.9886508250539889
101-125,tsallis,1,norm_1,q_1,0.87904432008844
101-125,tsallis,1,temperature_1,norm_1,-0.9886508250539889
101-125,tsallis,1,temperature_1,temperature_1,1.0
101-125,tsallis,1,temperature_1,q_1,-0.9278560150171143
101-125,tsallis,1,q_1,norm_1,0.87904432008844
101-125,tsallis,1,q_1,temperature_1,-0.9278560150171143
101-125,tsallis,1,q_1,q_1,1.0000000000000002
101-125,manuscript_juttner,1,norm_1,norm_1,0.9999999999999999
101-125,manuscript_juttner,1,norm_1,temperature_1,-0.9804011316110187
101-125,manuscript_juttner,1,norm_1,U_1,-0.0007446176315637655
101-125,manuscript_juttner,1,temperature_1,norm_1,-0.9804011316110187
101-125,manuscript_juttner,1,temperature_1,temperature_1,1.0000000000000002
101-125,manuscript_juttner,1,temperature_1,U_1,-0.015923577053571523
101-125,manuscript_juttner,1,U_1,norm_1,-0.0007446176315637655
101-125,manuscript_juttner,1,U_1,temperature_1,-0.015923577053571523
101-125,manuscript_juttner,1,U_1,U_1,1.0
101-125,blast_wave,2,norm_1,norm_1,1.0000000000000002
101-125,blast_wave,2,norm_1,temperature_1,-0.9736160876622351
101-125,blast_wave,2,norm_1,beta_s_1,0.13998718359193682
101-125,blast_wave,2,norm_1,n_1,0.010390075865818431
101-125,blast_wave,2,norm_1,norm_2,0.11885424830110226
101-125,blast_wave,2,norm_1,temperature_2,0.05888654756098463
101-125,blast_wave,2,norm_1,beta_s_2,0.0994554088658936
101-125,blast_wave,2,norm_1,n_2,0.43484820189008583
101-125,blast_wave,2,temperature_1,norm_1,-0.9736160876622351
101-125,blast_wave,2,temperature_1,temperature_1,1.0
101-125,blast_wave,2,temperature_1,beta_s_1,-0.12795741582681353
101-125,blast_wave,2,temperature_1,n_1,-0.009495917176696362
101-125,blast_wave,2,temperature_1,norm_2,-0.18398169745323165
101-125,blast_wave,2,temperature_1,temperature_2,-0.03847325875138616
101-125,blast_wave,2,temperature_1,beta_s_2,-0.17389838761041837
101-125,blast_wave,2,temperature_1,n_2,-0.5496393765452273
101-125,blast_wave,2,beta_s_1,norm_1,0.13998718359193682
101-125,blast_wave,2,beta_s_1,temperature_1,-0.12795741582681353
101-125,blast_wave,2,beta_s_1,beta_s_1,1.0
101-125,blast_wave,2,beta_s_1,n_1,0.2401804349297856
101-125,blast_wave,2,beta_s_1,norm_2,-0.01917159408569234
101-125,blast_wave,2,beta_s_1,temperature_2,-0.0077625135332513445
101-125,blast_wave,2,beta_s_1,beta_s_2,-0.013535680044255165
101-125,blast_wave,2,beta_s_1,n_2,-0.06297474683771458
101-125,blast_wave,2,n_1,norm_1,0.010390075865818431
101-125,blast_wave,2,n_1,temperature_1,-0.009495917176696362
101-125,blast_wave,2,n_1,beta_s_1,0.2401804349297856
101-125,blast_wave,2,n_1,n_1,1.0000000000000002
101-125,blast_wave,2,n_1,norm_2,-0.0014246026645798279
101-125,blast_wave,2,n_1,temperature_2,-0.0005768690180479297
101-125,blast_wave,2,n_1,beta_s_2,-0.0010047952121868676
101-125,blast_wave,2,n_1,n_2,-0.004678697644710563
101-125,blast_wave,2,norm_2,norm_1,0.11885424830110226
101-125,blast_wave,2,norm_2,temperature_1,-0.18398169745323165
101-125,blast_wave,2,norm_2,beta_s_1,-0.01917159408569234
101-125,blast_wave,2,norm_2,n_1,-0.0014246026645798279
101-125,blast_wave,2,norm_2,norm_2,0.9999999999999998
101-125,blast_wave,2,norm_2,temperature_2,-0.9479902335560296
101-125,blast_wave,2,norm_2,beta_s_2,0.8618317917883432
101-125,blast_wave,2,norm_2,n_2,-0.2192729845084478
101-125,blast_wave,2,temperature_2,norm_1,0.05888654756098463
101-125,blast_wave,2,temperature_2,temperature_1,-0.03847325875138616
101-125,blast_wave,2,temperature_2,beta_s_1,-0.0077625135332513445
101-125,blast_wave,2,temperature_2,n_1,-0.0005768690180479297
101-125,blast_wave,2,temperature_2,norm_2,-0.9479902335560296
101-125,blast_wave,2,temperature_2,temperature_2,1.0
101-125,blast_wave,2,temperature_2,beta_s_2,-0.799005412107994
101-125,blast_wave,2,temperature_2,n_2,0.49675359112350637
101-125,blast_wave,2,beta_s_2,norm_1,0.0994554088658936
101-125,blast_wave,2,beta_s_2,temperature_1,-0.17389838761041837
101-125,blast_wave,2,beta_s_2,beta_s_1,-0.013535680044255165
101-125,blast_wave,2,beta_s_2,n_1,-0.0010047952121868676
101-125,blast_wave,2,beta_s_2,norm_2,0.8618317917883432
101-125,blast_wave,2,beta_s_2,temperature_2,-0.799005412107994
101-125,blast_wave,2,beta_s_2,beta_s_2,0.9999999999999998
101-125,blast_wave,2,beta_s_2,n_2,0.0009450249416403165
101-125,blast_wave,2,n_2,norm_1,0.43484820189008583
101-125,blast_wave,2,n_2,temperature_1,-0.5496393765452273
101-125,blast_wave,2,n_2,beta_s_1,-0.06297474683771458
101-125,blast_wave,2,n_2,n_1,-0.004678697644710563
101-125,blast_wave,2,n_2,norm_2,-0.2192729845084478
101-125,blast_wave,2,n_2,temperature_2,0.49675359112350637
101-125,blast_wave,2,n_2,beta_s_2,0.0009450249416403165
101-125,blast_wave,2,n_2,n_2,0.9999999999999999
101-125,tsallis,2,norm_1,norm_1,0.9999999999999998
101-125,tsallis,2,norm_1,temperature_1,-0.998245806948094
101-125,tsallis,2,norm_1,q_1,0.9962539498887053
101-125,tsallis,2,norm_1,norm_2,-0.6242089419060279
101-125,tsallis,2,norm_1,temperature_2,0.7043317369140935
101-125,tsallis,2,norm_1,q_2,-0.9627502453899079
101-125,tsallis,2,temperature_1,norm_1,-0.998245806948094
101-125,tsallis,2,temperature_1,temperature_1,0.9999999999999999
101-125,tsallis,2,temperature_1,q_1,-0.9949095017168059
101-125,tsallis,2,temperature_1,norm_2,0.6051353533064763
101-125,tsallis,2,temperature_1,temperature_2,-0.684451954882848
101-125,tsallis,2,temperature_1,q_2,0.9504931231523298
101-125,tsallis,2,q_1,norm_1,0.9962539498887053
101-125,tsallis,2,q_1,temperature_1,-0.9949095017168059
101-125,tsallis,2,q_1,q_1,1.0000000000000002
101-125,tsallis,2,q_1,norm_2,-0.6722579830829357
101-125,tsallis,2,q_1,temperature_2,0.7474963517344656
101-125,tsallis,2,q_1,q_2,-0.9743645924377331
101-125,tsallis,2,norm_2,norm_1,-0.6242089419060279
101-125,tsallis,2,norm_2,temperature_1,0.6051353533064763
101-125,tsallis,2,norm_2,q_1,-0.6722579830829357
101-125,tsallis,2,norm_2,norm_2,1.0
101-125,tsallis,2,norm_2,temperature_2,-0.9916177040991796
101-125,tsallis,2,norm_2,q_2,0.7942654423683435
101-125,tsallis,2,temperature_2,norm_1,0.7043317369140935
101-125,tsallis,2,temperature_2,temperature_1,-0.684451954882848
101-125,tsallis,2,temperature_2,q_1,0.7474963517344656
101-125,tsallis,2,temperature_2,norm_2,-0.9916177040991796
101-125,tsallis,2,temperature_2,temperature_2,0.9999999999999999
101-125,tsallis,2,temperature_2,q_2,-0.8599306331974668
101-125,tsallis,2,q_2,norm_1,-0.9627502453899079
101-125,tsallis,2,q_2,temperature_1,0.9504931231523298
101-125,tsallis,2,q_2,q_1,-0.9743645924377331
101-125,tsallis,2,q_2,norm_2,0.7942654423683435
101-125,tsallis,2,q_2,temperature_2,-0.8599306331974668
101-125,tsallis,2,q_2,q_2,1.0000000000000002
101-125,manuscript_juttner,2,norm_1,norm_1,1.0
101-125,manuscript_juttner,2,norm_1,temperature_1,0.35769364844960744
101-125,manuscript_juttner,2,norm_1,U_1,0.5015246951114425
101-125,manuscript_juttner,2,norm_1,norm_2,0.6331326916119873
101-125,manuscript_juttner,2,norm_1,temperature_2,-0.624257582657487
101-125,manuscript_juttner,2,norm_1,U_2,-0.010309919411438278
101-125,manuscript_juttner,2,temperature_1,norm_1,0.35769364844960744
101-125,manuscript_juttner,2,temperature_1,temperature_1,1.0000000000000002
101-125,manuscript_juttner,2,temperature_1,U_1,0.9867356920736504
101-125,manuscript_juttner,2,temperature_1,norm_2,-0.08314297114863058
101-125,manuscript_juttner,2,temperature_1,temperature_2,0.05956061858572275
101-125,manuscript_juttner,2,temperature_1,U_2,0.0009670692306929128
101-125,manuscript_juttner,2,U_1,norm_1,0.5015246951114425
101-125,manuscript_juttner,2,U_1,temperature_1,0.9867356920736504
101-125,manuscript_juttner,2,U_1,U_1,1.0
101-125,manuscript_juttner,2,U_1,norm_2,0.02545023212225235
101-125,manuscript_juttner,2,U_1,temperature_2,-0.04657493459500355
101-125,manuscript_juttner,2,U_1,U_2,-0.0007811017579080955
101-125,manuscript_juttner,2,norm_2,norm_1,0.6331326916119873
101-125,manuscript_juttner,2,norm_2,temperature_1,-0.08314297114863058
101-125,manuscript_juttner,2,norm_2,U_1,0.02545023212225235
101-125,manuscript_juttner,2,norm_2,norm_2,0.9999999999999998
101-125,manuscript_juttner,2,norm_2,temperature_2,-0.7876628102735211
101-125,manuscript_juttner,2,norm_2,U_2,0.06368783854583526
101-125,manuscript_juttner,2,temperature_2,norm_1,-0.624257582657487
101-125,manuscript_juttner,2,temperature_2,temperature_1,0.05956061858572275
101-125,manuscript_juttner,2,temperature_2,U_1,-0.04657493459500355
101-125,manuscript_juttner,2,temperature_2,norm_2,-0.7876628102735211
101-125,manuscript_juttner,2,temperature_2,temperature_2,1.0
101-125,manuscript_juttner,2,temperature_2,U_2,0.5361540470468448
101-125,manuscript_juttner,2,U_2,norm_1,-0.010309919411438278
101-125,manuscript_juttner,2,U_2,temperature_1,0.0009670692306929128
101-125,manuscript_juttner,2,U_2,U_1,-0.0007811017579080955
101-125,manuscript_juttner,2,U_2,norm_2,0.06368783854583526
101-125,manuscript_juttner,2,U_2,temperature_2,0.5361540470468448
101-125,manuscript_juttner,2,U_2,U_2,0.9999999999999999
101-125,blast_wave,3,norm_1,norm_1,1.0
101-125,blast_wave,3,norm_1,temperature_1,-0.9248878261266844
101-125,blast_wave,3,norm_1,beta_s_1,0.40837770336299856
101-125,blast_wave,3,norm_1,n_1,0.04165149825914961
101-125,blast_wave,3,norm_1,norm_2,0.02481739212889028
101-125,blast_wave,3,norm_1,temperature_2,-0.04848430321401511
101-125,blast_wave,3,norm_1,beta_s_2,-0.019812762608946446
101-125,blast_wave,3,norm_1,n_2,-0.00990974283502489
101-125,blast_wave,3,norm_1,norm_3,-0.07599898175128199
101-125,blast_wave,3,norm_1,temperature_3,-0.0934755548433144
101-125,blast_wave,3,norm_1,beta_s_3,-0.38726070914824995
101-125,blast_wave,3,norm_1,n_3,-0.1048093350124961
101-125,blast_wave,3,temperature_1,norm_1,-0.9248878261266844
101-125,blast_wave,3,temperature_1,temperature_1,1.0000000000000002
101-125,blast_wave,3,temperature_1,beta_s_1,-0.5374282971106594
101-125,blast_wave,3,temperature_1,n_1,0.1586189482956419
101-125,blast_wave,3,temperature_1,norm_2,-0.008650883606495876
101-125,blast_wave,3,temperature_1,temperature_2,0.0351492904666714
101-125,blast_wave,3,temperature_1,beta_s_2,0.011720911126753506
101-125,blast_wave,3,temperature_1,n_2,0.005794740325813662
101-125,blast_wave,3,temperature_1,norm_3,0.06037693557760783
101-125,blast_wave,3,temperature_1,temperature_3,0.060834008010812866
101-125,blast_wave,3,temperature_1,beta_s_3,0.1274315194151733
101-125,blast_wave,3,temperature_1,n_3,-0.06506786809202986
101-125,blast_wave,3,beta_s_1,norm_1,0.40837770336299856
101-125,blast_wave,3,beta_s_1,temperature_1,-0.5374282971106594
101-125,blast_wave,3,beta_s_1,beta_s_1,1.0000000000000002
101-125,blast_wave,3,beta_s_1,n_1,0.4169747706947725
101-125,blast_wave,3,beta_s_1,norm_2,-0.010048169996414683
101-125,blast_wave,3,beta_s_1,temperature_2,-0.013927522220098543
101-125,blast_wave,3,beta_s_1,beta_s_2,-0.0006955670523385835
101-125,blast_wave,3,beta_s_1,n_2,-0.00021689819826264882
101-125,blast_wave,3,beta_s_1,norm_3,-0.016839831181913276
101-125,blast_wave,3,beta_s_1,temperature_3,-0.0013426008352011287
101-125,blast_wave,3,beta_s_1,beta_s_3,0.17643483976514632
101-125,blast_wave,3,beta_s_1,n_3,0.2212698319891319
101-125,blast_wave,3,n_1,norm_1,0.04165149825914961
101-125,blast_wave,3,n_1,temperature_1,0.1586189482956419
101-125,blast_wave,3,n_1,beta_s_1,0.4169747706947725
101-125,blast_wave,3,n_1,n_1,1.0
101-125,blast_wave,3,n_1,norm_2,0.014796674543105981
101-125,blast_wave,3,n_1,temperature_2,-0.024466405820559017
101-125,blast_wave,3,n_1,beta_s_2,-0.010363149599686455
101-125,blast_wave,3,n_1,n_2,-0.005186856429185353
101-125,blast_wave,3,n_1,norm_3,-0.011169144500719878
101-125,blast_wave,3,n_1,temperature_3,-0.025199756645951272
101-125,blast_wave,3,n_1,beta_s_3,-0.21068159865346808
101-125,blast_wave,3,n_1,n_3,-0.0941729634124068
101-125,blast_wave,3,norm_2,norm_1,0.02481739212889028
101-125,blast_wave,3,norm_2,temperature_1,-0.008650883606495876
101-125,blast_wave,3,norm_2,beta_s_1,-0.010048169996414683
101-125,blast_wave,3,norm_2,n_1,0.014796674543105981
101-125,blast_wave,3,norm_2,norm_2,1.0
101-125,blast_wave,3,norm_2,temperature_2,-0.9623313231278585
101-125,blast_wave,3,norm_2,beta_s_2,0.10602418494634784
101-125,blast_wave,3,norm_2,n_2,0.052740170124696055
101-125,blast_wave,3,norm_2,norm_3,0.09106261871665293
101-125,blast_wave,3,norm_2,temperature_3,0.09185363846182915
101-125,blast_wave,3,norm_2,beta_s_3,-0.01797081952201028
101-125,blast_wave,3,norm_2,n_3,0.13606681216838004
101-125,blast_wave,3,temperature_2,norm_1,-0.04848430321401511
101-125,blast_wave,3,temperature_2,temperature_1,0.0351492904666714
101-125,blast_wave,3,temperature_2,beta_s_1,-0.013927522220098543
101-125,blast_wave,3,temperature_2,n_1,-0.024466405820559017
101-125,blast_wave,3,temperature_2,norm_2,-0.9623313231278585
101-125,blast_wave,3,temperature_2,temperature_2,1.0
101-125,blast_wave,3,temperature_2,beta_s_2,-0.07457792245210426
101-125,blast_wave,3,temperature_2,n_2,-0.03652605405891351
101-125,blast_wave,3,temperature_2,norm_3,-0.17336291588591488
101-125,blast_wave,3,temperature_2,temperature_3,-0.10012433741252429
101-125,blast_wave,3,temperature_2,beta_s_3,-0.07678900766895999
101-125,blast_wave,3,temperature_2,n_3,-0.3039019841238122
101-125,blast_wave,3,beta_s_2,norm_1,-0.019812762608946446
101-125,blast_wave,3,beta_s_2,temperature_1,0.011720911126753506
101-125,blast_wave,3,beta_s_2,beta_s_1,-0.0006955670523385835
101-125,blast_wave,3,beta_s_2,n_1,-0.010363149599686455
101-125,blast_wave,3,beta_s_2,norm_2,0.10602418494634784
101-125,blast_wave,3,beta_s_2,temperature_2,-0.07457792245210426
101-125,blast_wave,3,beta_s_2,beta_s_2,1.0
101-125,blast_wave,3,beta_s_2,n_2,0.8496491787626053
101-125,blast_wave,3,beta_s_2,norm_3,-0.07598039295367467
101-125,blast_wave,3,beta_s_2,temperature_3,-0.04899261737620216
101-125,blast_wave,3,beta_s_2,beta_s_3,-0.01174684853810413
101-125,blast_wave,3,beta_s_2,n_3,-0.1129532710164775
101-125,blast_wave,3,n_2,norm_1,-0.00990974283502489
101-125,blast_wave,3,n_2,temperature_1,0.005794740325813662
101-125,blast_wave,3,n_2,beta_s_1,-0.00021689819826264882
101-125,blast_wave,3,n_2,n_1,-0.005186856429185353
101-125,blast_wave,3,n_2,norm_2,0.052740170124696055
101-125,blast_wave,3,n_2,temperature_2,-0.03652605405891351
101-125,blast_wave,3,n_2,beta_s_2,0.8496491787626053
101-125,blast_wave,3,n_2,n_2,1.0
101-125,blast_wave,3,n_2,norm_3,-0.03824507615104907
101-125,blast_wave,3,n_2,temperature_3,-0.024735254491422238
101-125,blast_wave,3,n_2,beta_s_3,-0.0052921649035402975
101-125,blast_wave,3,n_2,n_3,-0.056156071580520155
101-125,blast_wave,3,norm_3,norm_1,-0.07599898175128199
101-125,blast_wave,3,norm_3,temperature_1,0.06037693557760783
101-125,blast_wave,3,norm_3,beta_s_1,-0.016839831181913276
101-125,blast_wave,3,norm_3,n_1,-0.011169144500719878
101-125,blast_wave,3,norm_3,norm_2,0.09106261871665293
101-125,blast_wave,3,norm_3,temperature_2,-0.17336291588591488
101-125,blast_wave,3,norm_3,beta_s_2,-0.07598039295367467
101-125,blast_wave,3,norm_3,n_2,-0.03824507615104907
101-125,blast_wave,3,norm_3,norm_3,1.0
101-125,blast_wave,3,norm_3,temperature_3,-0.8740983391120113
101-125,blast_wave,3,norm_3,beta_s_3,0.30945230445504995
101-125,blast_wave,3,norm_3,n_3,0.09861473098289997
101-125,blast_wave,3,temperature_3,norm_1,-0.0934755548433144
101-125,blast_wave,3,temperature_3,temperature_1,0.060834008010812866
101-125,blast_wave,3,temperature_3,beta_s_1,-0.0013426008352011287
101-125,blast_wave,3,temperature_3,n_1,-0.025199756645951272
101-125,blast_wave,3,temperature_3,norm_2,0.09185363846182915
101-125,blast_wave,3,temperature_3,temperature_2,-0.10012433741252429
101-125,blast_wave,3,temperature_3,beta_s_2,-0.04899261737620216
