pt_center_gev,yield_value,total_error,prediction,residual,pull
0.175,58.51,1.4702389057564762,17.657964677911004,40.852035322088994,27.785984415280833
0.225,56.22,1.3934529952603354,22.022719235866127,34.19728076413387,24.54139528240411
0.275,52.69,1.31039882860143,25.572630648666973,27.117369351333025,20.69398167905492
0.3249999999999999,48.99,1.222866309127862,28.255628034935988,20.734371965064014,16.955550913698485
0.375,44.85,1.1234168238013886,30.11175504643898,14.738244953561022,13.11912430124567
0.425,41.2,1.038146733366724,31.22676576554082,9.973234234459184,9.606767438467825
0.475,37.72,0.9574355591892332,31.704100770786024,6.015899229213975,6.283346353156451
0.525,34.11,0.8719940653467775,31.649517045499493,2.460482954500506,2.8216739680699696
0.575,31.26,0.8059003970714992,31.16318364559852,0.09681635440148284,0.12013439223171561
0.625,28.73,0.7476496104459628,30.335948480654036,-1.6059484806540354,-2.1479961444721534
0.675,26.33,0.6924781657207684,29.247892645330207,-2.917892645330209,-4.213696243105528
0.725,24.13,0.6418669176706336,27.968130352025245,-3.838130352025246,-5.979635725664143
0.775,22.32,0.6007129430934546,26.55527810569489,-4.2352781056948885,-7.050419263291943
0.825,20.51,0.5591188156376067,25.058268737792208,-4.548268737792206,-8.134708778500794
0.875,18.92,0.5228934595115912,23.517323300574702,-4.5973233005747005,-8.792084155860033
0.925,17.56,0.4922486058893413,21.964970789113504,-4.404970789113506,-8.94867092849371
0.975,16.15,0.4598602505109568,20.427050494182065,-4.277050494182067,-9.30076145835562
1.05,14.25,0.5152938405414914,18.18983759292516,-3.9398375929251586,-7.645807659538526
1.15,12.38,0.4565977840506894,15.406272640508428,-3.0262726405084273,-6.627874129525921
1.25,10.52,0.4015884885053355,12.905943682410532,-2.3859436824105327,-5.941265127620392
1.35,9.241,0.3534354741674921,10.711930289575742,-1.4709302895757421,-4.161807167320936
1.45,7.823,0.3155023659182288,8.821210897154563,-0.9982108971545625,-3.1638776915329903
1.55,6.751,0.2731359287973663,7.215170143989015,-0.4641701439890147,-1.6994107880013565
1.65,5.741,0.2473486316921927,5.866883152647904,-0.12588315264790406,-0.5089300546629117
1.75,5.101,0.2203717078029754,4.745981806266533,0.3550181937334669,1.6109971523698174
1.85,4.337,0.2090160579955521,3.8217649392338027,0.5152350607661971,2.4650501291970657
1.95,3.801,0.1837252296229344,3.065069433292059,0.7359305667079412,4.005604283191355
2.1,3.069,0.1468382102860151,2.186753825352857,0.8822461746471428,6.0082874405012285
2.3,2.381,0.1144131203140619,1.3792074611310416,1.0017925388689581,8.755923587426478
2.5,1.798,0.0869588483134407,0.8609934027765616,0.9370065972234385,10.775287568736246
2.7,1.394,0.0678942714814733,0.5328865925999527,0.8611134074000472,12.683152622604164
2.9,1.085,0.0533586403499939,0.32741478989881295,0.7575852101011871,14.197985652032711
3.1,0.8806,0.0437313491673879,0.1999113228009168,0.6806886771990832,15.56523386904098
3.3,0.69,0.0348367291805645,0.1213982151445428,0.5686017848554572,16.321905018932764
3.5,0.5431,0.0278700017940437,0.07336979471698296,0.46973020528301707,16.854329926286784
3.7,0.4258,0.0222193119830475,0.04415661570612032,0.3816433842938797,17.17620170170252
3.9,0.353,0.0187569080607652,0.02647592878200078,0.3265240712179992,17.408203428847987
4.25,0.2458,0.012516899616119,0.010732350063482849,0.23506764993651713,18.78002198194527
4.75,0.1559,0.008222721021657,0.0029119152740416606,0.15298808472595835,18.605530252457598
5.25,0.1034,0.0057264579802876,0.0007792256459920959,0.1026207743540079,17.920462301000587
5.75,0.06647,0.0039278982929806,0.00020620524724384293,0.06626379475275616,16.87003832842966
6.25,0.04112,0.0026847260567886,5.406800087857142e-05,0.041065931999121424,15.29613492418792
6.75,0.0312,0.002172232492161,1.406801372834319e-05,0.031185931986271655,14.356627156077103
7.5,0.01977,0.0013015968116125,1.8448698619571936e-06,0.019768155130138042,15.187617973378414
9.0,0.009162,0.0006136808942764,3.068697288776506e-08,0.009161969313027112,14.929533245173165
11.5,0.003428,0.0002648314935954,3.10823436808716e-11,0.0034279999689176563,12.944079733035192
16.5,0.0007988,7.75610856035422e-05,2.7570135734176082e-17,0.0007987999999999725,10.298979105102823
