pt_center_gev,yield_value,total_error,prediction,residual,pull
0.175,46.31,1.150072784653215,13.783587489690431,32.52641251030957,28.282046966372967
0.225,44.84,1.1035856332881469,17.14875370819403,27.691246291805975,25.09206848706391
0.275,41.86,1.0314245791137615,19.86406140154091,21.99593859845909,21.32578478724913
0.3249999999999999,38.79,0.9601398336179996,21.894524988388415,16.895475011611584,17.596889973771887
0.375,35.5,0.8812691075942695,23.276331163830072,12.223668836169928,13.870529138980809
0.425,32.45,0.808930461102807,24.080291399926743,8.36970860007326,10.34663546810058
0.475,29.44,0.7384921797825621,24.390016067692493,5.049983932307509,6.838236166284659
0.525,26.62,0.6731084326466278,24.29007064162176,2.3299293583782408,3.461447287500289
0.575,24.38,0.6187975287604177,23.85996489206258,0.5200351079374173,0.8403962261762059
0.625,22.21,0.5713688951981898,23.17137740712531,-0.9613774071253083,-1.6825861806702602
0.675,20.21,0.5253670401728682,22.287143630383277,-2.0771436303832758,-3.953699930813716
0.725,18.55,0.4850396688931741,21.26119786256894,-2.711197862568941,-5.589641500365735
0.775,17.03,0.4518825233398609,20.13902274376336,-3.109022743763358,-6.880157083271533
0.825,15.6,0.4173406068189387,18.958355188617677,-3.3583551886176775,-8.047036721913534
0.875,14.3,0.3845055427428843,17.75000415773594,-3.4500041577359397,-8.972573277163209
0.925,13.13,0.3598177912499603,16.53869538081608,-3.408695380816079,-9.473393099809527
0.975,12.04,0.3352837818922949,15.34389308750134,-3.3038930875013417,-9.854019985263319
1.05,10.76,0.385899510365069,13.61433884057716,-2.85433884057716,-7.396585805141075
1.15,9.071,0.3310551133874841,11.475750711765654,-2.4047507117656544,-7.26389841002398
1.25,7.663,0.2897888997183984,9.567277789388829,-1.9042777893888285,-6.5712585652497575
1.35,6.695,0.2532968466049272,7.90280723445802,-1.20780723445802,-4.7683469046176645
1.45,5.6,0.2227161251458906,6.476751968328941,-0.8767519683289411,-3.9366344388158834
1.55,4.859,0.1933231411393887,5.27219796715997,-0.41319796715997015,-2.137343541620031
1.65,4.092,0.1737435466427458,4.266477749538688,-0.17447774953868844,-1.0042257851306116
1.75,3.609,0.1532480668719837,3.4348357677806596,0.1741642322193404,1.1364856717235403
1.85,3.056,0.1450437827002591,2.752724471453751,0.3032755285462492,2.09092401549527
1.95,2.653,0.1259473302615025,2.1971463066565264,0.4558536933434736,3.6193994140010077
2.1,2.131,0.1008684836606558,1.556325025311343,0.5746749746886568,5.697269888798886
2.3,1.598,0.0757747555324331,0.9722451633635842,0.6257548366364158,8.258091131268387
2.5,1.229,0.058332049689686,0.6011675409572608,0.6278324590427393,10.763079000012402
2.7,0.926,0.0441367012813599,0.3685389733928431,0.5574610266071569,12.630328285149563
2.9,0.7271,0.0347043989862956,0.22428641570034466,0.5028135842996553,14.488468291821192
3.1,0.5486,0.0266267250896538,0.13564411389013714,0.41295588610986284,15.509075363921598
3.3,0.4349,0.0209648698779649,0.081590071457152,0.35330992854284804,16.85247419132298
3.5,0.3457,0.0167356970574876,0.04884342357436371,0.2968565764256363,17.737927222626308
3.7,0.2691,0.0131269236685523,0.029117257638791593,0.23998274236120842,18.28171995363441
3.9,0.222,0.0108855695303461,0.01729313414210136,0.20470686585789866,18.805342732617696
4.25,0.1513,0.0072583383773422,0.006894299313266348,0.14440570068673364,19.895145855629146
4.75,0.09103,0.0044197278196739,0.0018266580081455093,0.08920334199185449,20.18299443571531
5.25,0.05924,0.002995836217152,0.00047734514141835446,0.05876265485858165,19.6147755081366
5.75,0.03775,0.0019533720178194,0.00012335759800418203,0.03762664240199581,19.262404733328477
6.25,0.02594,0.0013512398010715,3.158701024034858e-05,0.02590841298975965,19.17380835675127
6.75,0.01805,0.0009738493980077,8.026149891978792e-06,0.01804197385010802,18.526451715242903
7.5,0.01134,0.0005978546729766,1.0157952889186974e-06,0.011338984204711081,18.96612122851951
9.0,0.005377,0.0002946788421315,1.5737812743017064e-08,0.005376984262187257,18.246930194560033
11.5,0.001723,0.0001044799129019,1.4161918915086536e-11,0.001722999985838081,16.491208099071336
16.5,0.0003759,2.694638009083966e-05,9.916351117938739e-18,0.00037589999999999006,13.949925694389508
