bin_label,n_full,n_trunc,T_full_MeV,beta_s_full,sigma_T_full,sigma_beta_s_full,chi2_ndf_full,conv_full,T_trunc_MeV,beta_s_trunc,sigma_T_trunc,sigma_beta_s_trunc,chi2_ndf_trunc,conv_trunc,delta_T_MeV,delta_T_nsigma,delta_beta_s,delta_beta_s_nsigma,flag
101-125,32,25,93.08,0.9813,1.76,0.0010,1.754,0,126.57,0.9586,2.72,0.0030,0.078,0,+33.49,10.33,-0.0228,7.23,FIT-RANGE-DEPENDENT
126-150,32,25,86.47,0.9869,1.87,0.0009,1.619,0,125.20,0.9647,3.20,0.0032,0.345,0,+38.73,10.45,-0.0222,6.67,FIT-RANGE-DEPENDENT
21-30,32,25,124.90,0.8216,3.71,0.0190,8.776,0,81.39,0.9549,3.83,0.0024,0.621,0,-43.51,8.16,+0.1334,6.98,FIT-RANGE-DEPENDENT
31-40,32,25,107.56,0.9444,2.31,0.0025,0.185,0,82.08,0.9665,1.64,0.0017,0.268,0,-25.48,8.99,+0.0221,7.25,FIT-RANGE-DEPENDENT
41-50,32,25,78.54,0.9740,1.62,0.0012,0.074,0,63.58,0.9822,1.29,0.0009,0.099,0,-14.96,7.24,+0.0081,5.29,FIT-RANGE-DEPENDENT
51-60,32,25,72.14,0.9810,1.48,0.0009,0.155,0,75.97,0.9781,1.66,0.0013,0.044,0,+3.83,1.72,-0.0028,1.76,stable
61-70,32,25,74.96,0.9820,1.25,0.0008,0.565,0,70.36,0.9825,1.26,0.0009,0.049,0,-4.59,2.59,+0.0004,0.37,FIT-RANGE-DEPENDENT
71-80,32,25,79.85,0.9819,1.36,0.0008,0.842,0,105.78,0.9652,2.08,0.0021,0.053,0,+25.93,10.45,-0.0167,7.36,FIT-RANGE-DEPENDENT
81-90,32,25,79.86,0.9836,1.39,0.0008,1.148,0,55.61,0.9898,0.97,0.0005,0.071,0,-24.25,14.30,+0.0062,6.67,FIT-RANGE-DEPENDENT
91-100,32,25,86.31,0.9830,1.57,0.0009,1.358,0,121.34,0.9606,2.53,0.0027,0.100,0,+35.02,11.76,-0.0224,7.83,FIT-RANGE-DEPENDENT
