rank_in_group,group_label,model_name,component_count,success,chi2_ndf,aic,bic
1,126-150,blast_wave,1,True,5.327525063042053,237.08357771080827,244.4841681176485
2,126-150,tsallis,1,True,12.307037916129913,547.5096683097162,553.0601111148463
3,126-150,exact_bose_einstein,1,True,85.57305505174185,3771.2144222766415,3776.764865081772
4,126-150,manuscript_juttner,1,True,103.41286431758239,4556.166029973625,4561.716472778755
1,21-30,tsallis,2,True,0.361574924690127,26.824571912295205,37.925457522555554
2,21-30,tsallis,1,True,0.5894496435812565,31.935784317575287,37.48622712270546
3,21-30,blast_wave,1,True,18.92269477439019,821.6758752987782,829.0764657056185
4,21-30,exact_bose_einstein,1,True,63.73969611814539,2810.546629198397,2816.0970720035275
5,21-30,manuscript_juttner,1,True,67.07308201788453,2957.2156087869193,2962.7660515920497
1,31-40,tsallis,2,True,1.0254750539992163,54.044477213967866,65.14536282422822
2,31-40,tsallis,1,True,6.567126252405166,294.9535551058273,300.5039979109575
3,31-40,blast_wave,1,True,28.840938986741072,1248.1603764298661,1255.5609668367063
4,31-40,manuscript_juttner,2,True,46.43460973089303,1915.8189989666143,1926.9198845768747
5,31-40,exact_bose_einstein,1,True,147.4225515472535,6492.592268079155,6498.1427108842845
6,31-40,manuscript_juttner,1,True,160.35392500371955,7061.572700163661,7067.1231429687905
1,41-50,tsallis,2,True,1.3377002959556163,66.84571213418027,77.94659774444062
2,41-50,tsallis,1,True,9.11031493366447,406.8538570812367,412.40429988636686
3,41-50,blast_wave,1,True,25.461917524555766,1102.862453555898,1110.263043962738
4,41-50,exact_bose_einstein,1,True,142.69050423645453,6284.382186403999,6289.932629209129
5,41-50,manuscript_juttner,1,True,157.77333317870043,6948.026659862819,6953.577102667949
1,51-60,tsallis,2,True,1.4287654282833544,70.57938255961753,81.68026816987788
2,51-60,tsallis,1,True,10.627256342336892,473.59927906282326,479.1497218679534
3,51-60,blast_wave,1,True,24.067361415823672,1042.896540880418,1050.297131287258
4,51-60,exact_bose_einstein,1,True,138.7087890172126,6109.186716757355,6114.7371595624845
5,51-60,manuscript_juttner,1,True,154.9825850796553,6825.233743504834,6830.784186309964
1,61-70,tsallis,1,True,18.417977082853263,816.3909916455435,821.9414344506737
2,61-70,tsallis,2,True,19.765634172290113,822.3910010638947,833.491886674155
3,61-70,blast_wave,1,True,29.754684972643393,1287.4514538236658,1294.852044230506
4,61-70,exact_bose_einstein,1,True,193.531646061133,8521.392426689852,8526.942869494982
5,61-70,manuscript_juttner,1,True,218.45505191040274,9618.02228405772,9623.57272686285
1,71-80,tsallis,2,True,2.0480913530397253,95.97174547462873,107.07263108488908
2,71-80,tsallis,1,True,19.186295197081208,850.1969886715732,855.7474314767034
3,71-80,blast_wave,1,True,26.387560522919763,1142.6651024855498,1150.06569289239
4,71-80,exact_bose_einstein,1,True,185.96875746642561,8188.625328522728,8194.175771327858
5,71-80,manuscript_juttner,1,True,211.70137709625172,9320.860592235076,9326.411035040206
1,81-90,tsallis,1,True,19.35293392105788,857.5290925265466,863.0795353316768
2,81-90,tsallis,2,True,20.769002315468224,863.5290949341972,874.6299805444576
3,81-90,blast_wave,1,True,21.68090849742255,940.2790653891697,947.6796557960099
4,81-90,exact_bose_einstein,1,True,172.5544128822404,7598.394166818577,7603.944609623707
5,81-90,manuscript_juttner,1,True,198.573032350027,8743.213423401188,8748.763866206318
1,91-100,tsallis,2,True,1.610742864167549,78.04045743086951,89.14134304112986
2,91-100,blast_wave,1,True,16.668621263174938,724.7507143165222,732.1513047233625
3,91-100,tsallis,1,True,19.614443941976088,869.0355334469479,874.585976252078
4,91-100,exact_bose_einstein,2,True,38.68806624801667,1598.2107161686833,1609.3116017789437
5,91-100,exact_bose_einstein,1,True,158.34221315532812,6973.057378834437,6978.607821639567
6,91-100,manuscript_juttner,1,True,184.2879057395096,8114.667852538422,8120.218295343552
