group_label,model_name,component_count,parameter_left,parameter_right,correlation
101-125,manuscript_juttner,2,norm_1,norm_1,1.0
101-125,manuscript_juttner,2,norm_1,temperature_1,-0.40350449176815745
101-125,manuscript_juttner,2,norm_1,U_1,0.06039556980564702
101-125,manuscript_juttner,2,norm_1,norm_2,0.7200690023619065
101-125,manuscript_juttner,2,norm_1,temperature_2,-0.4075307116467558
101-125,manuscript_juttner,2,norm_1,U_2,-0.0622737626450619
101-125,manuscript_juttner,2,temperature_1,norm_1,-0.40350449176815745
101-125,manuscript_juttner,2,temperature_1,temperature_1,0.9999999999999999
101-125,manuscript_juttner,2,temperature_1,U_1,0.8859117111040751
101-125,manuscript_juttner,2,temperature_1,norm_2,-0.34422863318424907
101-125,manuscript_juttner,2,temperature_1,temperature_2,0.1934719605609623
101-125,manuscript_juttner,2,temperature_1,U_2,0.02958680636231203
101-125,manuscript_juttner,2,U_1,norm_1,0.06039556980564702
101-125,manuscript_juttner,2,U_1,temperature_1,0.8859117111040751
101-125,manuscript_juttner,2,U_1,U_1,1.0
101-125,manuscript_juttner,2,U_1,norm_2,-0.024533394436037553
101-125,manuscript_juttner,2,U_1,temperature_2,0.01185507537805973
101-125,manuscript_juttner,2,U_1,U_2,0.0019346094245032376
101-125,manuscript_juttner,2,norm_2,norm_1,0.7200690023619065
101-125,manuscript_juttner,2,norm_2,temperature_1,-0.34422863318424907
101-125,manuscript_juttner,2,norm_2,U_1,-0.024533394436037553
101-125,manuscript_juttner,2,norm_2,norm_2,0.9999999999999999
101-125,manuscript_juttner,2,norm_2,temperature_2,-0.25995998934610703
101-125,manuscript_juttner,2,norm_2,U_2,0.16351077437023276
101-125,manuscript_juttner,2,temperature_2,norm_1,-0.4075307116467558
101-125,manuscript_juttner,2,temperature_2,temperature_1,0.1934719605609623
101-125,manuscript_juttner,2,temperature_2,U_1,0.01185507537805973
101-125,manuscript_juttner,2,temperature_2,norm_2,-0.25995998934610703
101-125,manuscript_juttner,2,temperature_2,temperature_2,0.9999999999999999
101-125,manuscript_juttner,2,temperature_2,U_2,0.9060495693416217
101-125,manuscript_juttner,2,U_2,norm_1,-0.0622737626450619
101-125,manuscript_juttner,2,U_2,temperature_1,0.02958680636231203
101-125,manuscript_juttner,2,U_2,U_1,0.0019346094245032376
101-125,manuscript_juttner,2,U_2,norm_2,0.16351077437023276
101-125,manuscript_juttner,2,U_2,temperature_2,0.9060495693416217
101-125,manuscript_juttner,2,U_2,U_2,1.0
126-150,manuscript_juttner,1,norm_1,norm_1,0.9999999999999999
126-150,manuscript_juttner,1,norm_1,temperature_1,-0.9778574478918223
126-150,manuscript_juttner,1,norm_1,U_1,-0.00020689964127196898
126-150,manuscript_juttner,1,temperature_1,norm_1,-0.9778574478918223
126-150,manuscript_juttner,1,temperature_1,temperature_1,0.9999999999999999
126-150,manuscript_juttner,1,temperature_1,U_1,-0.0033259956778158898
126-150,manuscript_juttner,1,U_1,norm_1,-0.00020689964127196898
126-150,manuscript_juttner,1,U_1,temperature_1,-0.0033259956778158898
126-150,manuscript_juttner,1,U_1,U_1,0.9999999999999998
126-150,exact_bose_einstein,1,norm_1,norm_1,1.0000000000000002
126-150,exact_bose_einstein,1,norm_1,temperature_1,-0.9765349696109511
126-150,exact_bose_einstein,1,norm_1,U_1,0.00032525566456865357
126-150,exact_bose_einstein,1,temperature_1,norm_1,-0.9765349696109511
126-150,exact_bose_einstein,1,temperature_1,temperature_1,0.9999999999999999
126-150,exact_bose_einstein,1,temperature_1,U_1,0.004753551465403795
126-150,exact_bose_einstein,1,U_1,norm_1,0.00032525566456865357
126-150,exact_bose_einstein,1,U_1,temperature_1,0.004753551465403795
126-150,exact_bose_einstein,1,U_1,U_1,1.0
126-150,tsallis,1,norm_1,norm_1,1.0
126-150,tsallis,1,norm_1,temperature_1,-0.9846301669684737
126-150,tsallis,1,norm_1,q_1,0.8291954575301028
126-150,tsallis,1,temperature_1,norm_1,-0.9846301669684737
126-150,tsallis,1,temperature_1,temperature_1,1.0
126-150,tsallis,1,temperature_1,q_1,-0.8905382066618924
126-150,tsallis,1,q_1,norm_1,0.8291954575301028
126-150,tsallis,1,q_1,temperature_1,-0.8905382066618924
126-150,tsallis,1,q_1,q_1,1.0
126-150,blast_wave,1,norm_1,norm_1,1.0
126-150,blast_wave,1,norm_1,temperature_1,-0.9995134908188823
126-150,blast_wave,1,norm_1,beta_s_1,0.9889700863406874
126-150,blast_wave,1,norm_1,n_1,-0.9723880701207105
126-150,blast_wave,1,temperature_1,norm_1,-0.9995134908188823
