bin,model,n_comp,mean_pull,rms_pull,ks_pvalue,well_specified
101-125,blast_wave,1c,0.7691386806310825,3.4412809865237235,0.0016708040900872412,False
126-150,blast_wave,1c,0.5321417665759429,2.207740626681053,0.008721953059886656,False
21-30,blast_wave,1c,1.3678770097725836,4.1607995224393415,2.2145825956540386e-06,False
31-40,blast_wave,1c,1.3166015994631917,5.136768535555159,2.7992388327879482e-06,False
41-50,blast_wave,1c,1.2123910425364646,4.8264837946830665,2.747581926004849e-06,False
51-60,blast_wave,1c,1.1777711741533312,4.692448757086351,1.4714351938143687e-06,False
61-70,blast_wave,1c,1.2521052789243876,5.2175062393781895,2.6625764922389076e-07,False
71-80,blast_wave,1c,1.1475800985100386,4.913431661393278,6.884325312593567e-07,False
81-90,blast_wave,1c,1.021984177765838,4.453731558537655,5.657896655398546e-06,False
91-100,blast_wave,1c,0.8842427564268882,3.9051267838860078,0.00012011904460566201,False
101-125,exact_bose_einstein,1c,5.966661886675989,11.626485840496498,3.243233435970505e-15,False
126-150,exact_bose_einstein,1c,4.526151919531149,8.950471783924138,2.337886243130361e-16,False
21-30,exact_bose_einstein,1c,4.647675850539453,7.724713902570221,1.4135646642412973e-17,False
31-40,exact_bose_einstein,1c,6.703376400606952,11.747876465493356,2.118601930324262e-16,False
41-50,exact_bose_einstein,1c,6.30185139993808,11.557793894629,1.4854867238386254e-15,False
51-60,exact_bose_einstein,1c,6.050165236111768,11.395395408969021,3.4724908555691896e-15,False
61-70,exact_bose_einstein,1c,7.266399843866232,13.46025862567272,1.5153894726209358e-15,False
71-80,exact_bose_einstein,1c,7.009328071815095,13.194635699600214,8.27293481602902e-16,False
81-90,exact_bose_einstein,1c,6.646545098970243,12.709850566457177,1.0198477830654719e-15,False
91-100,exact_bose_einstein,1c,6.299627471855902,12.175190486372529,3.2609700593326854e-15,False
101-125,exact_bose_einstein,2c,1.6591190329773844,5.372547731657335,2.0089253879758977e-09,False
126-150,exact_bose_einstein,2c,1.2009303426358957,3.699376347211673,5.881549793441025e-07,False
21-30,exact_bose_einstein,2c,1.1758561189140622,3.7935901023926166,2.493135478836516e-07,False
31-40,exact_bose_einstein,2c,1.9113512675223052,6.00845097000039,7.292406152633114e-09,False
41-50,exact_bose_einstein,2c,1.8754870673963722,5.963667120259649,1.0395903488262884e-08,False
51-60,exact_bose_einstein,2c,1.8475368782296624,5.914848159392055,1.696814920646979e-08,False
61-70,exact_bose_einstein,2c,2.158150585975945,6.869829734005185,8.359584182068796e-10,False
71-80,exact_bose_einstein,2c,2.0526419701260554,6.638575223631025,4.38096137816461e-09,False
81-90,exact_bose_einstein,2c,1.9472371087080937,6.257228913011905,3.205140515350294e-09,False
91-100,exact_bose_einstein,2c,1.8192068375778576,5.809403082400271,8.299178160878611e-09,False
101-125,manuscript_juttner,1c,7.162302144879167,12.60419528084751,1.0991983200310082e-18,False
126-150,manuscript_juttner,1c,5.438371098529957,9.83931111363637,1.5504039380295217e-20,False
21-30,manuscript_juttner,1c,4.897279142279379,7.924129066563181,1.410379971480622e-17,False
