success,chi2,ndf,chi2_ndf,norm,temperature_gev,beta_s,n_val,mean_beta,norm_err,temperature_err_gev,beta_s_err,n_val_err,valid,gls_chi2_ndf_diag,gls_chi2_ndf_envelope,gls_chi2_ndf_min,gls_chi2_ndf_max,bin,n_points,mass_gev,cov_mode,estimator,status
True,813.6758751952318,43,18.922694771982137,1505.9931795991702,0.12601894050565254,0.9352206849513329,3.9999999988286845,0.31174022837796866,141.54762188311702,0.0029987697842101396,0.0034577233414735953,0.009694335912606267,True,18.922694771981813,"{'0.1': 12.553621239063487, '0.3': 7.411882868830655, '1.0': 6.622353459736448, '3.0': 12.490468704534312}",6.622353459736448,12.553621239063487,21-30,47,0.13957,correlated,SPD_tracklets,substitute-baseline
True,1240.1603771127766,43,28.84093900262271,2766.095722145596,0.1478639681533611,0.9424608115348768,3.9999999982645886,0.31415360393582326,122.55478081857063,0.0017535133517922602,0.0016569832076504531,0.009546843068488409,True,28.84093900262163,"{'0.1': 21.666774873199678, '0.3': 14.34394646421999, '1.0': 14.408714048819894, '3.0': 28.069973911783865}",14.34394646421999,28.069973911783865,31-40,47,0.13957,correlated,SPD_tracklets,substitute-baseline
True,1094.8624538848314,43,25.461917532205383,3301.9647492095255,0.16063718868643698,0.9455298277219752,3.9999999999909175,0.3151766092411355,141.8933380874264,0.001892909302412149,0.0015976893133051728,0.025049051787052523,True,25.46191753220478,"{'0.1': 19.773414542838992, '0.3': 13.737290226999487, '1.0': 14.820120243291756, '3.0': 29.776444935381775}",13.737290226999487,29.776444935381775,41-50,47,0.13957,correlated,SPD_tracklets,substitute-baseline
True,1034.8965465706765,43,24.06736154815527,3726.5573171162155,0.16939073594596216,0.9474005604889516,3.999999767783794,0.31580019905197115,159.89572114546854,0.0020249204575687463,0.0015936083033528115,0.2323847082076056,True,24.067361548154896,"{'0.1': 18.863711949495727, '0.3': 13.529592122590602, '1.0': 15.053319366916895, '3.0': 30.22972347512815}",13.529592122590602,30.22972347512815,51-60,47,0.13957,correlated,SPD_tracklets,substitute-baseline
True,1279.451455142416,43,29.754685003312,6116.809829078423,0.15444788383287716,0.95541132376062,2.986898581021266,0.3831685398201788,541.7228669989181,0.004389560935972925,0.0018633272337702511,0.16103185066309278,True,29.754685003310353,"{'0.1': 23.2461959431022, '0.3': 16.650234569404414, '1.0': 18.642668576568973, '3.0': 37.061379916256506}",16.650234569404414,37.061379916256506,61-70,47,0.13957,correlated,SPD_tracklets,substitute-baseline
True,1134.6651004586274,43,26.387560475782035,8641.173782478212,0.14565918075109668,0.9611406107750259,2.511736742958965,0.42606236380036405,987.3453647608421,0.0053716799564084705,0.002218121959411512,0.15598741546564843,True,26.38756047577738,"{'0.1': 20.658556043098415, '0.3': 14.968564331666899, '1.0': 16.8184449563691, '3.0': 32.52126851449639}",14.968564331666899,32.52126851449639,71-80,47,0.13957,correlated,SPD_tracklets,substitute-baseline
True,932.2790731308427,43,21.680908677461456,14706.250397653286,0.1281485723985496,0.969441725623538,1.9474380601611962,0.49117514238282955,2803.933721289084,0.007826317711454638,0.003145285077930493,0.16546235403368936,True,21.680908677453736,"{'0.1': 16.926101064295946, '0.3': 12.340247063088182, '1.0': 13.715912706815972, '3.0': 25.40591523681556}",12.340247063088182,25.40591523681556,81-90,47,0.13957,correlated,SPD_tracklets,substitute-baseline
True,716.750710407107,43,16.6686211722583,28831.798817247916,0.1073662254304414,0.9787652243328842,1.4895470157562793,0.5609697877194294,1519.423320851689,0.001751050963073486,0.0006986812410745835,0.03771990714046658,True,16.668621172255765,"{'0.1': 13.207962381373948, '0.3': 9.969080494136982, '1.0': 10.755280128013151, '3.0': 18.155411868755607}",9.969080494136982,18.155411868755607,91-100,47,0.13957,correlated,SPD_tracklets,substitute-baseline
False,556.5956266706062,43,12.944084341176888,44885.64593622752,0.09726783386851728,0.9831311008633843,1.2748483763397078,0.6004132026180877,25593.972572955827,0.016831579827285663,0.005402512263676829,0.23196654429399355,False,12.94408434117454,"{'0.1': 10.48554357699478, '0.3': 8.285458778724026, '1.0': 8.990783092499223, '3.0': 14.180506456052974}",8.285458778724026,14.180506456052974,101-125,47,0.13957,correlated,SPD_tracklets,substitute-baseline
False,229.71370766712295,43,5.342179248072626,56638.2994290825,0.09515476404492694,0.9852179012821006,1.1590915213763118,0.6237349533025708,8789.645835829608,0.004480259969157213,0.0013423259368730012,0.06113069878033117,False,5.34217924807216,"{'0.1': 4.598930536576594, '0.3': 4.076821877400459, '1.0': 4.511299686565649, '3.0': 6.0043313736243}",4.076821877400459,6.0043313736243,126-150,47,0.13957,correlated,SPD_tracklets,substitute-baseline
