pt_center_gev,yield_value,total_error,prediction,residual,pull
0.175,4.869,0.3328096394171899,0.9763740764199255,3.8926259235800744,11.696253541203822
0.225,5.028,0.3435048799667917,1.2629576631890542,3.7650423368109456,10.960666227434471
0.275,4.834,0.3302045581529728,1.4810474281993011,3.3529525718006985,10.154168042245459
0.3249999999999999,4.475,0.305704415161116,1.629481233927309,2.845518766072691,9.308072193111805
0.375,3.993,0.271904287809148,1.715390945231227,2.2776090547687726,8.37651025337065
0.425,3.516,0.2395042273718775,1.7488035116240204,1.7671964883759796,7.378560736767535
0.475,3.046,0.2067043694168074,1.7400991844278568,1.305900815572143,6.31772235515191
0.525,2.632,0.178704620043803,1.6988944250824467,0.9331055749175534,5.221496650108073
0.575,2.26,0.1531047893470351,1.6336084953502148,0.626391504649785,4.091260027339668
0.625,1.946,0.1320049832733598,1.5513555415152454,0.3946444584847546,2.9896178818303643
0.675,1.67,0.1134051904676324,1.4579902275626042,0.21200977243739572,1.8694891438668904
0.725,1.447,0.0983653509931215,1.3582226509734088,0.08877734902659129,0.9025266329075501
0.775,1.242,0.0849454361399127,1.2557599463658622,-0.013759946365862197,-0.16198570507305818
0.825,1.077,0.0737855858715643,1.153452504369356,-0.07645250436935602,-1.0361441664559516
0.875,0.9284,0.0640756553746428,1.053433361712142,-0.12503336171214208,-1.9513395685317108
0.925,0.8088,0.0559157748131956,0.9572451155988904,-0.1484451155988904,-2.6547985089148534
0.975,0.6976,0.0485657083667066,0.8659520041586084,-0.1683520041586084,-3.4664789173345874
1.05,0.5733,0.0427926241449388,0.7396001931302884,-0.16630019313028832,-3.8861882498027898
1.15,0.4395,0.0329425254406822,0.5923120298615332,-0.1528120298615332,-4.638746660048679
1.25,0.3396,0.025652433040357,0.46903486916878995,-0.12943486916878993,-5.04571511658017
1.35,0.2734,0.0206524529993412,0.36792847426870173,-0.09452847426870176,-4.577106374323533
1.45,0.2091,0.0159223337096042,0.28631813372160836,-0.07721813372160835,-4.849674371228077
1.55,0.1702,0.0129623516234516,0.22128656815732778,-0.05108656815732779,-3.941149695777541
1.65,0.1346,0.0104022511486696,0.17001180731575521,-0.03541180731575522,-3.404244601447084
1.75,0.1104,0.008533265058581,0.12994062560855876,-0.019540625608558765,-2.289935385155865
1.85,0.08835,0.0070671374289736,0.09885993638322932,-0.01050993638322932,-1.4871560782362963
1.95,0.07282,0.0058251458874435,0.07490809594280787,-0.0020880959428078716,-0.3584624287794929
2.1,0.05421,0.0043310556662781,0.049077561961084336,0.005132438038915665,1.1850316491836355
2.3,0.03736,0.0029850460901634,0.027629680343266603,0.009730319656733395,3.2596882469579427
2.5,0.02624,0.0020950363939798,0.01539649042032779,0.010843509579672209,5.175809647427424
2.7,0.01866,0.0014910239979624,0.008506471510938241,0.010153528489061758,6.809768657605339
2.9,0.01359,0.0010860170625271,0.004665785184536496,0.008924214815463504,8.217379932040261
3.1,0.009982,0.0007974094130996,0.0025432856361297896,0.00743871436387021,9.32860114474355
3.3,0.007357,0.000587895029831,0.0013788610908290694,0.00597813890917093,10.16871823340545
3.5,0.005658,0.0004523991185888,0.0007440367504808745,0.004913963249519125,10.862008893491199
3.7,0.00421,0.0003374769408418,0.0003998150583554357,0.0038101849416445647,11.290208249904326
3.9,0.003262,0.0002616751705836,0.00021405096983679643,0.003047949030163204,11.647834310628433
4.25,0.00213,0.0001703844875568,7.117074631818482e-05,0.002058829253681815,12.083431321736237
4.75,0.001227,9.824181395414072e-05,1.455170324599501e-05,0.001212448296754005,12.341468952517262
5.25,0.0007045,5.668048164932969e-05,2.9349237995206933e-06,0.0007015650762004793,12.377542599953825
5.75,0.000442,3.5709679710129015e-05,5.85450556274082e-07,0.0004414145494437259,12.36120158530907
6.25,0.0002774,2.2553238703122e-05,1.1572753646777932e-07,0.00027728427246353224,12.294654267333602
6.75,0.000182,1.49120233704216e-05,2.2702641798164466e-08,0.00018197729735820183,12.203394055776409
7.5,0.0001094,8.930356767789291e-06,1.9493708043340377e-09,0.00010939805062919567,12.250132158636832
9.0,4.192e-05,3.454165932609492e-06,1.3906885256753962e-11,4.191998609311474e-05,12.136066104226144
11.5,1.178e-05,1.02454923258963e-06,3.4386044879888018e-15,1.1779999996561396e-05,11.497739319746017
16.5,1.922e-06,1.8118625665320205e-07,1.8204542975474236e-22,1.922e-06,10.607868585081413
