group_label,model_name,component_count,success,chi2,ndf,chi2_ndf,fit_quality_flag,aic,bic,edm,has_accurate_covar,seed_index
101-125,manuscript_juttner,1,True,7836.17702133449,44,178.0949323030566,poor,7842.17702133449,7847.72746413962,4.333269687074711e-06,True,4
126-150,manuscript_juttner,1,True,4845.251723400593,44,110.11935735001347,poor,4851.251723400593,4856.802166205723,9.031803709992855e-07,True,2
21-30,manuscript_juttner,1,True,3004.4317383812595,44,68.28253950866498,poor,3010.4317383812595,3015.98218118639,4.211324065402602e-06,True,2
31-40,manuscript_juttner,1,True,7270.98759718552,44,165.24971811785272,poor,7276.98759718552,7282.53803999065,6.8896937270273e-06,True,4
41-50,manuscript_juttner,1,True,7160.260705722322,44,162.7331978573255,poor,7166.260705722322,7171.811148527452,1.8463960298400035e-06,True,2
51-60,manuscript_juttner,1,True,7036.619773502558,44,159.92317667051267,poor,7042.619773502558,7048.170216307688,3.83383368796554e-06,True,3
61-70,manuscript_juttner,1,True,9997.618846864018,44,227.2186101560004,poor,10003.618846864018,10009.169289669147,1.0055837012191839e-07,True,8
71-80,manuscript_juttner,1,True,9699.39050523988,44,220.44069330090636,poor,9705.39050523988,9710.94094804501,1.540106757579615e-06,True,8
81-90,manuscript_juttner,1,True,9116.944575312755,44,207.20328580256262,poor,9122.944575312755,9128.495018117885,5.99041217968888e-07,True,1
91-100,manuscript_juttner,1,True,8485.32800251923,44,192.8483636936189,poor,8491.32800251923,8496.87844532436,6.37877232921957e-06,True,8
