group_label,model_name,component_count,parameter_left,parameter_right,correlation
101-125,manuscript_juttner,1,norm_1,norm_1,1.0000000000000002
101-125,manuscript_juttner,1,norm_1,temperature_1,-0.9821308439908129
101-125,manuscript_juttner,1,norm_1,U_1,0.0002210405315076266
101-125,manuscript_juttner,1,temperature_1,norm_1,-0.9821308439908129
101-125,manuscript_juttner,1,temperature_1,temperature_1,0.9999999999999999
101-125,manuscript_juttner,1,temperature_1,U_1,0.003971272258934859
101-125,manuscript_juttner,1,U_1,norm_1,0.0002210405315076266
101-125,manuscript_juttner,1,U_1,temperature_1,0.003971272258934859
101-125,manuscript_juttner,1,U_1,U_1,1.0000000000000002
126-150,manuscript_juttner,1,norm_1,norm_1,0.9999999999999998
126-150,manuscript_juttner,1,norm_1,temperature_1,-0.9796664628432766
126-150,manuscript_juttner,1,norm_1,U_1,-0.0002217480176204572
126-150,manuscript_juttner,1,temperature_1,norm_1,-0.9796664628432766
126-150,manuscript_juttner,1,temperature_1,temperature_1,1.0000000000000002
126-150,manuscript_juttner,1,temperature_1,U_1,-0.0036175881703748173
126-150,manuscript_juttner,1,U_1,norm_1,-0.0002217480176204572
126-150,manuscript_juttner,1,U_1,temperature_1,-0.0036175881703748173
126-150,manuscript_juttner,1,U_1,U_1,1.0
21-30,manuscript_juttner,1,norm_1,norm_1,1.0000000000000002
21-30,manuscript_juttner,1,norm_1,temperature_1,-0.986122054734352
21-30,manuscript_juttner,1,norm_1,U_1,-3.694173201999284e-05
21-30,manuscript_juttner,1,temperature_1,norm_1,-0.986122054734352
21-30,manuscript_juttner,1,temperature_1,temperature_1,1.0000000000000002
21-30,manuscript_juttner,1,temperature_1,U_1,-0.0008642666267749006
21-30,manuscript_juttner,1,U_1,norm_1,-3.694173201999284e-05
21-30,manuscript_juttner,1,U_1,temperature_1,-0.0008642666267749006
21-30,manuscript_juttner,1,U_1,U_1,1.0
31-40,manuscript_juttner,1,norm_1,norm_1,1.0
31-40,manuscript_juttner,1,norm_1,temperature_1,-0.9825898810704454
31-40,manuscript_juttner,1,norm_1,U_1,-0.00012740825513576876
31-40,manuscript_juttner,1,temperature_1,norm_1,-0.9825898810704454
31-40,manuscript_juttner,1,temperature_1,temperature_1,1.0000000000000002
31-40,manuscript_juttner,1,temperature_1,U_1,-0.0024441451521068653
31-40,manuscript_juttner,1,U_1,norm_1,-0.00012740825513576876
31-40,manuscript_juttner,1,U_1,temperature_1,-0.0024441451521068653
31-40,manuscript_juttner,1,U_1,U_1,1.0000000000000002
41-50,manuscript_juttner,1,norm_1,norm_1,0.9999999999999998
41-50,manuscript_juttner,1,norm_1,temperature_1,-0.9807717450596853
41-50,manuscript_juttner,1,norm_1,U_1,-0.00018605791215406642
41-50,manuscript_juttner,1,temperature_1,norm_1,-0.9807717450596853
41-50,manuscript_juttner,1,temperature_1,temperature_1,0.9999999999999999
41-50,manuscript_juttner,1,temperature_1,U_1,-0.0034875866746281233
41-50,manuscript_juttner,1,U_1,norm_1,-0.00018605791215406642
41-50,manuscript_juttner,1,U_1,temperature_1,-0.0034875866746281233
41-50,manuscript_juttner,1,U_1,U_1,1.0
51-60,manuscript_juttner,1,norm_1,norm_1,1.0
51-60,manuscript_juttner,1,norm_1,temperature_1,-0.9797719363690346
51-60,manuscript_juttner,1,norm_1,U_1,0.0008549583682115471
51-60,manuscript_juttner,1,temperature_1,norm_1,-0.9797719363690346
51-60,manuscript_juttner,1,temperature_1,temperature_1,1.0000000000000002
51-60,manuscript_juttner,1,temperature_1,U_1,0.023268426114897264
51-60,manuscript_juttner,1,U_1,norm_1,0.0008549583682115471
51-60,manuscript_juttner,1,U_1,temperature_1,0.023268426114897264
51-60,manuscript_juttner,1,U_1,U_1,1.0000000000000002
61-70,manuscript_juttner,1,norm_1,norm_1,1.0
61-70,manuscript_juttner,1,norm_1,temperature_1,-0.98420219280208
61-70,manuscript_juttner,1,norm_1,U_1,-0.00021931787275823064
61-70,manuscript_juttner,1,temperature_1,norm_1,-0.98420219280208
61-70,manuscript_juttner,1,temperature_1,temperature_1,0.9999999999999999
61-70,manuscript_juttner,1,temperature_1,U_1,-0.004264900294539929
61-70,manuscript_juttner,1,U_1,norm_1,-0.00021931787275823064
61-70,manuscript_juttner,1,U_1,temperature_1,-0.004264900294539929
61-70,manuscript_juttner,1,U_1,U_1,1.0
71-80,manuscript_juttner,1,norm_1,norm_1,0.9999999999999998
71-80,manuscript_juttner,1,norm_1,temperature_1,-0.9841877103427542
71-80,manuscript_juttner,1,norm_1,U_1,-0.0006497627740389478
71-80,manuscript_juttner,1,temperature_1,norm_1,-0.9841877103427542
71-80,manuscript_juttner,1,temperature_1,temperature_1,1.0
71-80,manuscript_juttner,1,temperature_1,U_1,-0.020297518302562566
71-80,manuscript_juttner,1,U_1,norm_1,-0.0006497627740389478
71-80,manuscript_juttner,1,U_1,temperature_1,-0.020297518302562566
71-80,manuscript_juttner,1,U_1,U_1,1.0
81-90,manuscript_juttner,1,norm_1,norm_1,1.0
81-90,manuscript_juttner,1,norm_1,temperature_1,-0.9835718495877989
81-90,manuscript_juttner,1,norm_1,U_1,-0.0006712913945343897
81-90,manuscript_juttner,1,temperature_1,norm_1,-0.9835718495877989
81-90,manuscript_juttner,1,temperature_1,temperature_1,0.9999999999999999
81-90,manuscript_juttner,1,temperature_1,U_1,-0.019534465378364785
81-90,manuscript_juttner,1,U_1,norm_1,-0.0006712913945343897
81-90,manuscript_juttner,1,U_1,temperature_1,-0.019534465378364785
81-90,manuscript_juttner,1,U_1,U_1,0.9999999999999999
91-100,manuscript_juttner,1,norm_1,norm_1,1.0000000000000002
91-100,manuscript_juttner,1,norm_1,temperature_1,-0.9832673381853541
91-100,manuscript_juttner,1,norm_1,U_1,-0.00016500889275378384
91-100,manuscript_juttner,1,temperature_1,norm_1,-0.9832673381853541
91-100,manuscript_juttner,1,temperature_1,temperature_1,1.0
91-100,manuscript_juttner,1,temperature_1,U_1,-0.003088020365810737
91-100,manuscript_juttner,1,U_1,norm_1,-0.00016500889275378384
91-100,manuscript_juttner,1,U_1,temperature_1,-0.003088020365810737
91-100,manuscript_juttner,1,U_1,U_1,1.0
