,norm_1,temperature_1,beta_s_1,n_1,norm_2,temperature_2,beta_s_2,n_2,norm_3,temperature_3,beta_s_3,n_3
norm_1,27317.15548129627,-15.439572070524182,1.5530494761339222,-15.048514833357157,-1819.2192871013328,-0.11692115457938942,-0.33978710289217917,-22.194423222628867,-16492.898301185767,-0.09529934080210256,-2.555998002668704,-0.2499924308554606
temperature_1,-15.439572070524182,0.008838291873021703,-0.0008980022528160569,0.012274769145953022,1.4801394898791995,3.1874073693636934e-05,0.00017893080157582579,0.011041501083914674,4.811528385206626,5.476820586230951e-05,0.0014830094455637703,0.00019730510713820398
beta_s_1,1.5530494761339222,-0.0008980022528160569,9.280134154197948e-05,-0.0012730173955779343,-0.20960231531825824,8.995589234223201e-07,-1.5146366701607355e-05,-0.0009251509303787475,0.12047354728356675,-5.623739956492209e-06,-0.00015411386100039324,-2.7307338299862175e-05
n_1,-15.048514833357157,0.012274769145953022,-0.0012730173955779343,0.234841597882428,4.548235271667126,-0.0004400167482083386,0.00048357570038451273,-0.007523871044693345,-28.21491431343842,6.370984470580008e-05,0.0018430215287540998,0.0006228259106966258
norm_2,-1819.2192871013328,1.4801394898791995,-0.20960231531825824,4.548235271667126,50935.72019593306,-2.3431045257034286,1.8793079337044392,-36.642017562237164,-90872.45740441485,-0.12585819133508314,-2.8369317700539822,0.3934980022558966
temperature_2,-0.11692115457938942,3.1874073693636934e-05,8.995589234223201e-07,-0.0004400167482083386,-2.3431045257034286,0.00011304378940821117,-7.798294273803073e-05,0.002231621468434819,7.926201534187532,5.0090807490551245e-06,0.00011070498181257224,-6.928112901943685e-05
beta_s_2,-0.33978710289217917,0.00017893080157582579,-1.5146366701607355e-05,0.00048357570038451273,1.8793079337044392,-7.798294273803073e-05,0.0001090791253786394,-9.669090603287477e-05,-1.0871815318251803,-5.140995883272075e-06,-0.00013119336731144866,-1.0554421367142126e-05
n_2,-22.194423222628867,0.011041501083914674,-0.0009251509303787475,-0.007523871044693345,-36.642017562237164,0.002231621468434819,-9.669090603287477e-05,0.09246368987258785,388.39030301640014,3.57442837477756e-05,0.00039780128832076134,-0.004512776271644199
norm_3,-16492.898301185767,4.811528385206626,0.12047354728356675,-28.21491431343842,-90872.45740441485,7.926201534187532,-1.0871815318251803,388.39030301640014,319548413.4748987,-100.08055333134739,861.3493460267363,-202.95290268272322
temperature_3,-0.09529934080210256,5.476820586230951e-05,-5.623739956492209e-06,6.370984470580008e-05,-0.12585819133508314,5.0090807490551245e-06,-5.140995883272075e-06,3.57442837477756e-05,-100.08055333134739,3.249333871855954e-05,-0.00024940810861384986,8.675966861926498e-05
beta_s_3,-2.555998002668704,0.0014830094455637703,-0.00015411386100039324,0.0018430215287540998,-2.8369317700539822,0.00011070498181257224,-0.00013119336731144866,0.00039780128832076134,861.3493460267363,-0.00024940810861384986,0.006551064491317006,0.01430165782721655
n_3,-0.2499924308554606,0.00019730510713820398,-2.7307338299862175e-05,0.0006228259106966258,0.3934980022558966,-6.928112901943685e-05,-1.0554421367142126e-05,-0.004512776271644199,-202.95290268272322,8.675966861926498e-05,0.01430165782721655,0.07518752949181533
