pt_center_gev,yield_value,total_error,prediction,residual,pull
0.175,58.51,1.4702389057564762,36.506671689316924,22.003328310683074,14.965818292886073
0.225,56.22,1.3934529952603354,44.01322629943775,12.206773700562252,8.760090036823733
0.275,52.69,1.31039882860143,48.02899880956729,4.661001190432707,3.556933270008587
0.3249999999999999,48.99,1.222866309127862,49.165352364522214,-0.1753523645222117,-0.14339455033908943
0.375,44.85,1.1234168238013886,48.18956750822858,-3.3395675082285763,-2.9726878194045865
0.425,41.2,1.038146733366724,45.80578696796342,-4.605786967963418,-4.436547185412594
0.475,37.72,0.9574355591892332,42.584418311370406,-4.864418311370407,-5.080674375087604
0.525,34.11,0.8719940653467775,38.95429506564594,-4.844295065645937,-5.555422058657523
0.575,31.26,0.8059003970714992,35.219229565581585,-3.959229565581584,-4.912802599389118
0.625,28.73,0.7476496104459628,31.5819276268791,-2.8519276268790996,-3.8145243266801994
0.675,26.33,0.6924781657207684,28.167823908546886,-1.8378239085468877,-2.6539810199415923
0.725,24.13,0.6418669176706336,25.045862412753902,-0.9158624127539028,-1.4268727481354113
0.775,22.32,0.6007129430934546,22.24535862717504,0.07464137282495997,0.12425464389128005
0.825,20.51,0.5591188156376067,19.769047619920006,0.740952380079996,1.3252145328628055
0.875,18.92,0.5228934595115912,17.602817989730042,1.3171820102699598,2.519025599402743
0.925,17.56,0.4922486058893413,15.722743471587409,1.8372565284125901,3.7323752803590673
0.975,16.15,0.4598602505109568,14.100002372210382,2.049997627789617,4.457870897760434
1.05,14.25,0.5152938405414914,12.082013533700255,2.1679864662997446,4.207281934559004
1.15,12.38,0.4565977840506894,10.016551536214806,2.363448463785195,5.1762153614017885
1.25,10.52,0.4015884885053355,8.482459129711167,2.037540870288833,5.073703376987516
1.35,9.241,0.3534354741674921,7.322390092216378,1.9186099077836216,5.428458793794982
1.45,7.823,0.3155023659182288,6.421301635718034,1.401698364281966,4.442750722970031
1.55,6.751,0.2731359287973663,5.698588415020815,1.0524115849791853,3.8530690181003133
1.65,5.741,0.2473486316921927,5.099526413910788,0.6414735860892113,2.5933985633988805
1.75,5.101,0.2203717078029754,4.58785234145123,0.5131476585487702,2.328555074808209
1.85,4.337,0.2090160579955521,4.139973769888486,0.197026230111514,0.9426368098268639
1.95,3.801,0.1837252296229344,3.7407288050810137,0.06027119491898647,0.3280507257641377
2.1,3.069,0.1468382102860151,3.212803871297848,-0.14380387129784822,-0.9793354946082732
2.3,2.381,0.1144131203140619,2.613853551718913,-0.2328535517189132,-2.035199731287238
2.5,1.798,0.0869588483134407,2.1134937771572693,-0.31549377715726923,-3.6280813657982325
2.7,1.394,0.0678942714814733,1.6973205569765586,-0.3033205569765587,-4.467542700702334
2.9,1.085,0.0533586403499939,1.3541306603102872,-0.2691306603102872,-5.043806561505047
3.1,0.8806,0.0437313491673879,1.0737905928223328,-0.19319059282233275,-4.417668251735581
3.3,0.69,0.0348367291805645,0.8468435438492954,-0.15684354384929544,-4.502246552377221
3.5,0.5431,0.0278700017940437,0.6646058760468193,-0.12150587604681928,-4.359736929503434
3.7,0.4258,0.0222193119830475,0.519314810248275,-0.09351481024827496,-4.2087176380449245
3.9,0.353,0.0187569080607652,0.4042061113606196,-0.051206111360619644,-2.7299867971166383
4.25,0.2458,0.012516899616119,0.25857459681753653,-0.012774596817536538,-1.0205879418482897
4.75,0.1559,0.008222721021657,0.13452449613192474,0.02137550386807527,2.5995657412888598
5.25,0.1034,0.0057264579802876,0.0689757419814143,0.0344242580185857,6.0114399052757586
5.75,0.06647,0.0039278982929806,0.034952555173979494,0.03151744482602051,8.023997179953502
6.25,0.04112,0.0026847260567886,0.017540654266347756,0.02357934573365224,8.782775312970756
6.75,0.0312,0.002172232492161,0.008731318416300718,0.02246868158369928,10.343589677800457
7.5,0.01977,0.0013015968116125,0.003027878715761723,0.016742121284238277,12.862755297853784
9.0,0.009162,0.0006136808942764,0.00035155134761178226,0.008810448652388218,14.356726328879352
11.5,0.003428,0.0002648314935954,9.045344720105223e-06,0.0034189546552798947,12.909924755789243
16.5,0.0007988,7.75610856035422e-05,5.140121200982562e-09,0.000798794859878799,10.298912833194256
