pt_center_gev,yield_value,total_error,prediction,residual,pull
0.175,28.23,0.9341387821945945,27.02584855225269,1.2041514477473108,1.289049840023095
0.225,27.65,0.9156207549526169,27.354924706645292,0.2950752933547065,0.3222680260999289
0.275,25.95,0.8601132957930601,26.182865867609692,-0.23286586760969286,-0.2707385977506381
0.3249999999999999,23.94,0.7947096325073706,24.286523394816573,-0.3465233948165718,-0.43603774339976675
0.375,21.69,0.7218063466747852,22.131655211976806,-0.4416552119768049,-0.6118749357239938
0.425,19.6,0.6538046956087116,19.97296179615832,-0.37296179615831804,-0.570448329085614
0.475,17.67,0.5911080188933322,17.936901008591274,-0.2669010085912724,-0.4515266246784511
0.525,15.86,0.532313873668534,16.076957469861483,-0.2169574698614838,-0.40757432896926676
0.575,14.29,0.4813180607456986,14.407321418816428,-0.1173214188164291,-0.24375029400447773
0.625,12.86,0.4349226930156669,12.922375335019966,-0.06237533501996673,-0.14341706243808214
0.675,11.61,0.3944280574452076,11.60753943410387,0.0024605658961291965,0.006238313552202124
0.725,10.52,0.3591316155450533,10.445077602931562,0.07492239706843762,0.20862100084039678
0.775,9.55,0.3278348480622522,9.41705193636363,0.13294806363637157,0.40553365336904695
0.825,8.662,0.299137929539201,8.506707115637566,0.15529288436243505,0.5191347168901377
0.875,7.888,0.2741408925060251,7.699016261717403,0.18898373828259718,0.6893671956599604
0.925,7.14,0.2498431386610407,6.980797440641633,0.15920255935836636,0.6372100519212363
0.975,6.523,0.2300425426067969,6.340624841405134,0.18237515859486564,0.7927888317014156
1.05,5.678,0.2518558564258533,5.505551513090235,0.1724484869097651,0.6847110460603253
1.15,4.737,0.2126538638162965,4.584460704049232,0.15253929595076787,0.717312599984267
1.25,3.921,0.1798511720840317,3.8377929575730927,0.08320704242690713,0.46264387083354885
1.35,3.354,0.1538516175573074,3.2278497054386146,0.1261502945613855,0.8199477949225749
1.45,2.756,0.1310481194103906,2.7261878874081127,0.029812112591887097,0.22748981615315986
1.55,2.37,0.1127484502110782,2.3110850562636296,0.05891494373637052,0.5225343995955146
1.65,1.978,0.0983652109437071,1.965757004360056,0.01224299563994391,0.1244646915559444
1.75,1.7,0.0845054766509248,1.6770954703863077,0.02290452961369227,0.27104195516589175
1.85,1.425,0.0769210606336132,1.4347633098985393,-0.00976330989853924,-0.12692635564456634
1.95,1.222,0.0659412129172644,1.2305370948326888,-0.00853709483268883,-0.12946523812657515
2.1,0.9604,0.0518202904275921,0.9815774575588844,-0.02117745755888434,-0.4086711476168849
2.3,0.7076,0.0381901037050176,0.7313593280189187,-0.02375932801891867,-0.6221331107775193
2.5,0.5289,0.0285499829071752,0.5488836885122027,-0.01998368851220267,-0.6999544825359721
2.7,0.3939,0.0212697333316616,0.41462654948301286,-0.02072654948301289,-0.9744621222946815
2.9,0.2996,0.0161796073404146,0.31510054807105825,-0.015500548071058273,-0.9580299289674278
3.1,0.229,0.0123694840636139,0.24084077296632767,-0.011840772966327656,-0.9572568189128031
3.3,0.1754,0.0094801967279165,0.185116119444511,-0.009716119444511007,-1.0248858460816306
3.5,0.1374,0.0074302857280188,0.14308553329822937,-0.005685533298229378,-0.7651836694233507
3.7,0.1071,0.0057978867494976,0.11123401591296558,-0.004134015912965583,-0.7130211560830858
3.9,0.08503,0.004604847276512,0.08698874370971885,-0.001958743709718852,-0.4253656184668359
4.25,0.05759,0.0031134392574771,0.057439434261354734,0.0001505657386452683,0.04835994095072713
4.75,0.03497,0.0018933880769667,0.03293857851640971,0.0020314214835902913,1.0729028603817594
5.25,0.02123,0.0011541755715661,0.019820303896729025,0.0014096961032709736,1.2213879222535944
5.75,0.01364,0.0007440635792726,0.01255779614069571,0.0010822038593042895,1.4544507881467024
6.25,0.009087,0.0004977725533815,0.008375676002698939,0.000711323997301061,1.4290140998511265
6.75,0.006299,0.0003471515042456,0.00585606474631059,0.00044293525368940996,1.2759133930643884
7.5,0.003812,0.0002093319672195,0.003681376615233,0.0001306233847669998,0.624001133233662
9.0,0.001587,8.78269121625029e-05,0.0017177575427273345,-0.00013075754272733444,-1.488809517581565
11.5,0.0004912,2.787018480383652e-05,0.0005871027219774839,-9.59027219774839e-05,-3.4410508094041146
16.5,9.66e-05,5.663003619988248e-06,8.107496972631081e-05,1.5525030273689193e-05,2.741483374457283
