group_label,model_name,component_count,parameter_name,value,error
101-125,manuscript_juttner,1,norm_1,998.6178376010048,30.743246739673964
101-125,manuscript_juttner,1,temperature_1,0.543817039648693,0.004865366871210475
101-125,manuscript_juttner,1,U_1,2.9999999758302844,0.015426099438752505
101-125,exact_bose_einstein,1,norm_1,637.2373092752913,16.966362603798075
101-125,exact_bose_einstein,1,temperature_1,0.6076782038470673,0.004622252471119026
101-125,exact_bose_einstein,1,U_1,2.9999994349125814,0.027071166181951156
101-125,tsallis,1,norm_1,4774.948829500085,169.16392557856625
101-125,tsallis,1,temperature_1,0.12390490846882869,0.0014348050079250815
101-125,tsallis,1,q_1,1.179671760200318,0.0009930900080383775
101-125,blast_wave,1,norm_1,45325.18801996798,12616.023552065579
101-125,blast_wave,1,temperature_1,0.09698103346119469,0.00818910664795204
101-125,blast_wave,1,beta_s_1,0.9832171413183478,0.002633711452703358
101-125,blast_wave,1,n_1,1.2708174867071191,0.11435451841829436
101-125,manuscript_juttner,2,norm_1,58.199726403841936,4.078228001886828
101-125,manuscript_juttner,2,temperature_1,0.9956123655133323,0.01321725170018595
101-125,manuscript_juttner,2,U_1,2.996519363114827,0.022795315283844708
101-125,manuscript_juttner,2,norm_2,6241.766573115635,311.76310170875104
101-125,manuscript_juttner,2,temperature_2,0.29683546754599,0.005263616842297841
101-125,manuscript_juttner,2,U_2,2.996297762030185,0.06592593800699964
101-125,exact_bose_einstein,2,norm_1,34.32499738367861,2.8514855278992624
101-125,exact_bose_einstein,2,temperature_1,1.0872256583475,0.019846766898953816
101-125,exact_bose_einstein,2,U_1,2.9965296905826797,0.13914328383358732
101-125,exact_bose_einstein,2,norm_2,2936.7670800747132,211.72072995989083
101-125,exact_bose_einstein,2,temperature_2,0.260699082477711,0.021033703035322884
101-125,exact_bose_einstein,2,U_2,1.948271625987074,0.27645465781273193
101-125,tsallis,2,norm_1,36996.04477539756,17751.81126065751
101-125,tsallis,2,temperature_1,0.058168816820047875,0.009494363008346593
101-125,tsallis,2,q_1,1.084153517953389,0.04061187217308915
101-125,tsallis,2,norm_2,1133.4355426871607,135.58378371768157
101-125,tsallis,2,temperature_2,0.18808794462456518,0.0057553396727241385
101-125,tsallis,2,q_2,1.149579672524746,0.002255026435094676
101-125,blast_wave,2,norm_1,138754.35384790544,6995.416334206617
101-125,blast_wave,2,temperature_1,0.06137859534584782,0.0007721940901995496
101-125,blast_wave,2,beta_s_1,0.946597937045665,0.03644549491650795
101-125,blast_wave,2,n_1,2.1633837361173875,0.22974621615338697
101-125,blast_wave,2,norm_2,966.2805304392083,60.37340475433655
101-125,blast_wave,2,temperature_2,0.29581648442646746,0.0034378728511983425
101-125,blast_wave,2,beta_s_2,0.8903496035586896,0.00545288642225189
101-125,blast_wave,2,n_2,3.817065448120698,0.30393750923466567
101-125,manuscript_juttner,3,norm_1,18638.430160310254,3667.208568002149
101-125,manuscript_juttner,3,temperature_1,0.1467665287991685,0.02040787625822435
101-125,manuscript_juttner,3,U_1,1.9753321437380966,0.47045394071764046
101-125,manuscript_juttner,3,norm_2,360.52933188423157,50.43673410533975
101-125,manuscript_juttner,3,temperature_2,0.5958069264963648,0.04333400965149681
101-125,manuscript_juttner,3,U_2,2.615198772473814,0.21533737184403012
101-125,manuscript_juttner,3,norm_3,1.4572882449493991,0.4874818264634864
101-125,manuscript_juttner,3,temperature_3,1.312392354392978,0.19005217581596234
101-125,manuscript_juttner,3,U_3,1.9434546481291604,0.4585043761740888
101-125,exact_bose_einstein,3,norm_1,180.0739527581556,19.83087592183678
101-125,exact_bose_einstein,3,temperature_1,0.6428813618572297,0.0502263039609821
101-125,exact_bose_einstein,3,U_1,2.3398725595316043,0.2616282927383682
101-125,exact_bose_einstein,3,norm_2,0.3652712384403734,0.12782862910028864
101-125,exact_bose_einstein,3,temperature_2,1.65383609141084,0.17601695899016778
101-125,exact_bose_einstein,3,U_2,1.998243110092551,0.47829370704794594
101-125,exact_bose_einstein,3,norm_3,5424.3013877150925,1245.5790653668082
101-125,exact_bose_einstein,3,temperature_3,0.15131908242931252,0.013777631772917312
101-125,exact_bose_einstein,3,U_3,1.1866999021580604,0.3995936049258062
101-125,tsallis,3,norm_1,1143.3107663192952,120.03636639172538
101-125,tsallis,3,temperature_1,0.18799141028065403,0.005381449891997292
101-125,tsallis,3,q_1,1.1494040480427785,0.0022971707651986417
101-125,tsallis,3,norm_2,7086.546071432511,7087.545826756565
101-125,tsallis,3,temperature_2,0.09076562686528011,0.026467163944582414
101-125,tsallis,3,q_2,1.0146951962847977,0.04082539362851079
101-125,tsallis,3,norm_3,64048.45893678736,42060.97646618465
101-125,tsallis,3,temperature_3,0.04400268943803892,0.00916887125970494
101-125,tsallis,3,q_3,1.00759992255195,0.08317005678539802
101-125,blast_wave,3,norm_1,96.7401806703856,23.14839229430188
101-125,blast_wave,3,temperature_1,0.29247182990666204,0.016278430746986206
101-125,blast_wave,3,beta_s_1,0.9853767849252992,0.0023944292009470125
101-125,blast_wave,3,n_1,3.9265668434636978,0.5625843856960591
101-125,blast_wave,3,norm_2,50541.948460295396,10321.140148218445
101-125,blast_wave,3,temperature_2,0.07041842728489174,0.003534932489855022
101-125,blast_wave,3,beta_s_2,0.9606502587513125,0.01917925291997774
101-125,blast_wave,3,n_2,3.0904425937073294,0.7128241548490124
101-125,blast_wave,3,norm_3,13539.843473843492,995.3241809746296
101-125,blast_wave,3,temperature_3,0.12349118961400453,0.0022070379034577828
101-125,blast_wave,3,beta_s_3,0.9611919736810045,0.002139436212277801
101-125,blast_wave,3,n_3,0.9643007954390261,0.08533309481468515
126-150,manuscript_juttner,1,norm_1,1432.6369040688646,47.49488187065106
126-150,manuscript_juttner,1,temperature_1,0.51884296586646,0.00507768122146951
126-150,manuscript_juttner,1,U_1,2.9999999033717035,0.022826047090945156
