group_label,model_name,component_count,success,chi2,ndf,chi2_ndf,fit_quality_flag,aic,bic,edm,has_accurate_covar,seed_index
101-125,manuscript_juttner,1,True,7836.177098614492,44,178.09493405942027,poor,7842.177098614492,7847.727541419622,8.204621851888691e-05,True,1
101-125,exact_bose_einstein,1,True,6353.233168549422,44,144.39166292157776,poor,6359.233168549422,6364.783611354552,3.914237678309467e-05,True,1
101-125,tsallis,1,True,846.7182734939242,44,19.243597124861914,poor,852.7182734939242,858.2687162990544,2.2480442476008416e-06,True,1
101-125,blast_wave,1,True,556.5934938276987,43,12.94403474017904,poor,564.5934938276987,571.994084234539,6.94170904108599e-06,True,1
101-125,manuscript_juttner,2,False,1720.0730741046755,41,41.95300180743111,poor,1732.0730741046755,1743.1739597149358,0.021638034974190992,True,1
101-125,exact_bose_einstein,2,False,1356.6505030319336,41,33.089036659315454,poor,1368.6505030319336,1379.751388642194,0.027947946796713294,True,1
101-125,tsallis,2,True,56.24009970475208,41,1.3717097488963923,ok,68.24009970475208,79.34098531501243,0.00014264006282001333,True,1
101-125,blast_wave,2,False,346.4250252821104,39,8.88269295595155,poor,362.4250252821104,377.2262060957909,62.86793659204123,False,1
101-125,manuscript_juttner,3,False,385.75880770446935,38,10.151547571170246,poor,403.75880770446935,420.4101361198599,2.4539663725099476,True,1
101-125,exact_bose_einstein,3,False,281.27341553190297,38,7.401931987681657,poor,299.27341553190297,315.9247439472935,0.6726329115091929,True,1
101-125,tsallis,3,False,52.15182144266721,38,1.3724163537544003,poor,70.15182144266721,86.80314985805774,1.0352678509986804,True,1
101-125,blast_wave,3,False,11.228922427165656,35,0.3208263550618759,ok,35.22892242716566,57.430693647686354,0.10349717372020648,False,1
126-150,manuscript_juttner,1,True,4845.2517269781765,44,110.1193574313222,poor,4851.2517269781765,4856.802169783306,4.450271229649938e-06,True,1
126-150,exact_bose_einstein,1,True,3765.214435535114,44,85.57305535307077,poor,3771.214435535114,3776.764878340244,1.674619599490074e-05,True,1
126-150,tsallis,1,True,541.5096860339282,44,12.307038318952914,poor,547.5096860339282,553.0601288390584,1.9187545368991145e-05,True,1
126-150,blast_wave,1,True,229.08191064405105,43,5.327486294047699,poor,237.08191064405105,244.48250105089127,8.101701570949226e-05,True,1
126-150,manuscript_juttner,2,True,819.5646924938575,41,19.98938274375262,poor,831.5646924938575,842.6655781041178,0.00012871382376986132,True,1
126-150,exact_bose_einstein,2,True,640.5053715006484,41,15.622082231723132,poor,652.5053715006484,663.6062571109087,1.9408574230414352e-05,True,1
126-150,tsallis,2,True,35.85531804729086,41,0.8745199523729478,ok,47.85531804729086,58.95620365755121,4.0608695446827e-05,True,1
126-150,blast_wave,2,False,181.68545880999085,39,4.658601507948483,poor,197.68545880999085,212.48663962367132,2.302436271937577,False,1
126-150,manuscript_juttner,3,False,174.568768980481,38,4.593914973170553,ok,192.568768980481,209.2200973958715,0.5156541392019687,False,1
126-150,exact_bose_einstein,3,False,127.69441079039755,38,3.3603792313262515,ok,145.69441079039757,162.34573920578808,3.0425653703113515,True,1
126-150,tsallis,3,False,19.674360527578866,38,0.5177463296731281,ok,37.67436052757887,54.32568894296939,0.06696914830925507,False,1
126-150,blast_wave,3,False,17.90606139365949,35,0.5116017541045568,poor,41.906061393659485,64.10783261418018,0.23912214707730026,False,1
21-30,manuscript_juttner,1,True,3004.4318908652676,44,68.28254297421063,poor,3010.4318908652676,3015.982333670398,0.000154045762030916,True,1
21-30,exact_bose_einstein,1,True,2804.5466365343154,44,63.7396962848708,poor,2810.5466365343154,2816.097079339446,1.4825787546583873e-05,True,1
21-30,tsallis,1,True,25.935801037987762,44,0.5894500235906309,ok,31.935801037987762,37.48624384311793,1.7356023993101222e-05,True,1
21-30,blast_wave,1,True,813.6758795536035,43,18.922694873339616,poor,821.6758795536035,829.0764699604438,4.638801886877224e-06,True,1
21-30,manuscript_juttner,2,True,785.3430196428232,41,19.15470779616642,poor,797.3430196428232,808.4439052530835,0.00012152696795637849,True,1
21-30,exact_bose_einstein,2,True,675.6027670305454,41,16.47811626903769,poor,687.6027670305454,698.7036526408057,0.00018056975840215406,True,1
21-30,tsallis,2,True,14.824481001834371,41,0.36157270736181396,ok,26.82448100183437,37.92536661209472,0.00011982045896309064,True,1
21-30,blast_wave,2,True,52.06073238986107,39,1.3348905740990018,ok,68.06073238986107,82.86191320354155,9.065522002010527e-10,True,1
21-30,manuscript_juttner,3,False,168.02592758811,38,4.4217349365292105,ok,186.02592758811,202.67725600350053,0.01837492224167016,False,1
21-30,exact_bose_einstein,3,False,130.92727314963327,38,3.4454545565692967,ok,148.92727314963327,165.5786015650238,0.0038988837245491318,False,1
21-30,tsallis,3,False,1.008853610023287,38,0.026548779211139132,ok,19.008853610023287,35.66018202541381,0.005107832721379984,False,1
21-30,blast_wave,3,False,4.330355212524994,35,0.12372443464357126,ok,28.330355212524992,50.53212643304569,0.08976275335210063,False,1
31-40,manuscript_juttner,1,True,7270.9876000865615,44,165.2497181837855,poor,7276.9876000865615,7282.5380428916915,9.528719142648308e-06,True,1
31-40,exact_bose_einstein,1,True,6486.592274264534,44,147.42255168783032,poor,6492.592274264534,6498.142717069664,1.1496942278240169e-05,True,1
31-40,tsallis,1,True,288.95361707313697,44,6.567127660753113,poor,294.95361707313697,300.5040598782671,6.256180205522038e-05,True,1
31-40,blast_wave,1,True,1240.1603789427056,43,28.8409390451792,poor,1248.1603789427056,1255.5609693495458,2.613419393878457e-06,True,1
31-40,manuscript_juttner,2,True,2055.362045210885,41,50.130781590509386,poor,2067.362045210885,2078.462930821145,5.000086190370468e-05,True,1
31-40,exact_bose_einstein,2,False,1696.3439072037954,41,41.37424163911696,poor,1708.3439072037954,1719.4447928140557,0.008020824709679637,True,1
31-40,tsallis,2,True,42.044491293520096,41,1.0254753974029291,ok,54.044491293520096,65.14537690378044,0.00011486474048041623,True,1
31-40,blast_wave,2,False,81.79379126455257,39,2.0972766990910916,ok,97.79379126455257,112.59497207823304,0.01294846075482007,False,1
31-40,manuscript_juttner,3,False,459.09672501175123,38,12.081492763467137,poor,477.09672501175123,493.74805342714177,0.05579063798550256,True,1
31-40,exact_bose_einstein,3,False,408.90714474180726,38,10.760714335310718,poor,426.90714474180726,443.5584731571978,63.12987986430292,False,1
31-40,tsallis,3,True,42.04443206674975,38,1.106432422809204,ok,60.04443206674975,76.69576048214027,8.158657018102189e-05,False,1
31-40,blast_wave,3,False,7.359608192137635,35,0.21027451977536102,ok,31.359608192137635,53.56137941265833,0.4325234059841159,False,1
41-50,manuscript_juttner,1,True,7160.26071404309,44,162.73319804643387,poor,7166.26071404309,7171.81115684822,1.0142923298554266e-05,True,1
41-50,exact_bose_einstein,1,True,6278.3822113347505,44,142.6905048030625,poor,6284.3822113347505,6289.9326541398805,3.506879373336222e-05,True,1
41-50,tsallis,1,True,400.8538570312361,44,9.110314932528093,poor,406.8538570312361,412.40429983636625,1.1293707104767156e-09,True,1
41-50,blast_wave,1,True,1094.8624954898698,43,25.461918499764415,poor,1102.8624954898698,1110.26308589671,4.210741997032503e-05,True,1
41-50,manuscript_juttner,2,True,2039.3077601259347,41,49.73921366160816,poor,2051.3077601259347,2062.408645736195,0.00013588670677529453,True,1
41-50,exact_bose_einstein,2,True,1671.5238213738733,41,40.76887369204569,poor,1683.5238213738733,1694.6247069841336,0.0012297210036047847,False,1
41-50,tsallis,2,True,54.84573842886269,41,1.3377009372893338,ok,66.84573842886269,77.94662403912304,4.308554641606024e-05,True,1
41-50,blast_wave,2,False,54.04185766514869,39,1.3856886580807357,ok,70.04185766514868,84.84303847882916,0.9638027120903943,False,1
41-50,manuscript_juttner,3,False,470.60591158051216,38,12.384366094224005,poor,488.60591158051216,505.2572399959027,4.7601328266291585,True,1
41-50,exact_bose_einstein,3,False,335.45648642971304,38,8.827802274466132,poor,353.45648642971304,370.1078148451036,0.01921781350315011,True,1
41-50,tsallis,3,False,3.8559242598185692,38,0.10147169104785708,ok,21.85592425981857,38.507252675209095,0.08276745182705442,False,1
41-50,blast_wave,3,False,19.484524124551793,35,0.5567006892729084,poor,43.4845241245518,65.6862953450725,0.3636555617609783,False,1
51-60,manuscript_juttner,1,True,7036.619779829123,44,159.92317681429824,poor,7042.619779829123,7048.170222634253,1.0074836714953291e-05,True,1
51-60,exact_bose_einstein,1,True,6103.186723726786,44,138.70878917560879,poor,6109.186723726786,6114.737166531916,1.673005875013674e-05,True,1
51-60,tsallis,1,True,467.5992798251748,44,10.627256359663063,poor,473.5992798251748,479.14972263030495,8.339606375811726e-07,True,1
51-60,blast_wave,1,True,1034.8965531277272,43,24.06736170064482,poor,1042.8965531277272,1050.2971435345673,1.2630576732258416e-05,True,1
51-60,manuscript_juttner,2,True,2009.1732536365353,41,49.00422569845208,poor,2021.1732536365353,2032.2741392467956,7.214785480258928e-05,True,1
51-60,exact_bose_einstein,2,False,1644.2120412182198,41,40.10273271263951,poor,1656.2120412182198,1667.3129268284802,0.08549084154142972,True,1
51-60,tsallis,2,True,58.578272149727425,41,1.428738345115303,ok,70.57827214972743,81.67915775998777,3.640661152813295e-05,True,1
51-60,blast_wave,2,False,44.028523857893056,39,1.128936509176745,ok,60.028523857893056,74.82970467157352,0.11339065489083486,False,1
51-60,manuscript_juttner,3,False,472.5786695334761,38,12.436280777196739,poor,490.5786695334761,507.22999794886664,1.784948619409882,False,1
51-60,exact_bose_einstein,3,False,330.9222832830961,38,8.708481139028844,poor,348.9222832830961,365.5736116984866,0.1092384852995072,True,1
51-60,tsallis,3,False,57.20308494673677,38,1.5053443407035993,poor,75.20308494673677,91.8544133621273,1.160704202631156,True,1
51-60,blast_wave,3,False,29.005789186787013,35,0.8287368339082004,poor,53.00578918678701,75.20756040730771,0.5995574530818525,False,1
61-70,manuscript_juttner,1,True,9997.61884961286,44,227.21861021847408,poor,10003.61884961286,10009.16929241799,2.8941071194597975e-06,True,1
61-70,exact_bose_einstein,1,True,8515.39244260929,44,193.53164642293842,poor,8521.39244260929,8526.94288541442,2.984786172793513e-05,True,1
61-70,tsallis,1,True,810.3909916161651,44,18.417977082185573,poor,816.3909916161651,821.9414344212953,5.436228695096916e-08,True,1
61-70,blast_wave,1,True,1279.451455720717,43,29.75468501676086,poor,1287.451455720717,1294.852046127557,2.488064165050282e-06,True,1
61-70,manuscript_juttner,2,True,2742.1087269658165,41,66.88070065770285,poor,2754.1087269658165,2765.209612576077,9.586089293488845e-06,True,1
61-70,exact_bose_einstein,2,True,2217.4419286560333,41,54.083949479415445,poor,2229.4419286560333,2240.5428142662936,5.858190814543548e-05,True,1
61-70,tsallis,2,True,89.67194526181072,41,2.187120616141725,ok,101.67194526181072,112.77283087207107,7.999197547185157e-05,True,1
61-70,blast_wave,2,False,50.435272998199764,39,1.2932121281589684,ok,66.43527299819976,81.23645381188024,0.3047042731584939,False,1
61-70,manuscript_juttner,3,False,645.8967893716174,38,16.997283930832037,poor,663.8967893716174,680.5481177870079,5.611652620025112,False,1
61-70,exact_bose_einstein,3,True,434.90805371451836,38,11.44494878196101,poor,452.90805371451836,469.5593821299089,7.32688288843844e-06,True,1
61-70,tsallis,3,False,11.155102078439393,38,0.29355531785366823,ok,29.15510207843939,45.806430493829914,0.12228482211342118,False,1
61-70,blast_wave,3,False,56.4979357598898,35,1.6142267359968514,poor,80.4979357598898,102.6997069804105,0.023810045113960364,False,1
71-80,manuscript_juttner,1,True,9699.39050476475,44,220.44069329010793,poor,9705.39050476475,9710.94094756988,9.440270421081452e-07,True,1
71-80,exact_bose_einstein,1,True,8182.625369101767,44,185.96875838867652,poor,8188.625369101767,8194.175811906898,4.613645986390019e-05,True,1
71-80,tsallis,1,True,844.1969876084522,44,19.18629517291937,poor,850.1969876084522,855.7474304135824,1.1158909447533028e-07,True,1
71-80,blast_wave,1,True,1134.665100806811,43,26.387560483879327,poor,1142.665100806811,1150.0656912136512,6.653250944004219e-07,True,1
71-80,manuscript_juttner,2,True,2572.3850684953045,41,62.74109923159279,poor,2584.3850684953045,2595.485954105565,0.00017936164499630458,True,1
71-80,exact_bose_einstein,2,True,2071.1223604334223,41,50.515179522766395,poor,2083.1223604334223,2094.2232460436826,3.586891013293754e-05,True,1
71-80,tsallis,2,True,83.97172009946073,41,2.048090734133188,ok,95.97172009946073,107.07260570972107,2.921231995094082e-05,True,1
71-80,blast_wave,2,False,50.41865630896765,39,1.2927860592042986,ok,66.41865630896766,81.21983712264812,0.6541070643679655,False,1
71-80,manuscript_juttner,3,False,593.5600161557136,38,15.620000425150357,poor,611.5600161557136,628.2113445711041,8.670804012855992,True,1
71-80,exact_bose_einstein,3,False,403.8720756836134,38,10.628212517989827,poor,421.8720756836134,438.5234040990039,0.7909871146422062,False,1
71-80,tsallis,3,False,83.03391772063004,38,2.185103097911317,poor,101.03391772063004,117.68524613602057,0.34188537309706946,False,1
71-80,blast_wave,3,False,3.7074021961050545,35,0.10592577703157298,ok,27.707402196105054,49.909173416625755,0.0645489765089557,False,1
81-90,manuscript_juttner,1,True,9116.944575274836,44,207.20328580170082,poor,9122.944575274836,9128.495018079966,4.964619856627775e-07,True,1
