rank_in_group,group_label,model_name,component_count,success,chi2_ndf,aic,bic
1,101-125,tsallis,2,True,1.3717097488963923,68.24009970475208,79.34098531501243
2,101-125,blast_wave,1,True,12.94403474017904,564.5934938276987,571.994084234539
3,101-125,tsallis,1,True,19.243597124861914,852.7182734939242,858.2687162990544
4,101-125,exact_bose_einstein,1,True,144.39166292157776,6359.233168549422,6364.783611354552
5,101-125,manuscript_juttner,1,True,178.09493405942027,7842.177098614492,7847.727541419622
1,126-150,tsallis,2,True,0.8745199523729478,47.85531804729086,58.95620365755121
2,126-150,blast_wave,1,True,5.327486294047699,237.08191064405105,244.48250105089127
3,126-150,tsallis,1,True,12.307038318952914,547.5096860339282,553.0601288390584
4,126-150,exact_bose_einstein,2,True,15.622082231723132,652.5053715006484,663.6062571109087
5,126-150,manuscript_juttner,2,True,19.98938274375262,831.5646924938575,842.6655781041178
6,126-150,exact_bose_einstein,1,True,85.57305535307077,3771.214435535114,3776.764878340244
7,126-150,manuscript_juttner,1,True,110.1193574313222,4851.2517269781765,4856.802169783306
1,21-30,tsallis,2,True,0.36157270736181396,26.82448100183437,37.92536661209472
2,21-30,tsallis,1,True,0.5894500235906309,31.935801037987762,37.48624384311793
3,21-30,blast_wave,2,True,1.3348905740990018,68.06073238986107,82.86191320354155
4,21-30,exact_bose_einstein,2,True,16.47811626903769,687.6027670305454,698.7036526408057
5,21-30,manuscript_juttner,2,True,19.15470779616642,797.3430196428232,808.4439052530835
6,21-30,blast_wave,1,True,18.922694873339616,821.6758795536035,829.0764699604438
7,21-30,exact_bose_einstein,1,True,63.7396962848708,2810.5466365343154,2816.097079339446
8,21-30,manuscript_juttner,1,True,68.28254297421063,3010.4318908652676,3015.982333670398
1,31-40,tsallis,2,True,1.0254753974029291,54.044491293520096,65.14537690378044
2,31-40,tsallis,3,True,1.106432422809204,60.04443206674975,76.69576048214027
3,31-40,tsallis,1,True,6.567127660753113,294.95361707313697,300.5040598782671
4,31-40,blast_wave,1,True,28.8409390451792,1248.1603789427056,1255.5609693495458
5,31-40,manuscript_juttner,2,True,50.130781590509386,2067.362045210885,2078.462930821145
6,31-40,exact_bose_einstein,1,True,147.42255168783032,6492.592274264534,6498.142717069664
7,31-40,manuscript_juttner,1,True,165.2497181837855,7276.9876000865615,7282.5380428916915
1,41-50,tsallis,2,True,1.3377009372893338,66.84573842886269,77.94662403912304
2,41-50,tsallis,1,True,9.110314932528093,406.8538570312361,412.40429983636625
3,41-50,blast_wave,1,True,25.461918499764415,1102.8624954898698,1110.26308589671
4,41-50,exact_bose_einstein,2,True,40.76887369204569,1683.5238213738733,1694.6247069841336
5,41-50,manuscript_juttner,2,True,49.73921366160816,2051.3077601259347,2062.408645736195
6,41-50,exact_bose_einstein,1,True,142.6905048030625,6284.3822113347505,6289.9326541398805
7,41-50,manuscript_juttner,1,True,162.73319804643387,7166.26071404309,7171.81115684822
