group_label,model_name,component_count,parameter_left,parameter_right,correlation
101-125,manuscript_juttner,1,norm_1,norm_1,0.9999999999999999
101-125,manuscript_juttner,1,norm_1,temperature_1,-0.9821275722395214
101-125,manuscript_juttner,1,norm_1,U_1,0.0003326952937597637
101-125,manuscript_juttner,1,temperature_1,norm_1,-0.9821275722395214
101-125,manuscript_juttner,1,temperature_1,temperature_1,0.9999999999999999
101-125,manuscript_juttner,1,temperature_1,U_1,0.005972242439935323
101-125,manuscript_juttner,1,U_1,norm_1,0.0003326952937597637
101-125,manuscript_juttner,1,U_1,temperature_1,0.005972242439935323
101-125,manuscript_juttner,1,U_1,U_1,0.9999999999999999
101-125,exact_bose_einstein,1,norm_1,norm_1,0.9999999999999998
101-125,exact_bose_einstein,1,norm_1,temperature_1,-0.9771783578286785
101-125,exact_bose_einstein,1,norm_1,U_1,0.00043025638555818993
101-125,exact_bose_einstein,1,temperature_1,norm_1,-0.9771783578286785
101-125,exact_bose_einstein,1,temperature_1,temperature_1,1.0
101-125,exact_bose_einstein,1,temperature_1,U_1,0.006700154608882889
101-125,exact_bose_einstein,1,U_1,norm_1,0.00043025638555818993
101-125,exact_bose_einstein,1,U_1,temperature_1,0.006700154608882889
101-125,exact_bose_einstein,1,U_1,U_1,1.0
101-125,tsallis,1,norm_1,norm_1,1.0000000000000002
101-125,tsallis,1,norm_1,temperature_1,-0.9835403765963393
101-125,tsallis,1,norm_1,q_1,0.8473586206608998
101-125,tsallis,1,temperature_1,norm_1,-0.9835403765963393
101-125,tsallis,1,temperature_1,temperature_1,1.0
101-125,tsallis,1,temperature_1,q_1,-0.9065507881283734
101-125,tsallis,1,q_1,norm_1,0.8473586206608998
101-125,tsallis,1,q_1,temperature_1,-0.9065507881283734
101-125,tsallis,1,q_1,q_1,1.0000000000000002
101-125,blast_wave,1,norm_1,norm_1,1.0
101-125,blast_wave,1,norm_1,temperature_1,-0.9995613992578631
101-125,blast_wave,1,norm_1,beta_s_1,0.994829203469841
101-125,blast_wave,1,norm_1,n_1,-0.9784884837337449
101-125,blast_wave,1,temperature_1,norm_1,-0.9995613992578631
101-125,blast_wave,1,temperature_1,temperature_1,1.0
101-125,blast_wave,1,temperature_1,beta_s_1,-0.9946594927765744
101-125,blast_wave,1,temperature_1,n_1,0.9827933596686341
101-125,blast_wave,1,beta_s_1,norm_1,0.994829203469841
101-125,blast_wave,1,beta_s_1,temperature_1,-0.9946594927765744
101-125,blast_wave,1,beta_s_1,beta_s_1,1.0000000000000002
101-125,blast_wave,1,beta_s_1,n_1,-0.9655391805607441
101-125,blast_wave,1,n_1,norm_1,-0.9784884837337449
101-125,blast_wave,1,n_1,temperature_1,0.9827933596686341
101-125,blast_wave,1,n_1,beta_s_1,-0.9655391805607441
101-125,blast_wave,1,n_1,n_1,1.0
101-125,manuscript_juttner,2,norm_1,norm_1,1.0000000000000002
101-125,manuscript_juttner,2,norm_1,temperature_1,-0.9246108235640348
101-125,manuscript_juttner,2,norm_1,U_1,0.009365901483333576
101-125,manuscript_juttner,2,norm_1,norm_2,0.7647369605307454
101-125,manuscript_juttner,2,norm_1,temperature_2,-0.7609953658471463
101-125,manuscript_juttner,2,norm_1,U_2,-0.01645633562371505
101-125,manuscript_juttner,2,temperature_1,norm_1,-0.9246108235640348
101-125,manuscript_juttner,2,temperature_1,temperature_1,1.0
101-125,manuscript_juttner,2,temperature_1,U_1,0.3416239173711073
101-125,manuscript_juttner,2,temperature_1,norm_2,-0.6944488215461699
101-125,manuscript_juttner,2,temperature_1,temperature_2,0.6927252635969551
101-125,manuscript_juttner,2,temperature_1,U_2,0.014939199562319008
101-125,manuscript_juttner,2,U_1,norm_1,0.009365901483333576
101-125,manuscript_juttner,2,U_1,temperature_1,0.3416239173711073
101-125,manuscript_juttner,2,U_1,U_1,1.0
101-125,manuscript_juttner,2,U_1,norm_2,-0.005848624884407221
101-125,manuscript_juttner,2,U_1,temperature_2,0.005192893203277609
101-125,manuscript_juttner,2,U_1,U_2,0.00011823196553577991
101-125,manuscript_juttner,2,norm_2,norm_1,0.7647369605307454
101-125,manuscript_juttner,2,norm_2,temperature_1,-0.6944488215461699
101-125,manuscript_juttner,2,norm_2,U_1,-0.005848624884407221
101-125,manuscript_juttner,2,norm_2,norm_2,1.0000000000000002
101-125,manuscript_juttner,2,norm_2,temperature_2,-0.8577877521766935
101-125,manuscript_juttner,2,norm_2,U_2,0.03550798204809234
101-125,manuscript_juttner,2,temperature_2,norm_1,-0.7609953658471463
101-125,manuscript_juttner,2,temperature_2,temperature_1,0.6927252635969551
101-125,manuscript_juttner,2,temperature_2,U_1,0.005192893203277609
101-125,manuscript_juttner,2,temperature_2,norm_2,-0.8577877521766935
