pt_center_gev,yield_value,total_error,prediction,residual,pull
0.175,58.51,1.4702389057564762,54.279132335768246,4.230867664231752,2.8776735860182265
0.225,56.22,1.3934529952603354,55.63776815648197,0.5822318435180307,0.4178338598420062
0.275,52.69,1.31039882860143,53.95322121474379,-1.263221214743794,-0.9639975152389383
0.3249999999999999,48.99,1.222866309127862,50.697689150730056,-1.7076891507300545,-1.3964643052010846
0.375,44.85,1.1234168238013886,46.78248408878416,-1.9324840887841574,-1.7201843944663995
0.425,41.2,1.038146733366724,42.7287275256798,-1.5287275256797983,-1.4725543861435793
0.475,37.72,0.9574355591892332,38.8133336271267,-1.0933336271267038,-1.1419396497583092
0.525,34.11,0.8719940653467775,35.16899064758898,-1.0589906475889777,-1.214447081320255
0.575,31.26,0.8059003970714992,31.846780507944207,-0.586780507944205,-0.728105495513419
0.625,28.73,0.7476496104459628,28.85364419538582,-0.12364419538581828,-0.16537719495642644
0.675,26.33,0.6924781657207684,26.174119318383635,0.15588068161636315,0.2251055547059945
0.725,24.13,0.6418669176706336,23.782620645530805,0.34737935446919366,0.5412015246553761
0.775,22.32,0.6007129430934546,21.650168887451663,0.6698311125483372,1.1150602300975054
0.825,20.51,0.5591188156376067,19.747920124303587,0.7620798756964149,1.3630016633000552
0.875,18.92,0.5228934595115912,18.048884774233997,0.8711152257660046,1.6659516578762912
0.925,17.56,0.4922486058893413,16.528644614159965,1.0313553858400333,2.0951920909490287
0.975,16.15,0.4598602505109568,15.16553275582805,0.9844672441719489,2.1407965639084794
1.05,14.25,0.5152938405414914,13.37457274352298,0.8754272564770194,1.6988894250260886
1.15,12.38,0.4565977840506894,11.37887310582123,1.0011268941787712,2.192579397335907
1.25,10.52,0.4015884885053355,9.740899847503304,0.7791001524966958,1.9400460291987296
1.35,9.241,0.3534354741674921,8.384712974501156,0.856287025498844,2.4227534814262923
1.45,7.823,0.3155023659182288,7.252720531479283,0.5702794685207175,1.8075283424927513
1.55,6.751,0.2731359287973663,6.300867321372378,0.4501326786276225,1.6480170902802256
1.65,5.741,0.2473486316921927,5.4951218124670955,0.24587818753290414,0.9940551756877377
1.75,5.101,0.2203717078029754,4.808929912838188,0.2920700871618118,1.3253520157993184
1.85,4.337,0.2090160579955521,4.221366233549745,0.11563376645025514,0.5532291038266345
1.95,3.801,0.1837252296229344,3.7157835440812055,0.08521645591879468,0.46382555130662967
2.1,3.069,0.1468382102860151,3.0826025658619858,-0.013602565861985827,-0.09263641824216198
2.3,2.381,0.1144131203140619,2.4203935944660406,-0.03939359446604085,-0.3443101137169073
2.5,1.798,0.0869588483134407,1.9135587279325226,-0.11555872793252253,-1.3288898159735785
2.7,1.394,0.0678942714814733,1.521452711527793,-0.12745271152779303,-1.8772233466349482
2.9,1.085,0.0533586403499939,1.215403927995594,-0.13040392799559397,-2.4439139966880523
3.1,0.8806,0.0437313491673879,0.9747634060269638,-0.09416340602696371,-2.1532243532331923
3.3,0.69,0.0348367291805645,0.784382379720562,-0.09438237972056207,-2.7092778782807843
3.5,0.5431,0.0278700017940437,0.6329827303131068,-0.08988273031310678,-3.2250708477642176
3.7,0.4258,0.0222193119830475,0.5120537853533611,-0.08625378535336109,-3.8819287212479616
3.9,0.353,0.0187569080607652,0.4151013832023845,-0.06210138320238451,-3.3108539531781997
4.25,0.2458,0.012516899616119,0.2887172553881548,-0.0429172553881548,-3.4287448732821075
4.75,0.1559,0.008222721021657,0.17316954500437864,-0.017269545004378634,-2.100222658520715
5.25,0.1034,0.0057264579802876,0.10456489217113915,-0.0011648921711391452,-0.20342280955332195
5.75,0.06647,0.0039278982929806,0.0634598455279338,0.0030101544720662066,0.7663524479352077
6.25,0.04112,0.0026847260567886,0.03866413190206462,0.002455868097935375,0.9147555638779106
6.75,0.0312,0.002172232492161,0.023629343708795294,0.007570656291204705,3.485196137395586
7.5,0.01977,0.0013015968116125,0.011339740166292812,0.008430259833707187,6.476859622345918
9.0,0.009162,0.0006136808942764,0.002642433983888583,0.006519566016111417,10.623707006226308
11.5,0.003428,0.0002648314935954,0.00023794077926737964,0.0031900592207326204,12.04561880999802
16.5,0.0007988,7.75610856035422e-05,2.0019695853383415e-06,0.0007967980304146617,10.273167584161202
