t1_init,u1_init,t2_init,u2_init,valid,chi2,chi2_ndf,t1_fit,t2_fit,u1_fit,u2_fit
0.12,0.4,0.12,0.4,False,643.8901533749829,15.704637887194705,,,,
0.12,0.4,0.12,0.6,False,642.7805987342275,15.677575578883598,,,,
0.12,0.4,0.12,0.8,False,641.575434728672,15.648181334845658,,,,
0.12,0.4,0.12,1.0,False,641.6230195543102,15.649341940349029,,,,
0.12,0.4,0.16,0.4,False,642.0246760444189,15.659138440107778,,,,
0.12,0.4,0.16,0.6,False,642.3088284935839,15.666068987648387,,,,
0.12,0.4,0.16,0.8,False,644.6343458706103,15.722788923673424,,,,
0.12,0.4,0.16,1.0,False,642.1916680204796,15.663211415133649,,,,
0.12,0.4,0.2,0.4,False,642.1059415568302,15.661120525776347,,,,
0.12,0.4,0.2,0.6,False,646.7627396018424,15.774700965898596,,,,
0.12,0.4,0.2,0.8,False,641.2531766263218,15.6403213811298,,,,
0.12,0.4,0.2,1.0,False,644.4342110638235,15.717907586922523,,,,
0.12,0.4,0.24,0.4,False,645.5854593419635,15.745986813218623,,,,
0.12,0.4,0.24,0.6,False,643.1649671203301,15.686950417569026,,,,
0.12,0.4,0.24,0.8,False,642.4914652929906,15.670523543731479,,,,
0.12,0.4,0.24,1.0,False,645.6007982950754,15.746360934026228,,,,
0.12,0.6,0.12,0.4,False,646.6506713864057,15.771967594790384,,,,
0.12,0.6,0.12,0.6,False,647.9702317709603,15.804151994413665,,,,
0.12,0.6,0.12,0.8,False,648.6464025106005,15.820643963673184,,,,
0.12,0.6,0.12,1.0,False,648.0756404038017,15.80672293667809,,,,
0.12,0.6,0.16,0.4,False,645.9462855226441,15.754787451771806,,,,
0.12,0.6,0.16,0.6,False,648.4940774246729,15.81692871767495,,,,
0.12,0.6,0.16,0.8,False,647.0999178734364,15.782924826181377,,,,
0.12,0.6,0.16,1.0,False,647.1673693156929,15.784569983309582,,,,
0.12,0.6,0.2,0.4,True,640.9731508787604,15.633491484847815,0.9677559984125947,0.19678710741239971,2.9999825155622055,1.4840784929884623
0.12,0.6,0.2,0.6,False,646.795780195779,15.77550683404339,,,,
0.12,0.6,0.2,0.8,False,648.5530240621458,15.818366440540142,,,,
0.12,0.6,0.2,1.0,False,648.2055946575571,15.809892552623344,,,,
0.12,0.6,0.24,0.4,False,648.6800136151016,15.821463746709796,,,,
0.12,0.6,0.24,0.6,False,645.8561655328972,15.752589403241394,,,,
0.12,0.6,0.24,0.8,False,647.3711839974297,15.789541073108042,,,,
0.12,0.6,0.24,1.0,False,646.473616273796,15.767649177409659,,,,
0.12,0.8,0.12,0.4,False,644.7186842578358,15.72484595750819,,,,
0.12,0.8,0.12,0.6,False,649.1880506208792,15.833854893192175,,,,
0.12,0.8,0.12,0.8,False,651.3774426474845,15.887254698719135,,,,
0.12,0.8,0.12,1.0,False,648.1680867618819,15.80897772589956,,,,
0.12,0.8,0.16,0.4,False,654.0742561329916,15.95303063739004,,,,
0.12,0.8,0.16,0.6,False,650.4202648415186,15.863908898573625,,,,
0.12,0.8,0.16,0.8,False,651.7278693500076,15.8958016914636,,,,
0.12,0.8,0.16,1.0,False,654.3677643559686,15.960189374535819,,,,
0.12,0.8,0.2,0.4,False,652.3118249770129,15.91004451163446,,,,
0.12,0.8,0.2,0.6,False,650.6398411134857,15.86926441740209,,,,
0.12,0.8,0.2,0.8,False,651.2160367860669,15.883317970391875,,,,
0.12,0.8,0.2,1.0,False,641.0351424865698,15.635003475282192,,,,
0.12,0.8,0.24,0.4,False,649.357191973857,15.837980292045293,,,,
