pt_center_gev,yield_value,total_error,prediction,residual,pull
0.175,4.869,0.3328096394171899,4.227936679568412,0.6410633204315879,1.926216204417054
0.225,5.028,0.3435048799667917,4.671078561553687,0.35692143844631286,1.0390578395300183
0.275,4.834,0.3302045581529728,4.681164658226089,0.152835341773911,0.46285049070433326
0.3249999999999999,4.475,0.305704415161116,4.4249417352597815,0.05005826474021813,0.16374727435269726
0.375,3.993,0.271904287809148,4.033469707526179,-0.04046970752617929,-0.1488380630267417
0.425,3.516,0.2395042273718775,3.592710972780214,-0.07671097278021399,-0.32029068389304505
0.475,3.046,0.2067043694168074,3.1531763509777635,-0.10717635097776368,-0.5185006552118343
0.525,2.632,0.178704620043803,2.7416035079742245,-0.10960350797422436,-0.6133221846606932
0.575,2.26,0.1531047893470351,2.3700749961161653,-0.11007499611616556,-0.718952010486517
0.625,1.946,0.1320049832733598,2.042182351690488,-0.09618235169048783,-0.7286266723075946
0.675,1.67,0.1134051904676324,1.7569057377108719,-0.08690573771087196,-0.7663294541679395
0.725,1.447,0.0983653509931215,1.5109461068393273,-0.06394610683932722,-0.6500877208662514
0.775,1.242,0.0849454361399127,1.3000738783032215,-0.05807387830322153,-0.6836609586366555
0.825,1.077,0.0737855858715643,1.1198757909334198,-0.042875790933419866,-0.5810862708070393
0.875,0.9284,0.0640756553746428,0.966143544535865,-0.03774354453586504,-0.5890465624609376
0.925,0.8088,0.0559157748131956,0.8350546665151459,-0.026254666515145964,-0.46953952802868265
0.975,0.6976,0.0485657083667066,0.7232364849594809,-0.0256364849594809,-0.5278721513934626
1.05,0.5733,0.0427926241449388,0.5853663057194863,-0.012066305719486303,-0.2819716238625066
1.15,0.4395,0.0329425254406822,0.4451177336226251,-0.005617733622625076,-0.1705313587065637
1.25,0.3396,0.025652433040357,0.34167060842282093,-0.0020706084228209187,-0.08071781805505114
1.35,0.2734,0.0206524529993412,0.2647140402930134,0.008685959706986601,0.4205776285879299
1.45,0.2091,0.0159223337096042,0.2069479141448221,0.0021520858551778987,0.1351614590190244
1.55,0.1702,0.0129623516234516,0.1631923917168277,0.00700760828317229,0.5406124202412519
1.65,0.1346,0.0104022511486696,0.12975261434825253,0.004847385651747471,0.4659939067484858
1.75,0.1104,0.008533265058581,0.10397452060955693,0.006425479390443065,0.7529918907161617
1.85,0.08835,0.0070671374289736,0.08393659940220341,0.004413400597796588,0.6244962181862609
1.95,0.07282,0.0058251458874435,0.06823612482390316,0.004583875176096833,0.7869116524579562
2.1,0.05421,0.0043310556662781,0.05063412152043029,0.003575878479569708,0.8256366934767766
2.3,0.03736,0.0029850460901634,0.03474048800889189,0.0026195119911081102,0.8775449061708522
2.5,0.02624,0.0020950363939798,0.02436017129842779,0.00187982870157221,0.897277348963483
2.7,0.01866,0.0014910239979624,0.01741839283378798,0.0012416071662120186,0.8327211150918906
2.9,0.01359,0.0010860170625271,0.012675872681697124,0.0009141273183028761,0.8417246375261856
3.1,0.009982,0.0007974094130996,0.009372567323459676,0.0006094326765403238,0.7642657166177733
3.3,0.007357,0.000587895029831,0.007030937657689495,0.0003260623423105048,0.554626805408164
3.5,0.005658,0.0004523991185888,0.005344230095545494,0.0003137699044545054,0.6935687793408388
3.7,0.00421,0.0003374769408418,0.004111362020112768,9.86379798872325e-05,0.2922806507644364
3.9,0.003262,0.0002616751705836,0.0031980446003332308,6.395539966676939e-05,0.24440759711413626
4.25,0.00213,0.0001703844875568,0.0021104834982405888,1.9516501759411168e-05,0.11454388858554436
4.75,0.001227,9.824181395414072e-05,0.0012207854599869251,6.214540013074884e-06,0.06325758618398304
5.25,0.0007045,5.668048164932969e-05,0.0007396286359765556,-3.512863597655554e-05,-0.6197660103506014
5.75,0.000442,3.5709679710129015e-05,0.0004660070149378465,-2.4007014937846467e-05,-0.6722831213475404
6.25,0.0002774,2.2553238703122e-05,0.0003036179090894983,-2.621790908949827e-05,-1.1624897618748202
6.75,0.000182,1.49120233704216e-05,0.00020363854395477986,-2.163854395477986e-05,-1.4510803408275563
7.5,0.0001094,8.930356767789291e-06,0.00011718703255436123,-7.787032554361223e-06,-0.8719732880603495
9.0,4.192e-05,3.454165932609492e-06,4.440563695083509e-05,-2.485636950835094e-06,-0.7196055427937387
11.5,1.178e-05,1.02454923258963e-06,1.1755872711440113e-05,2.4127288559887297e-08,0.023549174400241995
16.5,1.922e-06,1.8118625665320205e-07,1.5946231137266294e-06,3.273768862733706e-07,1.8068527509786982
