pt_center_gev,yield_value,total_error,prediction,residual,pull
0.175,14.17,0.4732518462985643,12.57293392456727,1.5970660754327302,3.3746642256630013
0.225,14.17,0.4736262136843779,13.252850421150246,0.9171495788497541,1.9364417600858088
0.275,13.4,0.4486245680131662,13.08332114967541,0.31667885032459075,0.7058883371614568
0.3249999999999999,12.31,0.4127237755448552,12.380077658553398,-0.07007765855339798,-0.16979312243615072
0.375,11.07,0.3721230635811223,11.38392790712619,-0.3139279071261889,-0.8436131426660499
0.425,9.838,0.331522717413151,10.262881038820623,-0.4248810388206241,-1.2816045975248445
0.475,8.722,0.2947234147891884,9.126237645052276,-0.40423764505227666,-1.3715830665894744
0.525,7.69,0.2606247265706,8.040022437531817,-0.35002243753181705,-1.343013159716449
0.575,6.811,0.2316256352738185,7.040163668605278,-0.22916366860527848,-0.989370923189786
0.625,6.008,0.2051266106969059,6.142639408501776,-0.13463940850177636,-0.6563722183306528
0.675,5.33,0.1828277795330895,5.350838919517669,-0.020838919517668586,-0.11398114428172555
0.725,4.743,0.1634285750289709,4.660683606227444,0.0823163937725564,0.5036842165329056
0.775,4.218,0.1462292570760037,4.06406391398125,0.1539360860187502,1.0527037413500693
0.825,3.759,0.1310299416202266,3.551064011455959,0.20793598854404083,1.586934909478297
0.875,3.363,0.1179305922820707,3.1113418527731036,0.2516581472268964,2.1339513552596365
0.925,2.995,0.105731069080947,2.734937211701034,0.2600627882989661,2.459662902867877
0.975,2.681,0.0953609658088675,2.4127031103132035,0.26829688968679655,2.813487546094546
1.05,2.279,0.1016121760863332,2.013397557227489,0.265602442772511,2.6138840147153823
1.15,1.846,0.0833017316986867,1.6032611311937914,0.24273886880620865,2.9139714608122076
1.25,1.482,0.0683211450138242,1.2955484476169228,0.1864515523830772,2.729046071247054
1.35,1.236,0.0570012414250777,1.060834266335603,0.17516573366439703,3.0730161183355005
1.45,0.989,0.0472504796167192,0.8786539306772454,0.11034606932275459,2.335342841339319
1.55,0.8295,0.0396405569970957,0.7348353542987099,0.09466464570129007,2.3880755688732065
1.65,0.6746,0.033679852629725,0.6195222478674897,0.055077752132510316,1.6353323376450901
1.75,0.5661,0.0282599115808949,0.5257876800378273,0.04031231996217277,1.426484291954611
1.85,0.4658,0.0252189521909614,0.448690651430942,0.01710934856905799,0.6784321743228519
1.95,0.3927,0.0212689832293412,0.38464418496840963,0.008055815031590363,0.3787588219298196
2.1,0.3013,0.0163244234201395,0.30742353085011254,-0.006123530850112524,-0.37511467893915945
2.3,0.2152,0.0116543830450178,0.2303381276557512,-0.015138127655751205,-1.2989214098486914
2.5,0.1554,0.0084203523970199,0.17410416777028104,-0.018704167770281027,-2.2213046305402533
2.7,0.1138,0.0061653028384662,0.13248700330166285,-0.018687003301662855,-3.0309951986578807
2.9,0.08442,0.0045752733568607,0.10135449350499773,-0.016934493504997733,-3.701307481356097
3.1,0.06309,0.0034192436429713,0.07787113194997988,-0.01478113194997989,-4.322924451541915
3.3,0.0476,0.0025801851890901,0.0600405122842541,-0.012440512284254093,-4.821557900904481
3.5,0.03693,0.0020032032073656,0.04642949063957522,-0.009499490639575225,-4.742150274443673
3.7,0.02805,0.0015231160855299,0.03599370240501245,-0.007943702405012451,-5.2154280822586125
3.9,0.02212,0.0012021083520215,0.02796297726264173,-0.0058429772626417305,-4.860607825256361
4.25,0.0148,0.0008027211160172,0.018053343640214537,-0.0032533436402145365,-4.05289405660138
4.75,0.008622,0.0004682120805788,0.00973446342870473,-0.0011124634287047307,-2.375981899761135
5.25,0.005165,0.0002811666580517,0.005283461529257316,-0.00011846152925731532,-0.4213213973455309
5.75,0.003339,0.0001822645300106,0.0028817717108514294,0.0004572282891485706,2.5085971972823207
6.25,0.002087,0.0001144995235797,0.0015777530028618701,0.0005092469971381298,4.447590533279877
6.75,0.001442,7.955492505181562e-05,0.0008663692511076073,0.0005756307488923926,7.235639383953583
7.5,0.0008555,4.704869392448636e-05,0.0003540455906319523,0.0005014544093680477,10.658200420459858
9.0,0.0003446,1.9152953323182303e-05,5.9819286381529986e-05,0.00028478071361847,14.868762472979967
11.5,9.589e-05,5.437901249563107e-06,3.1498988744013565e-06,9.274010112559865e-05,17.05439228655533
16.5,1.731e-05,1.0435820284002596e-06,9.048867588115613e-09,1.7300951132411882e-05,16.578429545143727
