group_label,model_name,component_count,parameter_left,parameter_right,correlation
101-125,exact_bose_einstein,1,norm_1,norm_1,1.0
101-125,exact_bose_einstein,1,norm_1,temperature_1,-0.9771773699710925
101-125,exact_bose_einstein,1,norm_1,U_1,0.0006754576383794959
101-125,exact_bose_einstein,1,temperature_1,norm_1,-0.9771773699710925
101-125,exact_bose_einstein,1,temperature_1,temperature_1,1.0000000000000002
101-125,exact_bose_einstein,1,temperature_1,U_1,0.010557483041443992
101-125,exact_bose_einstein,1,U_1,norm_1,0.0006754576383794959
101-125,exact_bose_einstein,1,U_1,temperature_1,0.010557483041443992
101-125,exact_bose_einstein,1,U_1,U_1,1.0
101-125,tsallis,1,norm_1,norm_1,1.0000000000000002
101-125,tsallis,1,norm_1,temperature_1,-0.9835049067716408
101-125,tsallis,1,norm_1,q_1,0.8470929134578686
101-125,tsallis,1,temperature_1,norm_1,-0.9835049067716408
101-125,tsallis,1,temperature_1,temperature_1,1.0000000000000002
101-125,tsallis,1,temperature_1,q_1,-0.9063957723358478
101-125,tsallis,1,q_1,norm_1,0.8470929134578686
101-125,tsallis,1,q_1,temperature_1,-0.9063957723358478
101-125,tsallis,1,q_1,q_1,1.0
101-125,blast_wave,1,norm_1,norm_1,1.0
101-125,blast_wave,1,norm_1,temperature_1,-0.9995297401108757
101-125,blast_wave,1,norm_1,beta_s_1,0.9944584260784051
101-125,blast_wave,1,norm_1,n_1,-0.9769924576060982
101-125,blast_wave,1,temperature_1,norm_1,-0.9995297401108757
101-125,blast_wave,1,temperature_1,temperature_1,1.0
101-125,blast_wave,1,temperature_1,beta_s_1,-0.9942764789621218
101-125,blast_wave,1,temperature_1,n_1,0.9816006317565122
101-125,blast_wave,1,beta_s_1,norm_1,0.9944584260784051
101-125,blast_wave,1,beta_s_1,temperature_1,-0.9942764789621218
101-125,blast_wave,1,beta_s_1,beta_s_1,0.9999999999999999
101-125,blast_wave,1,beta_s_1,n_1,-0.9631352877674996
101-125,blast_wave,1,n_1,norm_1,-0.9769924576060982
101-125,blast_wave,1,n_1,temperature_1,0.9816006317565122
101-125,blast_wave,1,n_1,beta_s_1,-0.9631352877674996
101-125,blast_wave,1,n_1,n_1,1.0000000000000002
101-125,exact_bose_einstein,2,norm_1,norm_1,0.9999999999999999
101-125,exact_bose_einstein,2,norm_1,temperature_1,-0.9875615246608731
101-125,exact_bose_einstein,2,norm_1,U_1,0.002129042696899667
101-125,exact_bose_einstein,2,norm_1,norm_2,0.29620700510393105
101-125,exact_bose_einstein,2,norm_1,temperature_2,-0.28968604669248277
101-125,exact_bose_einstein,2,norm_1,U_2,-0.15656694892084683
101-125,exact_bose_einstein,2,temperature_1,norm_1,-0.9875615246608731
101-125,exact_bose_einstein,2,temperature_1,temperature_1,1.0
101-125,exact_bose_einstein,2,temperature_1,U_1,0.04196371164880695
101-125,exact_bose_einstein,2,temperature_1,norm_2,-0.28535984635051553
101-125,exact_bose_einstein,2,temperature_1,temperature_2,0.2784212908085034
101-125,exact_bose_einstein,2,temperature_1,U_2,0.14994237148536443
101-125,exact_bose_einstein,2,U_1,norm_1,0.002129042696899667
101-125,exact_bose_einstein,2,U_1,temperature_1,0.04196371164880695
101-125,exact_bose_einstein,2,U_1,U_1,1.0
101-125,exact_bose_einstein,2,U_1,norm_2,4.538085910551534e-05
101-125,exact_bose_einstein,2,U_1,temperature_2,-6.176056859669192e-05
101-125,exact_bose_einstein,2,U_1,U_2,-2.9093692517893885e-05
101-125,exact_bose_einstein,2,norm_2,norm_1,0.29620700510393105
101-125,exact_bose_einstein,2,norm_2,temperature_1,-0.28535984635051553
101-125,exact_bose_einstein,2,norm_2,U_1,4.538085910551534e-05
101-125,exact_bose_einstein,2,norm_2,norm_2,1.0
101-125,exact_bose_einstein,2,norm_2,temperature_2,0.7168343107668745
101-125,exact_bose_einstein,2,norm_2,U_2,0.8192591673445211
101-125,exact_bose_einstein,2,temperature_2,norm_1,-0.28968604669248277
101-125,exact_bose_einstein,2,temperature_2,temperature_1,0.2784212908085034
101-125,exact_bose_einstein,2,temperature_2,U_1,-6.176056859669192e-05
101-125,exact_bose_einstein,2,temperature_2,norm_2,0.7168343107668745
101-125,exact_bose_einstein,2,temperature_2,temperature_2,1.0
101-125,exact_bose_einstein,2,temperature_2,U_2,0.9866281169587594
101-125,exact_bose_einstein,2,U_2,norm_1,-0.15656694892084683
101-125,exact_bose_einstein,2,U_2,temperature_1,0.14994237148536443
101-125,exact_bose_einstein,2,U_2,U_1,-2.9093692517893885e-05
101-125,exact_bose_einstein,2,U_2,norm_2,0.8192591673445211
