group_label,model_name,parameter_left,parameter_right,correlation
101-125,juttner_1c,norm_1,norm_1,1.0
101-125,juttner_1c,norm_1,temperature_1,-0.9821209361723705
101-125,juttner_1c,norm_1,U_1,0.00041888679294965585
101-125,juttner_1c,temperature_1,norm_1,-0.9821209361723705
101-125,juttner_1c,temperature_1,temperature_1,1.0000000000000002
101-125,juttner_1c,temperature_1,U_1,0.007529121620770145
101-125,juttner_1c,U_1,norm_1,0.00041888679294965585
101-125,juttner_1c,U_1,temperature_1,0.007529121620770145
101-125,juttner_1c,U_1,U_1,1.0
101-125,bose_1c,norm_1,norm_1,1.0000000000000002
101-125,bose_1c,norm_1,temperature_1,-0.9787299846616545
101-125,bose_1c,norm_1,U_1,0.0003043678779516818
101-125,bose_1c,temperature_1,norm_1,-0.9787299846616545
101-125,bose_1c,temperature_1,temperature_1,1.0000000000000002
101-125,bose_1c,temperature_1,U_1,0.0048455317240335355
101-125,bose_1c,U_1,norm_1,0.0003043678779516818
101-125,bose_1c,U_1,temperature_1,0.0048455317240335355
101-125,bose_1c,U_1,U_1,1.0
101-125,tsallis_1c,norm_1,norm_1,1.0
101-125,tsallis_1c,norm_1,temperature_1,-0.9835388849100474
101-125,tsallis_1c,norm_1,q_1,0.8473485926279201
101-125,tsallis_1c,temperature_1,norm_1,-0.9835388849100474
101-125,tsallis_1c,temperature_1,temperature_1,1.0
101-125,tsallis_1c,temperature_1,q_1,-0.9065453447654002
101-125,tsallis_1c,q_1,norm_1,0.8473485926279201
101-125,tsallis_1c,q_1,temperature_1,-0.9065453447654002
101-125,tsallis_1c,q_1,q_1,1.0
101-125,bgbw,norm_1,norm_1,1.0
101-125,bgbw,norm_1,temperature_1,-0.9995562047086368
101-125,bgbw,norm_1,beta_s_1,0.9947688359312146
101-125,bgbw,norm_1,n_1,-0.9782423259485908
101-125,bgbw,temperature_1,norm_1,-0.9995562047086368
101-125,bgbw,temperature_1,temperature_1,1.0
101-125,bgbw,temperature_1,beta_s_1,-0.9945971397005503
101-125,bgbw,temperature_1,n_1,0.9825971762364999
101-125,bgbw,beta_s_1,norm_1,0.9947688359312146
101-125,bgbw,beta_s_1,temperature_1,-0.9945971397005503
101-125,bgbw,beta_s_1,beta_s_1,1.0000000000000002
101-125,bgbw,beta_s_1,n_1,-0.9651454252577379
101-125,bgbw,n_1,norm_1,-0.9782423259485908
101-125,bgbw,n_1,temperature_1,0.9825971762364999
101-125,bgbw,n_1,beta_s_1,-0.9651454252577379
101-125,bgbw,n_1,n_1,1.0000000000000002
101-125,bose_2c,norm_1,norm_1,1.0000000000000002
101-125,bose_2c,norm_1,temperature_1,0.5574796040690777
101-125,bose_2c,norm_1,U_1,0.7282009169360675
101-125,bose_2c,norm_1,norm_2,0.37627472759759567
