group_label,model_name,parameter_left,parameter_right,correlation
101-125,juttner_powerlaw,norm_1,norm_1,1.0
101-125,juttner_powerlaw,norm_1,temperature_1,0.21669062875051667
101-125,juttner_powerlaw,norm_1,U_1,0.9836285629786289
101-125,juttner_powerlaw,norm_1,norm_2,0.051381445918745
101-125,juttner_powerlaw,norm_1,p0_2,-0.03839905429867063
101-125,juttner_powerlaw,norm_1,n_2,-0.03158732901733442
101-125,juttner_powerlaw,temperature_1,norm_1,0.21669062875051667
101-125,juttner_powerlaw,temperature_1,temperature_1,1.0
101-125,juttner_powerlaw,temperature_1,U_1,0.3831757305744413
101-125,juttner_powerlaw,temperature_1,norm_2,-0.6231697154749604
101-125,juttner_powerlaw,temperature_1,p0_2,0.508873916462364
101-125,juttner_powerlaw,temperature_1,n_2,0.4404736610456337
101-125,juttner_powerlaw,U_1,norm_1,0.9836285629786289
101-125,juttner_powerlaw,U_1,temperature_1,0.3831757305744413
101-125,juttner_powerlaw,U_1,U_1,1.0
101-125,juttner_powerlaw,U_1,norm_2,-0.03484245900890494
101-125,juttner_powerlaw,U_1,p0_2,0.027595027912912372
101-125,juttner_powerlaw,U_1,n_2,0.023520722869438203
101-125,juttner_powerlaw,norm_2,norm_1,0.051381445918745
101-125,juttner_powerlaw,norm_2,temperature_1,-0.6231697154749604
101-125,juttner_powerlaw,norm_2,U_1,-0.03484245900890494
101-125,juttner_powerlaw,norm_2,norm_2,1.0
101-125,juttner_powerlaw,norm_2,p0_2,-0.9477786150622116
101-125,juttner_powerlaw,norm_2,n_2,-0.8814843439557101
101-125,juttner_powerlaw,p0_2,norm_1,-0.03839905429867063
101-125,juttner_powerlaw,p0_2,temperature_1,0.508873916462364
101-125,juttner_powerlaw,p0_2,U_1,0.027595027912912372
101-125,juttner_powerlaw,p0_2,norm_2,-0.9477786150622116
101-125,juttner_powerlaw,p0_2,p0_2,1.0
101-125,juttner_powerlaw,p0_2,n_2,0.9834057416022183
101-125,juttner_powerlaw,n_2,norm_1,-0.03158732901733442
101-125,juttner_powerlaw,n_2,temperature_1,0.4404736610456337
101-125,juttner_powerlaw,n_2,U_1,0.023520722869438203
101-125,juttner_powerlaw,n_2,norm_2,-0.8814843439557101
101-125,juttner_powerlaw,n_2,p0_2,0.9834057416022183
101-125,juttner_powerlaw,n_2,n_2,1.0
21-30,juttner_powerlaw,norm_1,norm_1,1.0
21-30,juttner_powerlaw,norm_1,temperature_1,-0.8439950125924098
21-30,juttner_powerlaw,norm_1,U_1,0.02359979022229936
21-30,juttner_powerlaw,norm_1,norm_2,-0.8798830105243237
21-30,juttner_powerlaw,norm_1,p0_2,0.7191144120493922
21-30,juttner_powerlaw,norm_1,n_2,0.5771548964672635
21-30,juttner_powerlaw,temperature_1,norm_1,-0.8439950125924098
21-30,juttner_powerlaw,temperature_1,temperature_1,1.0
21-30,juttner_powerlaw,temperature_1,U_1,0.4481807280131899
21-30,juttner_powerlaw,temperature_1,norm_2,0.7887816533839546
21-30,juttner_powerlaw,temperature_1,p0_2,-0.7580760679064042
21-30,juttner_powerlaw,temperature_1,n_2,-0.6690477033881144
21-30,juttner_powerlaw,U_1,norm_1,0.02359979022229936
21-30,juttner_powerlaw,U_1,temperature_1,0.4481807280131899
21-30,juttner_powerlaw,U_1,U_1,1.0
21-30,juttner_powerlaw,U_1,norm_2,0.008554515257358796
21-30,juttner_powerlaw,U_1,p0_2,-0.01207203764493793
21-30,juttner_powerlaw,U_1,n_2,-0.01226961264431661
21-30,juttner_powerlaw,norm_2,norm_1,-0.8798830105243237
21-30,juttner_powerlaw,norm_2,temperature_1,0.7887816533839546
21-30,juttner_powerlaw,norm_2,U_1,0.008554515257358796
