group_label,model_name,parameter_left,parameter_right,correlation
101-125,juttner_1c,norm_1,norm_1,1.0
101-125,juttner_1c,norm_1,temperature_1,-0.9821182900789662
101-125,juttner_1c,norm_1,U_1,0.00021796638163065036
101-125,juttner_1c,temperature_1,norm_1,-0.9821182900789662
101-125,juttner_1c,temperature_1,temperature_1,1.0000000000000002
101-125,juttner_1c,temperature_1,U_1,0.003913496023842852
101-125,juttner_1c,U_1,norm_1,0.00021796638163065036
101-125,juttner_1c,U_1,temperature_1,0.003913496023842852
101-125,juttner_1c,U_1,U_1,1.0
101-125,bose_1c,norm_1,norm_1,1.0
101-125,bose_1c,norm_1,temperature_1,-0.9787598614592877
101-125,bose_1c,norm_1,U_1,-3.200186515452454e-05
101-125,bose_1c,temperature_1,norm_1,-0.9787598614592877
101-125,bose_1c,temperature_1,temperature_1,1.0000000000000002
101-125,bose_1c,temperature_1,U_1,-0.0005096208289419047
101-125,bose_1c,U_1,norm_1,-3.200186515452454e-05
101-125,bose_1c,U_1,temperature_1,-0.0005096208289419047
101-125,bose_1c,U_1,U_1,1.0000000000000002
101-125,tsallis_1c,norm_1,norm_1,1.0
101-125,tsallis_1c,norm_1,temperature_1,-0.9835383785651428
101-125,tsallis_1c,norm_1,q_1,0.8473446666594756
101-125,tsallis_1c,temperature_1,norm_1,-0.9835383785651428
101-125,tsallis_1c,temperature_1,temperature_1,0.9999999999999998
101-125,tsallis_1c,temperature_1,q_1,-0.9065429876167531
101-125,tsallis_1c,q_1,norm_1,0.8473446666594756
101-125,tsallis_1c,q_1,temperature_1,-0.9065429876167531
101-125,tsallis_1c,q_1,q_1,1.0000000000000002
101-125,bgbw,norm_1,norm_1,1.0
101-125,bgbw,norm_1,temperature_1,-0.9995652875846618
101-125,bgbw,norm_1,beta_s_1,0.9948750069979543
101-125,bgbw,norm_1,n_1,-0.9786741578047305
101-125,bgbw,temperature_1,norm_1,-0.9995652875846618
101-125,bgbw,temperature_1,temperature_1,1.0
101-125,bgbw,temperature_1,beta_s_1,-0.9947068202093112
101-125,bgbw,temperature_1,n_1,0.9829415997044338
101-125,bgbw,beta_s_1,norm_1,0.9948750069979543
101-125,bgbw,beta_s_1,temperature_1,-0.9947068202093112
101-125,bgbw,beta_s_1,beta_s_1,0.9999999999999999
101-125,bgbw,beta_s_1,n_1,-0.9658375784433656
101-125,bgbw,n_1,norm_1,-0.9786741578047305
101-125,bgbw,n_1,temperature_1,0.9829415997044338
101-125,bgbw,n_1,beta_s_1,-0.9658375784433656
101-125,bgbw,n_1,n_1,1.0
101-125,bose_2c,norm_1,norm_1,0.9999999999999999
101-125,bose_2c,norm_1,temperature_1,0.6792068035315315
101-125,bose_2c,norm_1,U_1,0.8063781537057478
101-125,bose_2c,norm_1,norm_2,0.31390464699327986
101-125,bose_2c,norm_1,temperature_2,-0.30271338350193716
101-125,bose_2c,norm_1,U_2,-2.3879217142651505e-05
101-125,bose_2c,temperature_1,norm_1,0.6792068035315315
101-125,bose_2c,temperature_1,temperature_1,1.0000000000000002
101-125,bose_2c,temperature_1,U_1,0.9811800851963773
101-125,bose_2c,temperature_1,norm_2,-0.32027613226104495
101-125,bose_2c,temperature_1,temperature_2,0.30830484993635104
101-125,bose_2c,temperature_1,U_2,3.038818235327997e-05
101-125,bose_2c,U_1,norm_1,0.8063781537057478
101-125,bose_2c,U_1,temperature_1,0.9811800851963773
101-125,bose_2c,U_1,U_1,1.0000000000000002
101-125,bose_2c,U_1,norm_2,-0.1621624137478218
101-125,bose_2c,U_1,temperature_2,0.155570605930966
101-125,bose_2c,U_1,U_2,1.3187443637074906e-05
101-125,bose_2c,norm_2,norm_1,0.31390464699327986
101-125,bose_2c,norm_2,temperature_1,-0.32027613226104495
101-125,bose_2c,norm_2,U_1,-0.1621624137478218
101-125,bose_2c,norm_2,norm_2,1.0
101-125,bose_2c,norm_2,temperature_2,-0.988155502317664
101-125,bose_2c,norm_2,U_2,-0.0009036584782412732
101-125,bose_2c,temperature_2,norm_1,-0.30271338350193716
101-125,bose_2c,temperature_2,temperature_1,0.30830484993635104
101-125,bose_2c,temperature_2,U_1,0.155570605930966
101-125,bose_2c,temperature_2,norm_2,-0.988155502317664
101-125,bose_2c,temperature_2,temperature_2,0.9999999999999999
101-125,bose_2c,temperature_2,U_2,-0.01765345787050384
101-125,bose_2c,U_2,norm_1,-2.3879217142651505e-05
101-125,bose_2c,U_2,temperature_1,3.038818235327997e-05
101-125,bose_2c,U_2,U_1,1.3187443637074906e-05
101-125,bose_2c,U_2,norm_2,-0.0009036584782412732
101-125,bose_2c,U_2,temperature_2,-0.01765345787050384
101-125,bose_2c,U_2,U_2,1.0000000000000002
101-125,tsallis_2c,norm_1,norm_1,0.9999999999999998
101-125,tsallis_2c,norm_1,temperature_1,-0.9897483565375107
101-125,tsallis_2c,norm_1,q_1,0.8961093806935997
101-125,tsallis_2c,norm_1,norm_2,-0.5361069769363427
101-125,tsallis_2c,norm_1,temperature_2,0.5572131226687019
101-125,tsallis_2c,norm_1,q_2,-0.7451020220050604
101-125,tsallis_2c,temperature_1,norm_1,-0.9897483565375107
101-125,tsallis_2c,temperature_1,temperature_1,1.0
101-125,tsallis_2c,temperature_1,q_1,-0.9447169317764605
101-125,tsallis_2c,temperature_1,norm_2,0.46700821708840756
101-125,tsallis_2c,temperature_1,temperature_2,-0.4850695209859106
101-125,tsallis_2c,temperature_1,q_2,0.6743693874079822
101-125,tsallis_2c,q_1,norm_1,0.8961093806935997
101-125,tsallis_2c,q_1,temperature_1,-0.9447169317764605
101-125,tsallis_2c,q_1,q_1,1.0000000000000002
101-125,tsallis_2c,q_1,norm_2,-0.31350309121802833
101-125,tsallis_2c,q_1,temperature_2,0.3246685171453969
101-125,tsallis_2c,q_1,q_2,-0.5002033041550045
101-125,tsallis_2c,norm_2,norm_1,-0.5361069769363427
101-125,tsallis_2c,norm_2,temperature_1,0.46700821708840756
101-125,tsallis_2c,norm_2,q_1,-0.31350309121802833
101-125,tsallis_2c,norm_2,norm_2,0.9999999999999998
101-125,tsallis_2c,norm_2,temperature_2,-0.9968857836804781
101-125,tsallis_2c,norm_2,q_2,0.9384308311956762
101-125,tsallis_2c,temperature_2,norm_1,0.5572131226687019
101-125,tsallis_2c,temperature_2,temperature_1,-0.4850695209859106
101-125,tsallis_2c,temperature_2,q_1,0.3246685171453969
101-125,tsallis_2c,temperature_2,norm_2,-0.9968857836804781
101-125,tsallis_2c,temperature_2,temperature_2,1.0
101-125,tsallis_2c,temperature_2,q_2,-0.9563389436897559
101-125,tsallis_2c,q_2,norm_1,-0.7451020220050604
101-125,tsallis_2c,q_2,temperature_1,0.6743693874079822
101-125,tsallis_2c,q_2,q_1,-0.5002033041550045
101-125,tsallis_2c,q_2,norm_2,0.9384308311956762
101-125,tsallis_2c,q_2,temperature_2,-0.9563389436897559
101-125,tsallis_2c,q_2,q_2,0.9999999999999999
126-150,juttner_1c,norm_1,norm_1,1.0
126-150,juttner_1c,norm_1,temperature_1,-0.9796672357152574
126-150,juttner_1c,norm_1,U_1,-8.215413114801148e-05
126-150,juttner_1c,temperature_1,norm_1,-0.9796672357152574
126-150,juttner_1c,temperature_1,temperature_1,1.0
126-150,juttner_1c,temperature_1,U_1,-0.0013383165526083996
126-150,juttner_1c,U_1,norm_1,-8.215413114801148e-05
126-150,juttner_1c,U_1,temperature_1,-0.0013383165526083996
126-150,juttner_1c,U_1,U_1,1.0
126-150,bose_1c,norm_1,norm_1,0.9999999999999999
126-150,bose_1c,norm_1,temperature_1,-0.9778204297127197
126-150,bose_1c,norm_1,U_1,0.002274472996499829
126-150,bose_1c,temperature_1,norm_1,-0.9778204297127197
126-150,bose_1c,temperature_1,temperature_1,1.0
126-150,bose_1c,temperature_1,U_1,0.040187249495932935
126-150,bose_1c,U_1,norm_1,0.002274472996499829
126-150,bose_1c,U_1,temperature_1,0.040187249495932935
126-150,bose_1c,U_1,U_1,0.9999999999999999
126-150,tsallis_1c,norm_1,norm_1,1.0
126-150,tsallis_1c,norm_1,temperature_1,-0.9846015799736388
126-150,tsallis_1c,norm_1,q_1,0.8290006586740346
126-150,tsallis_1c,temperature_1,norm_1,-0.9846015799736388
126-150,tsallis_1c,temperature_1,temperature_1,1.0
